symbol,bin,n_train,expectancy,pf,null_dist_n,pct_vs_null
USDJPY,"Q1 [-4.352, -2.407]",24,-1.4,0.97,100,26.0
USDJPY,"Q2 [-2.407, -1.223]",24,10.66,1.25,100,57.0
USDJPY,"Q3 [-1.223, -0.378]",23,-6.5,0.88,100,19.0
USDJPY,"Q4 [-0.378, 0.441]",24,27.05,1.55,100,81.0
XAUUSD,"Q1 [-5.873, -2.226]",25,-57.2,0.39,100,89.0
XAUUSD,"Q2 [-2.226, -0.951]",25,-75.15,0.24,100,69.0
XAUUSD,"Q3 [-0.951, -0.345]",24,-45.47,0.36,100,91.0
XAUUSD,"Q4 [-0.345, 0.498]",25,-60.67,0.31,100,92.0
GBPJPY,"Q1 [-4.387, -2.126]",25,21.63,1.52,100,84.0
GBPJPY,"Q2 [-2.126, -1.208]",25,-7.54,0.86,100,30.0
GBPJPY,"Q3 [-1.208, -0.235]",24,-20.53,0.67,100,3.0
GBPJPY,"Q4 [-0.235, 0.489]",25,18.45,1.43,100,69.0
