pair,correlation,abs_correlation
USDJPY-XAUUSD,-0.36914850928238574,0.36914850928238574
USDJPY-GBPJPY,0.4353748743741986,0.4353748743741986
USDJPY-EURUSD,-0.4136914117866389,0.4136914117866389
USDJPY-AUDUSD,-0.15568778015752388,0.15568778015752388
XAUUSD-GBPJPY,-0.03148940139964249,0.03148940139964249
XAUUSD-EURUSD,0.3337151115798206,0.3337151115798206
XAUUSD-AUDUSD,0.28531890718514563,0.28531890718514563
GBPJPY-EURUSD,0.24636532150834606,0.24636532150834606
GBPJPY-AUDUSD,0.41708062182108596,0.41708062182108596
EURUSD-AUDUSD,0.5523149819804669,0.5523149819804669
