symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,2019-03-08 20:00:00,2019-03-14 16:00:00,111.041,111.73572,110.69364,111.73572,0.3164,69.5,200.03,199.8,23,take_profit,24.54894,0.23157,-1.59963,3.54483,new_york,2019
USDJPY,2019-03-21 16:00:00,2019-03-22 16:00:00,110.542,110.17784,110.17784,111.27033,0.3078,-36.4,-102.0,-102.23,6,stop_loss,26.02195,0.24278,-3.08316,1.63713,new_york,2019
USDJPY,2019-03-25 00:00:00,2019-03-28 16:00:00,109.908,110.73185,109.49607,110.73185,0.2694,82.4,201.97,201.74,22,take_profit,32.17148,0.27462,-4.04785,0.71696,tokyo,2019
USDJPY,2019-04-09 20:00:00,2019-04-10 20:00:00,111.125,110.8595,110.8595,111.65601,0.4263,-26.6,-103.0,-103.23,6,stop_loss,26.53233,0.177,-0.87611,1.72317,new_york,2019
USDJPY,2019-04-11 00:00:00,2019-04-11 16:00:00,111.0,111.52409,110.73795,111.52409,0.4276,52.4,203.93,203.71,4,take_profit,34.03286,0.1747,-1.28977,1.4286,tokyo,2019
USDJPY,2019-04-24 00:00:00,2019-04-24 20:00:00,111.859,112.23256,111.67222,112.23256,0.6119,37.4,208.01,207.78,5,take_profit,21.75424,0.12452,0.28583,3.76147,tokyo,2019
USDJPY,2019-04-26 04:00:00,2019-04-30 08:00:00,111.651,111.35718,111.35718,112.23863,0.3967,-29.4,-106.07,-106.29,13,stop_loss,20.1691,0.19588,-0.93472,2.11725,tokyo,2019
USDJPY,2019-05-06 08:00:00,2019-05-07 16:00:00,110.84,110.46492,110.46492,111.59016,0.3077,-37.5,-105.03,-105.25,8,stop_loss,21.46779,0.25005,-2.55828,0.2245,tokyo,2019
USDJPY,2019-09-23 08:00:00,2019-09-23 12:00:00,107.72,107.41889,107.41889,108.32221,0.3794,-30.1,-103.96,-104.19,1,stop_loss,21.68232,0.20074,-0.45993,2.85279,tokyo,2019
USDJPY,2019-09-23 16:00:00,2019-09-24 16:00:00,107.532,107.20506,107.20506,108.18587,0.3459,-32.7,-102.91,-103.14,6,stop_loss,26.229,0.21796,-1.15717,2.47974,new_york,2019
USDJPY,2019-09-24 16:00:00,2019-09-24 20:00:00,107.647,107.34089,107.34089,108.25922,0.3658,-30.6,-101.9,-102.12,1,stop_loss,30.70027,0.20407,-0.47828,2.3538,new_york,2019
