symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,2019-02-18 12:00:00,2019-02-19 16:00:00,142.754,144.00775,142.12712,144.00775,0.1753,125.4,200.0,199.68,7,take_profit,23.13335,0.41792,1.10345,1.62811,london,2019
GBPJPY,2019-02-21 04:00:00,2019-02-22 20:00:00,144.268,144.47,143.5355,145.733,0.153,20.2,28.12,27.81,10,time_exit,36.46564,0.48833,2.40835,2.34102,,2019
GBPJPY,2019-02-26 00:00:00,2019-02-26 16:00:00,145.426,146.83332,144.72234,146.83332,0.1597,140.7,204.52,204.2,4,take_profit,33.0619,0.46911,3.38283,3.1799,,2019
GBPJPY,2019-02-26 20:00:00,2019-02-28 12:00:00,146.722,147.593,145.85701,148.45197,0.1325,87.1,105.02,104.7,10,time_exit,42.61043,0.57666,4.30386,2.95013,new_york,2019
GBPJPY,2019-02-28 12:00:00,2019-03-04 04:00:00,147.359,148.114,146.63467,148.80766,0.1599,75.5,109.86,109.54,10,time_exit,52.39469,0.48289,4.45957,4.61944,london,2019
GBPJPY,2019-03-04 16:00:00,2019-03-04 20:00:00,147.838,147.14408,147.14408,149.22584,0.1686,-69.4,-106.47,-106.78,1,stop_loss,47.88482,0.46261,3.27204,5.92511,new_york,2019
GBPJPY,2019-03-06 16:00:00,2019-03-07 16:00:00,146.866,146.15612,146.15612,148.28577,0.1631,-71.0,-105.36,-105.68,6,stop_loss,24.12867,0.47326,0.48115,5.59875,new_york,2019
GBPJPY,2019-03-11 20:00:00,2019-03-12 12:00:00,146.07,145.09857,145.09857,148.01286,0.118,-97.1,-104.31,-104.63,4,stop_loss,36.22604,0.64762,0.00666,2.75003,new_york,2019
GBPJPY,2019-04-01 00:00:00,2019-04-02 16:00:00,144.756,145.61,143.641,146.98601,0.1018,85.4,79.11,78.79,10,time_exit,23.37151,0.74334,-1.53608,0.28709,,2019
GBPJPY,2019-04-03 16:00:00,2019-04-04 16:00:00,146.775,145.83935,145.83935,148.6463,0.1222,-93.6,-104.05,-104.36,6,stop_loss,19.02703,0.62377,1.73977,0.46385,new_york,2019
GBPJPY,2019-04-08 08:00:00,2019-04-09 16:00:00,145.547,144.83234,144.83234,146.97632,0.1584,-71.5,-103.01,-103.33,8,stop_loss,16.62628,0.47644,-0.66354,0.7482,london,2019
GBPJPY,2019-04-12 04:00:00,2019-04-15 20:00:00,145.972,146.759,145.38209,147.15182,0.19,78.7,136.07,135.75,10,time_exit,12.12673,0.39327,0.89829,0.32013,,2019
GBPJPY,2019-04-15 20:00:00,2019-04-16 12:00:00,146.77,146.18525,146.18525,147.9395,0.1942,-58.5,-103.34,-103.66,4,stop_loss,24.55362,0.38983,2.12557,0.88432,new_york,2019
GBPJPY,2019-04-18 12:00:00,2019-04-22 04:00:00,145.671,145.434,145.18023,146.65254,0.2291,-23.7,-49.41,-49.73,10,time_exit,18.38887,0.32718,-1.141,1.08939,london,2019
