symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,2019-02-21 00:00:00,2019-02-22 16:00:00,110.838,110.58,110.54263,111.42874,0.372,-25.8,-87.34,-87.57,10,time_exit,19.72632,0.19691,1.82373,3.32546,tokyo,2019
USDJPY,2019-02-27 04:00:00,2019-02-28 16:00:00,110.604,111.19154,110.31023,111.19154,0.3708,58.8,198.25,198.03,9,take_profit,16.21673,0.19585,-0.26378,3.15363,tokyo,2019
USDJPY,2019-03-07 12:00:00,2019-03-08 04:00:00,111.704,111.44504,111.44504,112.22192,0.429,-25.9,-101.09,-101.32,4,stop_loss,16.69261,0.17264,1.45144,5.3495,london,2019
USDJPY,2019-03-12 16:00:00,2019-03-14 08:00:00,111.197,111.689,110.86461,111.86177,0.3309,49.2,148.15,147.92,10,time_exit,32.0263,0.22159,-0.66967,3.11202,new_york,2019
USDJPY,2019-03-21 04:00:00,2019-03-21 08:00:00,110.671,110.32336,110.32336,111.36627,0.3211,-34.8,-101.58,-101.81,1,stop_loss,19.35926,0.23176,-3.11872,2.09972,tokyo,2019
USDJPY,2019-04-02 04:00:00,2019-04-03 20:00:00,111.389,111.491,111.00919,112.14862,0.2909,10.2,27.0,26.77,10,time_exit,23.60199,0.25321,2.35745,0.05247,tokyo,2019
USDJPY,2019-04-08 16:00:00,2019-04-09 12:00:00,111.359,111.09708,111.09708,111.88285,0.423,-26.2,-100.82,-101.05,5,stop_loss,25.49482,0.17462,0.5069,1.83418,new_york,2019
USDJPY,2019-04-23 20:00:00,2019-04-24 20:00:00,111.793,112.17268,111.60316,112.17268,0.5778,38.0,199.64,199.41,6,take_profit,21.04592,0.12656,-0.26039,3.72938,new_york,2019
USDJPY,2019-05-03 16:00:00,2019-05-03 20:00:00,111.434,111.17502,111.17502,111.95197,0.432,-25.9,-101.81,-102.04,1,stop_loss,15.264,0.17266,-0.88625,0.81546,new_york,2019
USDJPY,2019-05-07 12:00:00,2019-05-07 20:00:00,110.564,110.2067,110.2067,111.27859,0.31,-35.7,-100.79,-101.02,2,stop_loss,32.08159,0.2382,-3.08681,-0.32942,london,2019
USDJPY,2019-05-08 20:00:00,2019-05-09 08:00:00,110.138,109.77247,109.77247,110.86906,0.3,-36.6,-99.79,-100.02,3,stop_loss,42.36368,0.24369,-3.53724,-1.18353,new_york,2019
USDJPY,2019-05-13 00:00:00,2019-05-13 12:00:00,109.753,109.34842,109.34842,110.56215,0.2683,-40.5,-98.78,-99.01,3,stop_loss,48.60324,0.26972,-2.03575,-2.18322,tokyo,2019
USDJPY,2019-05-17 08:00:00,2019-05-21 00:00:00,109.717,110.148,109.33972,110.47157,0.2848,43.1,111.7,111.47,10,time_exit,22.40273,0.25152,-0.82037,-3.32201,tokyo,2019
USDJPY,2019-05-23 16:00:00,2019-05-23 20:00:00,109.992,109.67043,109.67043,110.63514,0.338,-32.2,-98.91,-99.14,1,stop_loss,14.22084,0.21438,-0.58031,-2.39837,new_york,2019
USDJPY,2019-05-27 04:00:00,2019-05-28 20:00:00,109.481,109.371,109.13279,110.17742,0.309,-11.0,-30.93,-31.16,10,time_exit,23.2598,0.23214,-1.93477,-2.59733,tokyo,2019
USDJPY,2019-06-03 20:00:00,2019-06-04 00:00:00,108.273,107.90777,107.90777,109.00346,0.2936,-36.5,-97.58,-97.81,1,stop_loss,30.21682,0.24349,-4.03604,-3.60118,new_york,2019
USDJPY,2019-06-06 04:00:00,2019-06-07 12:00:00,108.345,107.92127,107.92127,109.19246,0.2506,-42.4,-96.63,-96.86,8,stop_loss,27.44568,0.28249,-1.58377,-3.83341,tokyo,2019
USDJPY,2019-06-10 00:00:00,2019-06-11 16:00:00,108.485,108.458,108.07037,109.31426,0.2535,-2.7,-6.23,-6.46,10,time_exit,22.20435,0.27642,-1.46362,-4.0004,tokyo,2019
USDJPY,2019-06-18 04:00:00,2019-06-18 08:00:00,108.54,108.28135,108.28135,109.05729,0.4061,-25.9,-95.58,-95.81,1,stop_loss,12.20549,0.17243,0.11838,-4.70938,tokyo,2019
USDJPY,2019-06-18 12:00:00,2019-06-19 20:00:00,108.295,108.02515,108.02515,108.83471,0.3853,-27.0,-94.62,-94.84,8,stop_loss,13.64915,0.1799,-1.16098,-4.48935,london,2019
USDJPY,2019-06-20 12:00:00,2019-06-20 16:00:00,107.79,107.41183,107.41183,108.54634,0.2722,-37.8,-93.67,-93.9,1,stop_loss,18.57356,0.25211,-2.33077,-3.20519,london,2019
