symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,2019-02-19 04:00:00,2019-02-19 16:00:00,1324.78,1335.50437,1319.41781,1335.50437,1.8649,107.2,200.0,199.6,3,take_profit,16.13329,3.57479,2.78241,3.43771,,2019
XAUUSD,2019-02-19 16:00:00,2019-02-20 00:00:00,1331.93,1343.26577,1326.26211,1343.26577,1.7995,113.4,203.99,203.59,2,take_profit,17.81126,3.77859,4.1203,3.45932,new_york,2019
XAUUSD,2019-02-20 08:00:00,2019-02-21 08:00:00,1342.51,1336.17328,1336.17328,1355.18344,1.6417,-63.4,-104.03,-104.43,6,stop_loss,27.70721,4.22448,5.27641,3.6392,london,2019
XAUUSD,2019-02-26 00:00:00,2019-02-27 16:00:00,1327.43,1320.21555,1320.21555,1341.85889,1.4275,-72.1,-102.99,-103.39,10,stop_loss,21.73066,4.80963,0.1818,3.40623,,2019
XAUUSD,2019-03-04 16:00:00,2019-03-06 08:00:00,1286.89,1286.07,1278.7476,1303.17481,1.2521,-8.2,-10.27,-10.67,10,time_exit,38.39906,5.42827,-5.3679,0.91047,new_york,2019
XAUUSD,2019-03-11 16:00:00,2019-03-13 08:00:00,1295.25,1306.64,1288.928,1307.89401,1.611,113.9,183.49,183.09,10,time_exit,31.66048,4.21467,-0.71044,-1.72377,new_york,2019
XAUUSD,2019-03-19 20:00:00,2019-03-20 16:00:00,1306.3,1300.49285,1300.49285,1317.91431,1.7853,-58.1,-103.68,-104.08,5,stop_loss,22.08023,3.87144,1.20142,-0.71554,new_york,2019
XAUUSD,2019-03-21 00:00:00,2019-03-21 16:00:00,1312.92,1305.21582,1305.21582,1328.32836,1.3322,-77.0,-102.64,-103.04,4,stop_loss,19.8716,5.13612,1.92537,-0.36235,,2019
XAUUSD,2019-03-22 00:00:00,2019-03-25 16:00:00,1309.3,1321.66,1301.2291,1325.4418,1.2589,123.6,155.6,155.2,10,time_exit,20.85231,5.3806,0.80156,0.00282,,2019
XAUUSD,2019-03-26 08:00:00,2019-03-26 12:00:00,1319.85,1313.55597,1313.55597,1332.43806,1.639,-62.9,-103.16,-103.56,1,stop_loss,20.68037,4.19602,2.3895,0.80608,london,2019
XAUUSD,2019-03-26 16:00:00,2019-03-27 16:00:00,1316.58,1310.22484,1310.22484,1329.29032,1.6069,-63.6,-102.12,-102.52,6,stop_loss,18.63897,4.23677,1.46936,0.87382,new_york,2019
XAUUSD,2019-04-02 08:00:00,2019-04-04 00:00:00,1286.01,1292.05,1278.79034,1300.44931,1.4003,60.4,84.58,84.18,10,time_exit,26.42514,4.8131,-3.20525,-0.71167,london,2019
XAUUSD,2019-04-05 12:00:00,2019-04-08 12:00:00,1288.83,1301.70086,1282.39457,1301.70086,1.584,128.7,203.87,203.47,6,take_profit,21.0792,4.29029,-1.57593,-1.58291,london,2019
XAUUSD,2019-04-09 04:00:00,2019-04-10 20:00:00,1299.16,1308.03,1292.98653,1311.50694,1.6842,88.7,149.39,148.99,10,time_exit,20.07863,4.11565,0.81313,-1.44865,,2019
XAUUSD,2019-04-11 08:00:00,2019-04-11 12:00:00,1307.2,1301.6008,1301.6008,1318.39839,1.8836,-56.0,-105.47,-105.87,1,stop_loss,29.85006,3.7328,2.0589,-0.70289,london,2019
XAUUSD,2019-04-16 00:00:00,2019-04-16 12:00:00,1287.89,1281.69479,1281.69479,1300.28042,1.6853,-62.0,-104.41,-104.81,3,stop_loss,30.61817,4.13014,-1.85904,-1.21493,,2019
XAUUSD,2019-05-01 20:00:00,2019-05-02 04:00:00,1281.01,1275.66464,1275.66464,1291.70072,1.9336,-53.5,-103.36,-103.76,2,stop_loss,13.90888,3.56357,0.02567,-2.54657,new_york,2019
XAUUSD,2019-05-03 00:00:00,2019-05-06 00:00:00,1270.7,1283.14442,1264.47779,1283.14442,1.6444,124.4,204.64,204.24,6,take_profit,23.42854,4.14814,-2.02958,-2.39794,,2019
XAUUSD,2019-05-06 08:00:00,2019-05-08 00:00:00,1282.39,1286.19,1275.96111,1295.24777,1.6233,38.0,61.69,61.29,10,time_exit,23.28655,4.28592,0.90744,-2.2003,london,2019
XAUUSD,2019-05-08 08:00:00,2019-05-08 16:00:00,1287.03,1281.42542,1281.42542,1298.23917,1.873,-56.0,-104.97,-105.37,2,stop_loss,13.76315,3.73639,1.84186,-1.91867,london,2019
