symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
AUDUSD,1,2019-01-14 12:00:00,2019-01-14 22:00:00,0.71862,0.71973,0.717,0.72187,0.6155,11.1,68.32,68.32,10,time_exit,21.38412,0.00108,-0.63561,5.16525,london,2019
AUDUSD,1,2019-01-15 19:00:00,2019-01-16 05:00:00,0.71918,0.7198,0.7173,0.72295,0.5344,6.2,33.13,33.13,10,time_exit,16.06262,0.00126,-0.68238,3.63944,new_york,2019
AUDUSD,1,2019-01-16 21:00:00,2019-01-17 03:00:00,0.71786,0.71632,0.71632,0.72093,0.6571,-15.4,-101.02,-101.02,6,stop_loss,18.31639,0.00102,-1.35738,2.90749,new_york,2019
AUDUSD,-1,2019-01-17 07:00:00,2019-01-17 11:00:00,0.71525,0.7168,0.7168,0.71215,0.6455,-15.5,-100.0,-100.0,4,stop_loss,26.84343,0.00103,-3.09114,2.04952,tokyo,2019
AUDUSD,1,2019-01-17 22:00:00,2019-01-18 08:00:00,0.72003,0.71944,0.71811,0.72388,0.5148,-5.9,-30.37,-30.38,10,time_exit,27.28104,0.00128,1.80327,1.04155,,2019
AUDUSD,-1,2019-01-21 11:00:00,2019-01-21 21:00:00,0.71626,0.7158,0.71782,0.71313,0.6309,4.6,29.02,29.02,10,time_exit,17.11875,0.00104,-1.26574,0.70738,london,2019
AUDUSD,-1,2019-01-22 19:00:00,2019-01-23 05:00:00,0.71327,0.71355,0.71461,0.71059,0.7392,-2.8,-20.7,-20.7,10,time_exit,29.87146,0.00089,-1.9955,-1.24354,new_york,2019
AUDUSD,-1,2019-01-25 07:00:00,2019-01-25 13:00:00,0.70944,0.71126,0.71126,0.70581,0.5437,-18.2,-98.79,-98.79,6,stop_loss,26.6986,0.00121,-1.45369,-2.40206,tokyo,2019
AUDUSD,-1,2019-01-25 17:00:00,2019-01-25 19:00:00,0.71554,0.71755,0.71755,0.71153,0.4872,-20.1,-97.8,-97.8,2,stop_loss,21.71519,0.00134,3.16383,-1.89119,new_york,2019
AUDUSD,1,2019-01-29 08:00:00,2019-01-29 16:00:00,0.71642,0.71487,0.71487,0.71952,0.6243,-15.5,-96.82,-96.82,8,stop_loss,23.39835,0.00103,0.50088,0.85893,tokyo,2019
AUDUSD,-1,2019-01-29 16:00:00,2019-01-30 02:00:00,0.71608,0.71757,0.71757,0.7131,0.643,-14.9,-95.85,-95.85,10,stop_loss,16.29547,0.00099,0.04005,0.93849,new_york,2019
AUDUSD,1,2019-01-30 04:00:00,2019-01-30 14:00:00,0.71879,0.71922,0.71712,0.72213,0.5684,4.3,24.44,24.44,10,time_exit,21.5406,0.00111,2.5384,0.70542,tokyo,2019
AUDUSD,1,2019-01-30 16:00:00,2019-01-30 21:00:00,0.71869,0.72142,0.71732,0.72142,0.6967,27.3,190.27,190.27,5,take_profit,32.42123,0.00091,1.47829,1.83064,new_york,2019
AUDUSD,-1,2019-01-30 23:00:00,2019-01-31 05:00:00,0.72485,0.72701,0.72701,0.72052,0.4484,-21.6,-97.03,-97.04,6,stop_loss,32.5687,0.00144,4.52033,1.57749,,2019
AUDUSD,1,2019-01-31 09:00:00,2019-01-31 19:00:00,0.72645,0.72721,0.72462,0.73012,0.5237,7.6,39.8,39.8,10,time_exit,52.94287,0.00122,4.60586,3.13729,london,2019
AUDUSD,1,2019-02-01 02:00:00,2019-02-01 03:00:00,0.72718,0.72555,0.72555,0.73045,0.59,-16.3,-96.46,-96.46,1,stop_loss,50.35579,0.00109,2.91257,4.96636,tokyo,2019
AUDUSD,-1,2019-02-01 08:00:00,2019-02-01 11:00:00,0.72383,0.72551,0.72551,0.72047,0.5677,-16.8,-95.5,-95.5,3,stop_loss,36.12823,0.00112,-0.24619,4.6089,tokyo,2019
AUDUSD,-1,2019-02-05 11:00:00,2019-02-05 21:00:00,0.72376,0.7229,0.72559,0.7201,0.5161,8.6,44.38,44.38,10,time_exit,27.03339,0.00122,0.19765,2.19174,london,2019
AUDUSD,1,2019-02-06 22:00:00,2019-02-07 03:00:00,0.71145,0.70981,0.70981,0.71473,0.5795,-16.4,-94.99,-94.99,5,stop_loss,53.52252,0.00109,-6.21418,-1.58562,,2019
AUDUSD,-1,2019-02-07 03:00:00,2019-02-07 13:00:00,0.71026,0.71059,0.71186,0.70706,0.587,-3.3,-19.37,-19.37,10,time_exit,58.88947,0.00107,-6.21582,-2.4557,tokyo,2019
AUDUSD,1,2019-02-08 14:00:00,2019-02-11 00:00:00,0.70804,0.70893,0.7064,0.71133,0.571,8.9,50.82,50.82,10,time_exit,33.64414,0.0011,-2.67519,-5.05168,london,2019
AUDUSD,-1,2019-02-12 13:00:00,2019-02-12 20:00:00,0.70848,0.70996,0.70996,0.70551,0.636,-14.8,-94.35,-94.35,7,stop_loss,16.25123,0.00099,0.1892,-5.10198,london,2019
AUDUSD,1,2019-02-13 05:00:00,2019-02-13 15:00:00,0.71205,0.71043,0.71043,0.71529,0.5772,-16.2,-93.41,-93.41,10,stop_loss,24.70367,0.00108,2.82698,-3.52188,tokyo,2019
