symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
EURUSD,1,2019-01-15 07:00:00,2019-01-15 10:00:00,1.148,1.14643,1.14643,1.15113,0.6385,-15.7,-100.0,-100.01,3,stop_loss,19.43502,0.00104,-0.13236,0.92298,london,2019
EURUSD,1,2019-01-16 00:00:00,2019-01-16 10:00:00,1.14126,1.14216,1.13867,1.14644,0.3819,9.0,34.37,34.37,10,time_exit,34.15117,0.00173,-2.4446,-0.61374,,2019
EURUSD,-1,2019-01-16 11:00:00,2019-01-16 21:00:00,1.14216,1.13977,1.14444,1.13759,0.4351,23.9,103.99,103.99,10,time_exit,28.48255,0.00152,-1.03794,-1.42562,london,2019
EURUSD,1,2019-01-17 05:00:00,2019-01-17 09:00:00,1.13902,1.1373,1.1373,1.14245,0.5848,-17.2,-100.38,-100.38,4,stop_loss,21.60512,0.00114,-2.27472,-2.84742,,2019
EURUSD,-1,2019-01-17 10:00:00,2019-01-17 13:00:00,1.13879,1.14047,1.14047,1.13542,0.59,-16.8,-99.37,-99.37,3,stop_loss,24.40572,0.00112,-2.03061,-3.10715,london,2019
EURUSD,-1,2019-01-18 02:00:00,2019-01-18 12:00:00,1.1392,1.14091,1.14091,1.13579,0.5767,-17.1,-98.38,-98.38,10,stop_loss,29.52028,0.00114,-0.8096,-3.19942,,2019
EURUSD,1,2019-01-18 19:00:00,2019-01-21 05:00:00,1.1362,1.13752,1.13444,1.13973,0.552,13.2,72.86,72.86,10,time_exit,23.35791,0.00118,-2.87943,-2.93158,new_york,2019
EURUSD,1,2019-01-21 05:00:00,2019-01-21 14:00:00,1.13767,1.13628,1.13628,1.14045,0.705,-13.9,-98.12,-98.13,9,stop_loss,26.73008,0.00093,-1.09331,-4.05047,,2019
EURUSD,1,2019-01-21 19:00:00,2019-01-22 05:00:00,1.13698,1.13624,1.13558,1.13979,0.6915,-7.4,-51.17,-51.17,10,time_exit,16.96086,0.00094,-1.13458,-3.98108,new_york,2019
EURUSD,1,2019-01-22 12:00:00,2019-01-22 15:00:00,1.13609,1.13494,1.13494,1.13839,0.8403,-11.5,-96.63,-96.64,3,stop_loss,22.02876,0.00077,-1.45273,-4.85482,london,2019
