symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,1,2019-01-15 02:00:00,2019-01-15 07:00:00,139.353,140.24566,138.90667,140.24566,0.2462,89.3,199.99,199.67,5,take_profit,27.46846,0.29755,1.41345,1.27267,,2019
GBPJPY,-1,2019-01-15 13:00:00,2019-01-15 19:00:00,139.342,138.37452,139.82574,138.37452,0.2317,96.7,203.99,203.67,6,take_profit,36.26398,0.32249,0.22174,1.78906,london,2019
GBPJPY,-1,2019-01-16 07:00:00,2019-01-16 10:00:00,139.466,140.05443,140.05443,138.28914,0.1943,-58.8,-104.04,-104.36,3,stop_loss,18.48655,0.39229,0.47537,1.25791,london,2019
GBPJPY,-1,2019-01-17 07:00:00,2019-01-17 17:00:00,140.302,140.74282,140.74282,139.42035,0.2567,-44.1,-102.97,-103.29,10,stop_loss,31.33155,0.29388,1.6539,2.55132,london,2019
GBPJPY,-1,2019-01-21 01:00:00,2019-01-21 11:00:00,141.175,140.769,141.56658,140.39183,0.2861,40.6,105.7,105.38,10,time_exit,23.51472,0.26106,0.24167,4.88626,,2019
GBPJPY,1,2019-01-21 13:00:00,2019-01-21 23:00:00,140.949,141.361,140.60378,141.63945,0.3279,41.2,122.94,122.62,10,time_exit,27.99229,0.23015,-0.4494,4.73209,london,2019
GBPJPY,1,2019-01-22 01:00:00,2019-01-22 05:00:00,141.392,141.09962,141.09962,141.97677,0.3918,-29.2,-104.25,-104.56,4,stop_loss,18.60107,0.19492,1.26146,5.29922,,2019
GBPJPY,-1,2019-01-22 14:00:00,2019-01-22 15:00:00,141.128,141.4745,141.4745,140.435,0.3273,-34.6,-103.2,-103.52,1,stop_loss,19.0606,0.231,-0.03395,3.88793,london,2019
GBPJPY,1,2019-01-23 16:00:00,2019-01-24 02:00:00,143.139,143.198,142.72667,143.96367,0.2723,5.9,14.62,14.3,10,time_exit,29.16863,0.27489,4.99491,4.08098,new_york,2019
GBPJPY,-1,2019-01-24 03:00:00,2019-01-24 13:00:00,143.198,142.865,143.57466,142.44468,0.2985,33.3,90.45,90.14,10,time_exit,40.85659,0.25111,3.65381,5.4575,,2019
GBPJPY,1,2019-01-28 01:00:00,2019-01-28 03:00:00,144.674,144.23461,144.23461,145.55277,0.2581,-43.9,-103.2,-103.52,2,stop_loss,39.18662,0.29292,3.56891,5.80263,,2019
GBPJPY,-1,2019-01-29 03:00:00,2019-01-29 10:00:00,143.477,143.8429,143.8429,142.7452,0.3068,-36.6,-102.15,-102.47,7,stop_loss,23.15794,0.24393,-1.46688,5.86826,,2019
GBPJPY,1,2019-01-29 14:00:00,2019-01-29 17:00:00,144.055,143.68872,143.68872,144.78756,0.3034,-36.6,-101.13,-101.45,3,stop_loss,20.25599,0.24419,0.93105,5.23759,london,2019
GBPJPY,1,2019-01-30 14:00:00,2019-01-30 21:00:00,143.355,142.94073,142.94073,144.18353,0.2656,-41.4,-100.13,-100.45,7,stop_loss,26.86702,0.27618,-0.53105,2.83419,london,2019
GBPJPY,-1,2019-01-30 21:00:00,2019-01-31 07:00:00,143.038,142.743,143.40192,142.31016,0.2993,29.5,80.35,80.03,10,time_exit,22.9546,0.24261,-1.60304,2.78364,new_york,2019
GBPJPY,-1,2019-01-31 19:00:00,2019-02-01 05:00:00,142.96,142.528,143.39345,142.0931,0.2533,43.2,99.58,99.26,10,time_exit,18.50141,0.28897,-0.28837,0.9867,new_york,2019
GBPJPY,-1,2019-02-05 02:00:00,2019-02-05 12:00:00,143.266,143.063,143.57909,142.63982,0.3542,20.3,65.43,65.11,10,time_exit,18.83188,0.20873,0.08125,1.59292,,2019
GBPJPY,-1,2019-02-05 20:00:00,2019-02-06 06:00:00,142.3,142.217,142.64449,141.61102,0.324,8.3,24.47,24.15,10,time_exit,24.45494,0.22966,-3.45535,0.7044,new_york,2019
GBPJPY,1,2019-02-08 02:00:00,2019-02-08 12:00:00,142.123,142.389,141.78241,142.80418,0.3285,26.6,79.52,79.2,10,time_exit,16.04164,0.22706,-0.69413,-1.50642,,2019
GBPJPY,1,2019-02-14 09:00:00,2019-02-14 10:00:00,142.909,142.62927,142.62927,143.46846,0.4031,-28.0,-102.61,-102.93,1,stop_loss,24.8034,0.18649,1.67202,0.5954,london,2019
GBPJPY,1,2019-02-14 16:00:00,2019-02-14 17:00:00,141.886,141.52648,141.52648,142.60504,0.3105,-36.0,-101.58,-101.9,1,stop_loss,22.97523,0.23968,-2.71639,0.24311,new_york,2019
GBPJPY,1,2019-02-14 23:00:00,2019-02-15 09:00:00,141.373,141.293,140.9991,142.12081,0.2955,-8.0,-21.51,-21.83,10,time_exit,31.0164,0.24927,-3.64907,-0.52078,,2019
GBPJPY,-1,2019-02-15 09:00:00,2019-02-15 13:00:00,141.414,141.70876,141.70876,140.82448,0.3741,-29.5,-100.35,-100.66,4,stop_loss,36.97042,0.19651,-2.71848,-1.81019,london,2019
GBPJPY,1,2019-02-18 05:00:00,2019-02-18 15:00:00,142.756,142.856,142.4453,143.3774,0.3513,10.0,31.97,31.65,10,time_exit,36.96685,0.20713,3.34014,-0.9607,,2019
GBPJPY,-1,2019-02-18 21:00:00,2019-02-19 07:00:00,142.934,142.737,143.19145,142.41909,0.4253,19.7,76.24,75.93,10,time_exit,39.68186,0.17164,2.86609,0.53911,new_york,2019
GBPJPY,-1,2019-02-19 14:00:00,2019-02-19 15:00:00,143.103,143.40064,143.40064,142.50771,0.3707,-29.8,-100.41,-100.73,1,stop_loss,27.65442,0.19843,2.21112,1.16827,london,2019
GBPJPY,-1,2019-02-20 19:00:00,2019-02-21 05:00:00,144.812,144.62,145.17879,144.07843,0.2978,19.2,52.03,51.71,10,time_exit,31.7484,0.24452,3.68169,3.98551,new_york,2019
GBPJPY,1,2019-02-22 03:00:00,2019-02-22 13:00:00,144.386,144.257,144.0328,145.09239,0.3109,-12.9,-36.5,-36.82,10,time_exit,17.72744,0.23546,0.22294,4.09023,,2019
GBPJPY,-1,2019-02-25 23:00:00,2019-02-26 00:00:00,145.466,145.83989,145.83989,144.71822,0.2926,-37.4,-99.55,-99.87,1,stop_loss,33.20895,0.24926,3.06573,3.50178,,2019
GBPJPY,-1,2019-02-26 19:00:00,2019-02-27 05:00:00,146.783,146.487,147.35352,145.64195,0.1898,29.6,51.12,50.81,10,time_exit,51.21314,0.38035,3.63165,3.138,new_york,2019
GBPJPY,-1,2019-03-01 05:00:00,2019-03-01 15:00:00,148.198,147.956,148.54451,147.50497,0.3141,24.2,69.17,68.85,10,time_exit,33.66457,0.23101,3.72416,7.53466,,2019
GBPJPY,-1,2019-03-04 05:00:00,2019-03-04 14:00:00,148.238,147.50306,148.60547,147.50306,0.2983,73.5,199.5,199.18,9,take_profit,25.56886,0.24498,1.85266,6.77594,,2019
GBPJPY,1,2019-03-04 17:00:00,2019-03-04 18:00:00,147.692,147.32712,147.32712,148.42176,0.3064,-36.5,-101.74,-102.06,1,stop_loss,22.82743,0.24325,-0.63997,6.23878,new_york,2019
GBPJPY,1,2019-03-05 03:00:00,2019-03-05 13:00:00,147.337,147.537,147.04453,147.92194,0.3784,20.0,68.87,68.55,10,time_exit,32.90395,0.19498,-1.63486,6.33211,,2019
GBPJPY,1,2019-03-11 03:00:00,2019-03-11 13:00:00,144.234,144.518,143.75072,145.20056,0.2306,28.4,59.6,59.28,10,time_exit,34.68402,0.32219,-4.25169,-2.17584,,2019
GBPJPY,-1,2019-03-11 18:00:00,2019-03-11 19:00:00,145.46,145.99632,145.99632,144.38736,0.209,-53.6,-102.0,-102.32,1,stop_loss,27.38389,0.35755,0.87232,-2.54883,new_york,2019
GBPJPY,-1,2019-03-12 19:00:00,2019-03-13 05:00:00,145.883,145.544,146.70202,144.24495,0.1355,33.9,41.8,41.48,10,time_exit,35.50928,0.54602,-0.29748,-0.24346,new_york,2019
GBPJPY,-1,2019-03-15 07:00:00,2019-03-15 17:00:00,147.862,147.976,148.40967,146.76666,0.2034,-11.4,-21.1,-21.42,10,time_exit,31.63438,0.36511,0.99118,2.27201,london,2019
GBPJPY,1,2019-03-18 08:00:00,2019-03-18 11:00:00,148.205,147.87688,147.87688,148.86123,0.3388,-32.8,-101.16,-101.48,3,stop_loss,14.81506,0.21874,1.39417,4.17588,london,2019
GBPJPY,1,2019-03-18 21:00:00,2019-03-19 07:00:00,147.459,147.723,147.02532,148.32637,0.2538,26.4,60.97,60.65,10,time_exit,24.47045,0.28912,-1.27012,2.57312,new_york,2019
GBPJPY,-1,2019-03-19 17:00:00,2019-03-20 03:00:00,147.639,147.956,148.00849,146.90002,0.2997,-31.7,-86.45,-86.77,10,time_exit,16.37972,0.24633,-0.45259,2.27686,new_york,2019
GBPJPY,-1,2019-03-21 10:00:00,2019-03-21 11:00:00,146.001,145.2305,146.38625,145.2305,0.2849,77.0,199.76,199.44,1,take_profit,39.37277,0.25683,-3.83711,-0.60936,london,2019
GBPJPY,1,2019-03-21 17:00:00,2019-03-21 18:00:00,145.7,145.15758,145.15758,146.78484,0.2064,-54.2,-101.88,-102.2,1,stop_loss,47.69602,0.36161,-2.42548,-1.21262,new_york,2019
GBPJPY,1,2019-03-22 16:00:00,2019-03-25 02:00:00,145.043,145.385,144.46035,146.2083,0.1902,34.2,59.19,58.88,10,time_exit,27.37388,0.38843,-1.86102,-2.26792,new_york,2019
GBPJPY,1,2019-03-27 21:00:00,2019-03-28 00:00:00,146.054,145.52916,145.52916,147.10367,0.2124,-52.5,-101.44,-101.76,3,stop_loss,14.90409,0.34989,0.80098,-0.88453,new_york,2019
GBPJPY,-1,2019-03-28 00:00:00,2019-03-28 10:00:00,145.716,144.906,146.28566,144.57668,0.1937,81.0,142.78,142.46,10,time_exit,15.87563,0.37977,-0.12186,-0.69693,,2019
GBPJPY,-1,2019-04-02 08:00:00,2019-04-02 18:00:00,145.487,145.101,145.88861,144.68378,0.2787,38.6,97.9,97.58,10,time_exit,25.66879,0.26774,0.67967,-0.80563,london,2019
GBPJPY,-1,2019-04-03 08:00:00,2019-04-03 09:00:00,146.352,146.74956,146.74956,145.55689,0.2843,-39.8,-102.85,-103.17,1,stop_loss,31.7328,0.26504,2.57512,0.3312,london,2019
GBPJPY,-1,2019-04-03 10:00:00,2019-04-03 20:00:00,146.984,146.584,147.41008,146.13184,0.2626,40.0,95.59,95.27,10,time_exit,33.11803,0.28405,4.36681,0.50738,london,2019
GBPJPY,-1,2019-04-03 22:00:00,2019-04-04 08:00:00,146.629,146.884,147.12498,145.63704,0.2277,-25.5,-52.84,-53.16,10,time_exit,24.05006,0.33065,1.50223,1.20563,,2019
GBPJPY,-1,2019-04-04 14:00:00,2019-04-04 18:00:00,146.466,145.74895,146.82453,145.74895,0.3133,71.7,204.43,204.12,4,take_profit,13.34609,0.23902,0.1764,2.25275,london,2019
GBPJPY,-1,2019-04-05 02:00:00,2019-04-05 07:00:00,145.934,146.25348,146.25348,145.29504,0.3586,-31.9,-104.25,-104.57,5,stop_loss,28.18747,0.21299,-1.5088,1.67905,,2019
GBPJPY,-1,2019-04-05 12:00:00,2019-04-05 16:00:00,146.105,145.47767,146.41867,145.47767,0.3616,62.7,206.43,206.11,4,take_profit,21.34612,0.20911,-0.60152,1.46613,london,2019
GBPJPY,-1,2019-04-05 18:00:00,2019-04-08 04:00:00,145.383,145.484,145.74042,144.66815,0.3237,-10.1,-29.75,-30.07,10,time_exit,22.11748,0.23828,-3.13114,0.89492,new_york,2019
GBPJPY,-1,2019-04-08 06:00:00,2019-04-08 16:00:00,145.417,145.231,145.71718,144.81665,0.3843,18.6,65.05,64.73,10,time_exit,31.59814,0.20012,-2.39468,0.13083,,2019
GBPJPY,-1,2019-04-09 16:00:00,2019-04-10 02:00:00,145.037,145.034,145.43876,144.23349,0.2889,0.3,0.79,0.47,10,time_exit,18.47976,0.26784,-2.248,-0.51464,new_york,2019
GBPJPY,1,2019-04-11 04:00:00,2019-04-11 11:00:00,145.466,145.14156,145.14156,146.11487,0.3578,-32.4,-105.64,-105.95,7,stop_loss,11.48151,0.21629,0.64399,-1.26661,,2019
GBPJPY,-1,2019-04-16 16:00:00,2019-04-17 02:00:00,146.288,146.041,146.57131,145.72138,0.4056,24.7,91.17,90.85,10,time_exit,20.75498,0.18887,-0.92694,2.29612,new_york,2019
GBPJPY,1,2019-04-17 03:00:00,2019-04-17 13:00:00,146.041,146.087,145.79751,146.52797,0.4761,4.6,19.93,19.61,10,time_exit,28.95731,0.16232,-1.85648,1.87665,,2019
GBPJPY,-1,2019-04-19 03:00:00,2019-04-19 13:00:00,145.487,145.488,145.71606,145.02887,0.507,-0.1,-0.46,-0.78,10,time_exit,46.22403,0.15271,-2.08056,-0.98949,,2019
GBPJPY,1,2019-04-19 21:00:00,2019-04-22 07:00:00,145.417,145.434,145.25851,145.73398,0.7327,1.7,11.33,11.02,10,time_exit,26.97298,0.10566,-1.99548,-2.31424,new_york,2019
GBPJPY,1,2019-04-23 19:00:00,2019-04-24 05:00:00,144.787,144.701,144.5308,145.29939,0.4537,-8.6,-35.51,-35.83,10,time_exit,30.53193,0.1708,-3.10188,-2.00007,new_york,2019
GBPJPY,1,2019-04-24 09:00:00,2019-04-24 10:00:00,144.665,144.45803,144.45803,145.07895,0.5597,-20.7,-105.42,-105.74,1,stop_loss,33.48464,0.13798,-2.81638,-3.48478,london,2019
GBPJPY,1,2019-04-24 23:00:00,2019-04-25 05:00:00,144.787,144.51124,144.51124,145.33851,0.4159,-27.6,-104.37,-104.68,6,stop_loss,26.27754,0.18384,-0.75841,-2.74492,,2019
GBPJPY,1,2019-04-25 12:00:00,2019-04-25 17:00:00,144.241,143.97228,143.97228,144.77845,0.4225,-26.9,-103.32,-103.64,5,stop_loss,27.5853,0.17915,-3.00871,-3.05975,london,2019
GBPJPY,1,2019-04-25 18:00:00,2019-04-26 04:00:00,143.904,144.084,143.62342,144.46517,0.4006,18.0,65.62,65.3,10,time_exit,36.51851,0.18706,-3.85161,-3.3727,new_york,2019
GBPJPY,1,2019-04-26 08:00:00,2019-04-26 18:00:00,144.122,144.348,143.8804,144.60519,0.4682,22.6,96.29,95.97,10,time_exit,41.92891,0.16106,-1.49101,-4.52939,london,2019
GBPJPY,1,2019-04-29 19:00:00,2019-04-30 04:00:00,144.521,144.31706,144.31706,144.92887,0.5598,-20.4,-103.89,-104.21,9,stop_loss,16.91711,0.13596,0.99945,-3.60548,new_york,2019
GBPJPY,1,2019-05-01 04:00:00,2019-05-01 14:00:00,145.336,145.515,145.09844,145.81113,0.4758,17.9,77.5,77.18,10,time_exit,31.37292,0.15838,3.55529,-0.54764,,2019
GBPJPY,1,2019-05-02 16:00:00,2019-05-02 18:00:00,145.446,145.15014,145.15014,146.03772,0.3849,-29.6,-103.63,-103.95,2,stop_loss,18.56517,0.19724,0.42566,1.51451,new_york,2019
