symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,1,2019-01-14 13:00:00,2019-01-14 23:00:00,108.156,108.161,107.9803,108.5074,0.6254,0.5,2.85,2.62,10,time_exit,24.8757,0.11713,-1.22611,-2.01128,london,2019
USDJPY,-1,2019-01-15 03:00:00,2019-01-15 05:00:00,108.332,108.5044,108.5044,107.98719,0.6376,-17.2,-100.03,-100.26,2,stop_loss,17.12628,0.11494,0.63596,-2.02408,tokyo,2019
USDJPY,1,2019-01-15 13:00:00,2019-01-15 23:00:00,108.503,108.694,108.32321,108.86257,0.6053,19.1,105.21,104.98,10,time_exit,29.80249,0.11986,1.18378,-1.14767,london,2019
USDJPY,-1,2019-01-17 01:00:00,2019-01-17 11:00:00,109.115,108.737,109.33611,108.67278,0.4974,37.8,171.1,170.87,10,time_exit,25.03012,0.14741,3.13284,0.66392,tokyo,2019
USDJPY,-1,2019-01-17 12:00:00,2019-01-17 16:00:00,108.737,108.93965,108.93965,108.33169,0.5519,-20.3,-101.78,-102.01,4,stop_loss,20.50394,0.1351,-0.02925,1.09216,london,2019
USDJPY,-1,2019-01-21 03:00:00,2019-01-21 13:00:00,109.628,109.6,109.82468,109.23463,0.563,2.8,14.35,14.12,10,time_exit,33.57973,0.13112,2.33482,3.60092,tokyo,2019
USDJPY,1,2019-01-22 13:00:00,2019-01-22 17:00:00,109.45,109.32008,109.32008,109.70984,0.8535,-13.0,-100.91,-101.13,4,stop_loss,25.74365,0.08661,-0.55616,5.0692,london,2019
USDJPY,1,2019-01-24 07:00:00,2019-01-24 17:00:00,109.551,109.576,109.37572,109.90156,0.6263,2.5,14.25,14.02,10,time_exit,12.6168,0.11685,0.07128,2.73345,tokyo,2019
USDJPY,1,2019-01-25 09:00:00,2019-01-25 16:00:00,109.82,109.64329,109.64329,110.17343,0.6221,-17.7,-100.04,-100.27,7,stop_loss,14.52704,0.11781,1.52766,2.63723,london,2019
USDJPY,-1,2019-01-28 03:00:00,2019-01-28 13:00:00,109.317,109.492,109.53297,108.88507,0.5039,-17.5,-80.25,-80.47,10,time_exit,17.84903,0.14398,-2.26716,1.79802,tokyo,2019
USDJPY,-1,2019-01-28 18:00:00,2019-01-29 04:00:00,109.274,109.201,109.45881,108.90437,0.584,7.3,38.8,38.57,10,time_exit,19.61354,0.12321,-2.03023,1.13327,new_york,2019
USDJPY,1,2019-01-30 10:00:00,2019-01-30 16:00:00,109.313,109.60223,109.16839,109.60223,0.7493,28.9,197.21,196.99,6,take_profit,10.82317,0.09641,-0.62501,0.07094,london,2019
USDJPY,1,2019-01-30 19:00:00,2019-01-30 21:00:00,109.575,109.4311,109.4311,109.8628,0.7681,-14.4,-100.58,-100.81,2,stop_loss,18.43733,0.09593,1.71798,0.34709,new_york,2019
USDJPY,-1,2019-01-31 03:00:00,2019-01-31 11:00:00,108.941,108.54571,109.13864,108.54571,0.5536,39.5,199.14,198.91,8,take_profit,26.04489,0.13176,-2.92468,-0.23107,tokyo,2019
USDJPY,1,2019-01-31 18:00:00,2019-02-01 04:00:00,108.829,108.918,108.62131,109.24438,0.5374,8.9,43.52,43.3,10,time_exit,41.14322,0.13846,-1.60978,-1.56359,new_york,2019
USDJPY,-1,2019-02-06 14:00:00,2019-02-06 20:00:00,109.756,109.9268,109.9268,109.41441,0.6562,-17.1,-101.99,-102.22,6,stop_loss,26.53713,0.11386,-0.20865,2.3815,london,2019
USDJPY,-1,2019-02-06 22:00:00,2019-02-07 08:00:00,109.973,109.957,110.145,109.629,0.6451,1.6,9.39,9.17,10,time_exit,21.34891,0.11467,1.59425,2.25775,,2019
USDJPY,-1,2019-02-07 16:00:00,2019-02-08 02:00:00,109.764,109.739,109.94706,109.39789,0.6067,2.5,13.8,13.57,10,time_exit,17.62826,0.12204,-0.63336,2.04695,new_york,2019
USDJPY,1,2019-02-12 06:00:00,2019-02-12 12:00:00,110.648,110.48412,110.48412,110.97577,0.6786,-16.4,-101.2,-101.43,6,stop_loss,43.42423,0.10926,4.63179,3.16677,tokyo,2019
