symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,-1,2019-01-15 02:00:00,2019-01-15 12:00:00,1291.55,1289.1,1294.50788,1285.63424,3.3808,24.5,82.83,82.43,10,time_exit,16.82513,1.97192,0.16066,1.34525,,2019
XAUUSD,1,2019-01-21 03:00:00,2019-01-21 10:00:00,1283.47,1280.8311,1280.8311,1288.7478,3.8207,-26.4,-100.82,-101.22,7,stop_loss,42.65861,1.75927,-2.46889,-0.79698,,2019
XAUUSD,1,2019-01-21 14:00:00,2019-01-22 04:00:00,1278.35,1278.06,1275.85563,1283.33875,4.0015,-2.9,-11.6,-12.0,10,time_exit,38.79123,1.66292,-4.18004,-1.82454,london,2019
XAUUSD,1,2019-01-23 06:00:00,2019-01-23 15:00:00,1284.01,1281.66997,1281.66997,1288.69006,4.2603,-23.4,-99.69,-100.09,9,stop_loss,16.61083,1.56002,0.47965,-2.05984,,2019
XAUUSD,-1,2019-01-24 01:00:00,2019-01-24 11:00:00,1282.77,1279.77,1285.31681,1277.67638,3.8751,30.0,116.25,115.85,10,time_exit,14.70898,1.69787,-0.47379,-1.4915,,2019
XAUUSD,1,2019-01-25 03:00:00,2019-01-25 13:00:00,1280.9,1284.62,1278.45746,1285.78507,4.0879,37.2,152.07,151.67,10,time_exit,12.83257,1.62836,-0.7042,-1.81225,,2019
XAUUSD,-1,2019-01-28 14:00:00,2019-01-28 17:00:00,1299.66,1302.65778,1302.65778,1293.66444,3.3814,-30.0,-101.37,-101.77,3,stop_loss,57.22372,1.99852,3.38899,2.56318,london,2019
XAUUSD,-1,2019-01-29 07:00:00,2019-01-29 08:00:00,1303.79,1306.26032,1306.26032,1298.84937,4.0622,-24.7,-100.35,-100.75,1,stop_loss,53.17407,1.64688,3.69008,4.68059,london,2019
XAUUSD,-1,2019-01-29 20:00:00,2019-01-30 03:00:00,1309.88,1313.10237,1313.10237,1303.43527,3.0829,-32.2,-99.34,-99.74,6,stop_loss,52.01586,2.14824,3.68526,4.53972,new_york,2019
XAUUSD,1,2019-01-31 09:00:00,2019-01-31 15:00:00,1319.44,1325.8753,1316.22235,1325.8753,3.0564,64.4,196.69,196.29,6,take_profit,38.38137,2.1451,3.35005,6.22948,london,2019
XAUUSD,-1,2019-02-01 20:00:00,2019-02-04 07:00:00,1317.65,1312.82,1321.296,1310.35801,2.7511,48.3,132.88,132.48,10,time_exit,22.21893,2.43066,-0.13753,5.31866,new_york,2019
XAUUSD,-1,2019-02-04 13:00:00,2019-02-04 17:00:00,1310.75,1313.42916,1313.42916,1305.39169,3.7934,-26.8,-101.63,-102.03,4,stop_loss,36.07886,1.7861,-3.05318,5.45612,london,2019
XAUUSD,1,2019-02-06 20:00:00,2019-02-06 21:00:00,1312.44,1310.05066,1310.05066,1317.21868,4.2108,-23.9,-100.61,-101.01,1,stop_loss,18.57818,1.59289,-0.92769,2.85087,new_york,2019
XAUUSD,-1,2019-02-06 21:00:00,2019-02-07 03:00:00,1309.74,1304.61051,1312.30474,1304.61051,3.8835,51.3,199.2,198.8,5,take_profit,20.41795,1.70983,-2.35877,2.55762,new_york,2019
XAUUSD,-1,2019-02-08 05:00:00,2019-02-08 13:00:00,1309.85,1312.34372,1312.34372,1304.86257,4.0738,-24.9,-101.59,-101.99,8,stop_loss,15.92943,1.66248,-0.03679,0.56288,,2019
XAUUSD,1,2019-02-11 21:00:00,2019-02-12 08:00:00,1307.91,1311.44,1304.92509,1313.87981,3.3693,35.3,118.94,118.54,10,time_exit,21.79082,1.98994,-1.10608,0.28911,new_york,2019
XAUUSD,1,2019-02-13 03:00:00,2019-02-13 13:00:00,1309.81,1311.1,1307.29934,1314.83133,4.0529,12.9,52.28,51.88,10,time_exit,17.00326,1.67378,-0.2926,0.36956,,2019
XAUUSD,1,2019-02-13 20:00:00,2019-02-13 21:00:00,1311.78,1308.45597,1308.45597,1318.42806,3.0768,-33.2,-102.27,-102.67,1,stop_loss,17.10584,2.21602,0.2209,0.53352,new_york,2019
XAUUSD,1,2019-02-14 02:00:00,2019-02-14 12:00:00,1307.64,1306.38,1304.33827,1314.24346,3.0665,-12.6,-38.64,-39.04,10,time_exit,17.29263,2.20115,-1.32825,0.27204,,2019
XAUUSD,-1,2019-02-14 16:00:00,2019-02-15 03:00:00,1311.23,1311.77,1314.95672,1303.77655,2.7063,-5.4,-14.61,-15.01,10,time_exit,15.10228,2.48448,0.76589,-0.14264,new_york,2019
XAUUSD,-1,2019-02-18 09:00:00,2019-02-18 14:00:00,1323.38,1325.99845,1325.99845,1318.14309,3.846,-26.2,-100.71,-101.11,5,stop_loss,36.48214,1.74564,3.8886,2.5902,london,2019
XAUUSD,1,2019-02-19 06:00:00,2019-02-19 11:00:00,1324.86,1328.93344,1322.82328,1328.93344,4.8949,40.7,199.39,198.99,5,take_profit,34.94211,1.35781,2.89462,4.99486,,2019
XAUUSD,-1,2019-02-20 07:00:00,2019-02-20 17:00:00,1343.3,1344.84,1346.62061,1336.65877,3.0622,-15.4,-47.16,-47.56,10,time_exit,57.20072,2.21374,5.5742,5.50469,london,2019
XAUUSD,1,2019-02-20 22:00:00,2019-02-21 09:00:00,1341.16,1339.03,1337.24524,1348.98951,2.5853,-21.3,-55.07,-55.47,10,time_exit,46.8562,2.60984,1.73862,5.51848,,2019
XAUUSD,-1,2019-02-21 12:00:00,2019-02-21 15:00:00,1333.31,1337.17548,1337.17548,1325.57904,2.6039,-38.7,-100.65,-101.05,3,stop_loss,34.72881,2.57699,-1.53682,5.08493,london,2019
XAUUSD,-1,2019-02-22 09:00:00,2019-02-22 15:00:00,1325.57,1328.99954,1328.99954,1318.71093,2.9055,-34.3,-99.65,-100.05,6,stop_loss,48.82424,2.28636,-2.76706,3.06924,london,2019
XAUUSD,-1,2019-02-25 11:00:00,2019-02-25 16:00:00,1328.43,1331.41037,1331.41037,1322.46927,3.3098,-29.8,-98.64,-99.04,5,stop_loss,16.88821,1.98691,-0.82119,2.19066,london,2019
XAUUSD,-1,2019-02-26 11:00:00,2019-02-26 18:00:00,1325.17,1327.95052,1327.95052,1319.60897,3.5121,-27.8,-97.65,-98.05,7,stop_loss,18.56128,1.85368,-2.00107,1.42414,london,2019
XAUUSD,-1,2019-02-27 12:00:00,2019-02-27 18:00:00,1326.81,1321.84731,1329.29135,1321.84731,3.896,49.6,193.35,192.95,6,take_profit,11.67267,1.65423,-0.69364,0.90261,london,2019
XAUUSD,-1,2019-03-01 22:00:00,2019-03-04 09:00:00,1293.04,1291.36,1297.65084,1283.81832,2.1385,16.8,35.93,35.53,10,time_exit,38.45427,3.07389,-6.45236,-2.74905,,2019
XAUUSD,-1,2019-03-04 09:00:00,2019-03-04 10:00:00,1294.56,1287.03747,1298.32127,1287.03747,2.631,75.2,197.92,197.52,1,take_profit,38.47306,2.50751,-4.9509,-4.71769,london,2019
XAUUSD,-1,2019-03-04 15:00:00,2019-03-04 18:00:00,1285.5,1289.59734,1289.59734,1277.30533,2.4634,-41.0,-100.93,-101.33,3,stop_loss,44.44562,2.73156,-6.34511,-5.18562,london,2019
XAUUSD,1,2019-03-05 05:00:00,2019-03-05 10:00:00,1287.98,1284.43144,1284.43144,1295.07711,2.8158,-35.5,-99.92,-100.32,5,stop_loss,36.20511,2.3657,-3.58608,-7.13639,,2019
XAUUSD,1,2019-03-06 12:00:00,2019-03-06 22:00:00,1286.07,1287.48,1282.99952,1292.21097,3.2215,14.1,45.42,45.02,10,time_exit,14.39749,2.04699,-1.84219,-8.12273,london,2019
XAUUSD,1,2019-03-07 11:00:00,2019-03-07 15:00:00,1286.49,1283.49983,1283.49983,1292.47035,3.3231,-29.9,-99.37,-99.77,4,stop_loss,12.56897,1.99345,-0.62127,-7.41473,london,2019
XAUUSD,1,2019-03-08 05:00:00,2019-03-08 08:00:00,1287.2,1292.95665,1284.32167,1292.95665,3.4176,57.6,196.74,196.34,3,take_profit,20.91383,1.91888,0.14909,-6.77357,,2019
XAUUSD,-1,2019-03-12 03:00:00,2019-03-12 05:00:00,1292.66,1295.36765,1295.36765,1287.2447,3.7055,-27.1,-100.33,-100.73,2,stop_loss,22.46539,1.8051,-0.47623,-2.59592,,2019
XAUUSD,1,2019-03-14 07:00:00,2019-03-14 12:00:00,1304.27,1301.57409,1301.57409,1309.66182,3.6843,-27.0,-99.33,-99.73,5,stop_loss,35.86975,1.79727,0.38854,1.86171,london,2019
XAUUSD,1,2019-03-19 17:00:00,2019-03-19 18:00:00,1309.96,1307.20381,1307.20381,1315.47238,3.5675,-27.6,-98.33,-98.73,1,stop_loss,17.23845,1.83746,3.07594,1.54414,new_york,2019
XAUUSD,1,2019-03-19 21:00:00,2019-03-20 04:00:00,1307.55,1304.56117,1304.56117,1313.52766,3.2568,-29.9,-97.34,-97.74,6,stop_loss,15.85024,1.99255,1.3837,1.52835,new_york,2019
XAUUSD,-1,2019-03-20 05:00:00,2019-03-20 15:00:00,1305.0,1307.62273,1307.62273,1299.75454,3.6741,-26.2,-96.36,-96.76,10,stop_loss,13.83778,1.74849,-0.05843,1.75015,,2019
XAUUSD,-1,2019-03-25 01:00:00,2019-03-25 10:00:00,1313.56,1317.02642,1317.02642,1306.62715,2.752,-34.7,-95.4,-95.8,9,stop_loss,16.13856,2.31095,0.89154,2.0999,,2019
