symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,-1,2019-02-20 00:00:00,2019-02-21 16:00:00,144.485,144.457,145.17475,143.1055,0.1593,2.8,4.06,3.74,10,time_exit,29.27667,0.45983,4.0978,1.83904,,2019
GBPJPY,1,2019-02-21 20:00:00,2019-02-25 12:00:00,144.457,144.789,143.69216,145.98668,0.1437,33.2,43.41,43.1,10,time_exit,35.9809,0.50989,2.25462,2.46483,new_york,2019
GBPJPY,1,2019-02-25 12:00:00,2019-02-26 08:00:00,144.796,146.13731,144.12534,146.13731,0.1646,134.1,200.91,200.59,5,take_profit,29.98069,0.4471,2.50037,3.13619,london,2019
GBPJPY,-1,2019-03-05 12:00:00,2019-03-07 04:00:00,147.643,147.246,148.31219,146.30462,0.1683,39.7,60.8,60.48,10,time_exit,36.75289,0.44613,2.53601,6.15186,london,2019
GBPJPY,-1,2019-03-07 20:00:00,2019-03-08 08:00:00,146.547,145.18575,147.22763,145.18575,0.1664,136.1,206.13,205.81,3,take_profit,20.07952,0.45375,-0.36649,5.5639,new_york,2019
GBPJPY,-1,2019-03-14 12:00:00,2019-03-18 04:00:00,148.618,148.206,149.87012,146.11376,0.0923,41.2,34.61,34.29,10,time_exit,26.80883,0.83475,2.60183,2.14529,london,2019
GBPJPY,1,2019-03-22 00:00:00,2019-03-25 16:00:00,145.156,145.01,144.05911,147.34977,0.1057,-14.6,-14.04,-14.36,10,time_exit,33.02773,0.73126,-2.19959,1.99213,,2019
GBPJPY,1,2019-03-26 08:00:00,2019-03-28 00:00:00,145.085,145.392,144.06563,147.12375,0.1136,30.7,31.74,31.42,10,time_exit,40.76494,0.67958,-1.53644,1.13735,london,2019
GBPJPY,-1,2019-03-28 12:00:00,2019-04-01 04:00:00,145.038,144.804,146.03469,143.04462,0.1165,23.4,24.81,24.49,10,time_exit,21.83235,0.66446,-1.41537,0.85852,london,2019
GBPJPY,-1,2019-04-03 16:00:00,2019-04-05 08:00:00,146.775,146.105,147.71065,144.9037,0.1244,67.0,75.85,75.53,10,time_exit,19.02703,0.62377,1.73977,0.46385,new_york,2019
GBPJPY,1,2019-04-08 00:00:00,2019-04-09 16:00:00,145.632,144.86581,144.86581,147.16438,0.153,-76.6,-106.68,-107.0,10,stop_loss,15.56985,0.51079,-0.57722,0.75452,,2019
GBPJPY,1,2019-04-09 16:00:00,2019-04-11 08:00:00,145.037,145.32,144.323,146.465,0.1625,28.3,41.85,41.53,10,time_exit,18.25269,0.476,-1.54118,0.55121,new_york,2019
