symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,-1,2019-02-18 16:00:00,2019-02-20 00:00:00,110.591,110.86484,110.86484,110.04332,0.4013,-27.4,-100.0,-100.23,8,stop_loss,22.36389,0.18256,1.42725,3.41045,new_york,2019
USDJPY,1,2019-02-21 12:00:00,2019-02-25 04:00:00,110.702,110.63,110.40707,111.29186,0.3689,-7.2,-24.17,-24.4,10,time_exit,16.97936,0.19662,0.94641,3.32601,london,2019
USDJPY,-1,2019-02-25 08:00:00,2019-02-25 16:00:00,110.63,110.90619,110.90619,110.07762,0.3929,-27.6,-98.75,-98.98,2,stop_loss,11.31774,0.18413,0.27404,3.42447,tokyo,2019
USDJPY,-1,2019-02-25 20:00:00,2019-02-26 20:00:00,111.192,110.58825,111.49388,110.58825,0.3559,60.4,195.54,195.31,6,take_profit,14.48986,0.20125,2.86091,3.17596,new_york,2019
USDJPY,1,2019-02-27 12:00:00,2019-02-27 20:00:00,110.426,110.99577,110.14111,110.99577,0.3846,57.0,199.41,199.19,2,take_profit,16.90429,0.18992,-1.13995,3.13995,london,2019
USDJPY,1,2019-03-01 20:00:00,2019-03-05 12:00:00,111.97,111.904,111.61924,112.67153,0.3186,-6.6,-19.14,-19.36,10,time_exit,23.33762,0.23384,4.36936,3.15154,new_york,2019
USDJPY,1,2019-03-06 16:00:00,2019-03-07 16:00:00,111.798,111.52062,111.52062,112.35276,0.4022,-27.7,-101.52,-101.75,6,stop_loss,21.71281,0.18492,2.15988,5.02252,new_york,2019
USDJPY,1,2019-03-08 16:00:00,2019-03-12 08:00:00,110.95,111.407,110.61838,111.61324,0.333,45.7,138.48,138.26,10,time_exit,22.26693,0.22108,-2.15557,3.80197,new_york,2019
USDJPY,-1,2019-03-20 16:00:00,2019-03-20 20:00:00,111.463,110.91251,111.73825,110.91251,0.4068,55.0,203.79,203.56,1,take_profit,15.45122,0.1835,0.07381,2.97329,new_york,2019
USDJPY,1,2019-03-21 12:00:00,2019-03-22 16:00:00,110.453,110.0929,110.0929,111.1732,0.3171,-36.0,-103.91,-104.14,7,stop_loss,24.3758,0.24007,-3.61595,1.76817,london,2019
USDJPY,-1,2019-03-25 16:00:00,2019-03-26 12:00:00,110.067,110.49027,110.49027,109.22046,0.2671,-42.3,-102.88,-103.11,5,stop_loss,37.3817,0.28218,-2.95326,0.26131,new_york,2019
USDJPY,-1,2019-03-26 16:00:00,2019-03-28 08:00:00,110.476,110.286,110.89748,109.63304,0.2655,19.0,45.9,45.68,10,time_exit,36.69545,0.28099,-0.93995,-0.16613,new_york,2019
USDJPY,-1,2019-04-01 12:00:00,2019-04-01 16:00:00,111.011,111.38829,111.38829,110.25641,0.298,-37.7,-102.31,-102.54,1,stop_loss,21.32583,0.25153,1.20787,-0.20391,london,2019
USDJPY,-1,2019-04-02 04:00:00,2019-04-03 20:00:00,111.389,111.491,111.76881,110.62938,0.293,-10.2,-27.2,-27.42,10,time_exit,23.60199,0.25321,2.35745,0.05247,tokyo,2019
USDJPY,1,2019-04-09 00:00:00,2019-04-09 12:00:00,111.452,111.1929,111.1929,111.9702,0.4284,-25.9,-101.01,-101.24,3,stop_loss,23.28856,0.17273,1.20853,1.8852,tokyo,2019
USDJPY,1,2019-04-15 08:00:00,2019-04-17 00:00:00,111.941,112.124,111.69029,112.44242,0.4383,18.3,72.99,72.76,10,time_exit,34.56148,0.16714,3.02567,2.16825,tokyo,2019
USDJPY,-1,2019-04-17 12:00:00,2019-04-19 04:00:00,112.009,111.914,112.22898,111.56904,0.5031,9.5,43.49,43.27,10,time_exit,33.26759,0.14665,2.34815,3.26494,london,2019
USDJPY,-1,2019-04-25 00:00:00,2019-04-25 16:00:00,112.183,111.69059,112.42921,111.69059,0.4515,49.2,202.32,202.09,4,take_profit,19.74467,0.16414,2.10605,2.78162,tokyo,2019
USDJPY,1,2019-04-29 04:00:00,2019-04-30 08:00:00,111.612,111.32355,111.32355,112.1889,0.393,-28.8,-103.16,-103.39,7,stop_loss,18.7456,0.1923,-0.91652,1.85725,tokyo,2019
USDJPY,-1,2019-05-03 08:00:00,2019-05-06 00:00:00,111.487,110.97252,111.74424,110.97252,0.4363,51.4,204.27,204.04,4,take_profit,16.26093,0.17149,-0.64205,0.8822,tokyo,2019
USDJPY,1,2019-05-13 08:00:00,2019-05-13 12:00:00,109.776,109.37837,109.37837,110.57125,0.2879,-39.8,-104.17,-104.4,1,stop_loss,45.4006,0.26508,-2.58245,-2.34406,tokyo,2019
