symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,-1,2019-02-18 20:00:00,2019-02-19 12:00:00,1326.47,1332.36668,1332.36668,1314.67665,1.6959,-59.0,-100.0,-100.4,4,stop_loss,15.43648,3.93112,3.20072,3.01669,new_york,2019
XAUUSD,1,2019-02-28 00:00:00,2019-03-01 04:00:00,1318.77,1312.4206,1312.4206,1331.4688,1.5591,-63.5,-98.99,-99.39,7,stop_loss,21.48819,4.23293,-1.53471,3.38198,,2019
XAUUSD,-1,2019-03-01 16:00:00,2019-03-01 20:00:00,1305.75,1291.88952,1312.68024,1291.88952,1.4141,138.6,196.0,195.6,1,take_profit,24.17475,4.62016,-3.60023,2.19877,new_york,2019
XAUUSD,1,2019-03-01 20:00:00,2019-03-04 08:00:00,1298.42,1290.50299,1290.50299,1314.25402,1.2626,-79.2,-99.96,-100.36,3,stop_loss,26.21674,5.27801,-4.36405,1.77264,new_york,2019
XAUUSD,1,2019-03-04 12:00:00,2019-03-06 04:00:00,1288.04,1288.44,1279.78126,1304.55748,1.1982,4.0,4.79,4.39,10,time_exit,35.95472,5.50583,-5.30124,1.06949,london,2019
XAUUSD,-1,2019-03-07 04:00:00,2019-03-08 08:00:00,1287.87,1294.4075,1294.4075,1274.795,1.5143,-65.4,-99.0,-99.4,7,stop_loss,49.52957,4.35833,-3.40996,-1.13443,,2019
XAUUSD,1,2019-03-11 08:00:00,2019-03-11 16:00:00,1297.53,1291.1278,1291.1278,1310.33441,1.5308,-64.0,-98.0,-98.4,2,stop_loss,34.76985,4.26814,-0.21991,-1.6985,london,2019
XAUUSD,-1,2019-03-11 16:00:00,2019-03-12 20:00:00,1295.25,1301.572,1301.572,1282.60599,1.5346,-63.2,-97.02,-97.42,7,stop_loss,31.66048,4.21467,-0.71044,-1.72377,new_york,2019
XAUUSD,-1,2019-03-13 08:00:00,2019-03-13 20:00:00,1304.9,1310.84951,1310.84951,1293.00098,1.6144,-59.5,-96.05,-96.45,3,stop_loss,25.64799,3.96634,1.68051,-1.65032,london,2019
XAUUSD,-1,2019-03-18 12:00:00,2019-03-19 12:00:00,1303.96,1309.78065,1309.78065,1292.3187,1.6335,-58.2,-95.08,-95.48,6,stop_loss,20.10931,3.88043,1.00335,-1.09073,london,2019
XAUUSD,1,2019-03-20 00:00:00,2019-03-20 16:00:00,1305.72,1300.153,1300.153,1316.854,1.6908,-55.7,-94.13,-94.53,4,stop_loss,22.76754,3.71133,1.24293,-0.70112,,2019
XAUUSD,-1,2019-03-22 12:00:00,2019-03-25 12:00:00,1311.71,1319.31569,1319.31569,1296.49861,1.2252,-76.1,-93.18,-93.58,6,stop_loss,18.52004,5.07046,1.21439,0.07671,london,2019
XAUUSD,1,2019-03-26 04:00:00,2019-03-26 12:00:00,1320.91,1314.44105,1314.44105,1333.84791,1.426,-64.7,-92.25,-92.65,2,stop_loss,19.88631,4.31264,2.66557,0.72064,,2019
XAUUSD,1,2019-03-28 20:00:00,2019-04-01 12:00:00,1290.72,1294.83,1283.02053,1306.11893,1.186,41.1,48.74,48.34,10,time_exit,18.91362,5.13298,-3.76681,0.57713,new_york,2019
XAUUSD,-1,2019-04-02 12:00:00,2019-04-03 08:00:00,1286.56,1293.71825,1293.71825,1272.24349,1.2825,-71.6,-91.8,-92.2,5,stop_loss,26.43839,4.77217,-2.99726,-0.80193,london,2019
XAUUSD,-1,2019-04-10 00:00:00,2019-04-10 16:00:00,1303.94,1309.84164,1309.84164,1292.13672,1.5399,-59.0,-90.88,-91.28,4,stop_loss,24.90904,3.93443,1.77211,-1.20379,,2019
XAUUSD,-1,2019-04-15 00:00:00,2019-04-16 12:00:00,1291.16,1278.97726,1297.25137,1278.97726,1.477,121.8,179.94,179.54,9,take_profit,27.28007,4.06091,-1.76584,-0.9251,,2019
XAUUSD,-1,2019-04-17 12:00:00,2019-04-22 04:00:00,1276.47,1279.24,1282.4168,1264.5764,1.5431,-27.7,-42.74,-43.14,10,time_exit,43.07233,3.96453,-3.57751,-2.04764,london,2019
XAUUSD,1,2019-04-29 12:00:00,2019-05-01 04:00:00,1282.45,1280.16,1276.69053,1293.96893,1.5858,-22.9,-36.31,-36.71,10,time_exit,23.19399,3.83964,0.54948,-2.83894,london,2019
XAUUSD,-1,2019-05-01 16:00:00,2019-05-01 20:00:00,1280.65,1285.82616,1285.82616,1270.29769,1.7574,-51.8,-90.97,-91.37,1,stop_loss,14.54353,3.45077,-0.07963,-2.65706,new_york,2019
XAUUSD,1,2019-05-07 08:00:00,2019-05-09 00:00:00,1282.78,1281.96,1276.79696,1294.74609,1.5051,-8.2,-12.34,-12.74,10,time_exit,16.76782,3.9887,0.91776,-2.11321,london,2019
XAUUSD,-1,2019-05-13 20:00:00,2019-05-15 12:00:00,1300.46,1299.16,1307.26574,1286.84853,1.3213,13.0,17.18,16.78,10,time_exit,19.76928,4.53716,3.63867,-0.7387,new_york,2019
XAUUSD,-1,2019-05-16 00:00:00,2019-05-16 16:00:00,1296.34,1284.21499,1302.40251,1284.21499,1.486,121.3,180.18,179.78,4,take_profit,20.57477,4.04167,1.72919,0.26615,,2019
XAUUSD,-1,2019-05-17 12:00:00,2019-05-17 16:00:00,1286.89,1275.52924,1292.57038,1275.52924,1.6177,113.6,183.78,183.38,1,take_profit,20.56313,3.78692,-0.71393,0.27024,london,2019
XAUUSD,1,2019-05-20 12:00:00,2019-05-22 04:00:00,1275.08,1273.75,1269.23123,1286.77755,1.6024,-13.3,-21.31,-21.71,10,time_exit,29.08906,3.89918,-3.07008,-0.2248,london,2019
XAUUSD,-1,2019-06-05 04:00:00,2019-06-05 08:00:00,1326.98,1334.71752,1334.71752,1311.50495,1.2085,-77.4,-93.51,-93.91,1,stop_loss,52.08304,5.15835,5.1999,1.96348,,2019
XAUUSD,-1,2019-06-05 20:00:00,2019-06-06 16:00:00,1328.78,1338.47987,1338.47987,1309.38025,0.9543,-97.0,-92.57,-92.97,5,stop_loss,54.81526,6.46658,3.69642,2.04155,new_york,2019
XAUUSD,1,2019-06-17 08:00:00,2019-06-19 00:00:00,1341.39,1345.24,1332.5033,1359.16339,1.0312,38.5,39.7,39.3,10,time_exit,33.91388,5.92446,1.6377,4.07302,london,2019
XAUUSD,1,2019-06-20 00:00:00,2019-06-20 04:00:00,1360.44,1379.9581,1350.68095,1379.9581,0.943,195.2,184.06,183.66,1,take_profit,27.47342,6.50603,3.41607,3.8401,,2019
XAUUSD,-1,2019-06-24 04:00:00,2019-06-24 20:00:00,1405.9,1421.42666,1421.42666,1374.84669,0.6046,-155.3,-93.87,-94.27,4,stop_loss,51.6864,10.3511,4.46335,3.59581,,2019
XAUUSD,1,2019-06-25 08:00:00,2019-06-25 20:00:00,1436.03,1420.55417,1420.55417,1466.98165,0.6004,-154.8,-92.92,-93.32,3,stop_loss,60.0089,10.31722,6.05538,4.33929,london,2019
XAUUSD,-1,2019-06-26 12:00:00,2019-06-28 04:00:00,1410.5,1419.28,1426.88967,1377.72065,0.5613,-87.8,-49.28,-49.68,10,time_exit,56.28054,10.92645,2.35814,4.55809,london,2019
XAUUSD,1,2019-06-28 12:00:00,2019-07-01 00:00:00,1415.16,1400.99921,1400.99921,1443.48159,0.6461,-141.6,-91.49,-91.89,3,stop_loss,33.99111,9.44053,2.19857,5.4014,london,2019
XAUUSD,-1,2019-07-02 08:00:00,2019-07-02 16:00:00,1390.65,1403.67837,1403.67837,1364.59327,0.6952,-130.3,-90.57,-90.97,2,stop_loss,31.61608,8.68558,-0.43201,5.25052,london,2019
XAUUSD,-1,2019-07-04 16:00:00,2019-07-05 16:00:00,1413.92,1387.57354,1427.09323,1387.57354,0.6807,263.5,179.34,178.94,6,take_profit,24.43818,8.78215,1.18611,5.24153,new_york,2019
XAUUSD,-1,2019-07-12 00:00:00,2019-07-15 00:00:00,1404.37,1417.13405,1417.13405,1378.84191,0.7165,-127.6,-91.45,-91.85,6,stop_loss,20.44392,8.50936,-0.2175,4.08825,,2019
XAUUSD,1,2019-07-22 12:00:00,2019-07-24 04:00:00,1425.77,1420.12,1412.86803,1451.57394,0.7017,-56.5,-39.65,-40.05,10,time_exit,17.33312,8.60131,0.83169,3.75082,london,2019
XAUUSD,1,2019-07-24 20:00:00,2019-07-25 20:00:00,1422.44,1411.88054,1411.88054,1443.55893,0.8536,-105.6,-90.14,-90.54,6,stop_loss,12.40221,7.03964,0.3365,4.12416,new_york,2019
XAUUSD,-1,2019-07-31 16:00:00,2019-07-31 20:00:00,1432.09,1417.65349,1439.30825,1417.65349,1.2362,144.4,178.46,178.06,1,take_profit,19.62858,4.81217,1.88703,4.95243,new_york,2019
XAUUSD,-1,2019-08-06 12:00:00,2019-08-07 00:00:00,1462.3,1478.02461,1478.02461,1430.85077,0.5788,-157.2,-91.01,-91.41,3,stop_loss,34.28822,10.48308,2.52623,2.68514,london,2019
XAUUSD,-1,2019-08-07 16:00:00,2019-08-09 08:00:00,1497.41,1502.47,1513.01623,1466.19755,0.5773,-50.6,-29.21,-29.61,10,time_exit,40.89658,10.40415,4.86897,3.28583,new_york,2019
XAUUSD,1,2019-08-12 16:00:00,2019-08-13 12:00:00,1501.79,1530.99719,1487.1864,1530.99719,0.6149,292.1,179.6,179.2,5,take_profit,40.29258,9.73573,2.83425,4.8485,new_york,2019
XAUUSD,1,2019-08-13 12:00:00,2019-08-13 16:00:00,1523.4,1509.0835,1509.0835,1552.03299,0.6398,-143.2,-91.6,-92.0,1,stop_loss,40.39311,9.54433,4.40057,5.25588,london,2019
XAUUSD,-1,2019-08-13 20:00:00,2019-08-14 16:00:00,1502.19,1520.93052,1520.93052,1464.70895,0.4838,-187.4,-90.67,-91.07,5,stop_loss,38.90845,12.49368,1.48279,4.07062,new_york,2019
XAUUSD,1,2019-08-16 20:00:00,2019-08-19 12:00:00,1512.97,1496.23084,1496.23084,1546.44831,0.5362,-167.4,-89.76,-90.16,4,stop_loss,18.13676,11.15944,1.20955,4.77648,new_york,2019
XAUUSD,1,2019-08-27 08:00:00,2019-08-29 00:00:00,1527.8,1539.92,1515.08209,1553.23582,0.6987,121.2,84.68,84.28,10,time_exit,29.0941,8.47861,2.06481,5.13467,london,2019
XAUUSD,1,2019-08-29 08:00:00,2019-08-29 16:00:00,1542.93,1531.09619,1531.09619,1566.59762,0.758,-118.3,-89.7,-90.1,2,stop_loss,31.17982,7.88921,2.73605,5.88263,london,2019
XAUUSD,-1,2019-09-02 16:00:00,2019-09-03 16:00:00,1523.87,1536.77142,1536.77142,1498.06716,0.6883,-129.0,-88.8,-89.2,5,stop_loss,15.76602,8.60095,0.01368,4.87813,new_york,2019
XAUUSD,-1,2019-09-10 08:00:00,2019-09-12 00:00:00,1489.88,1490.29,1504.24186,1461.15627,0.6121,-4.1,-2.51,-2.91,10,time_exit,28.69115,9.57458,-3.20056,2.82151,london,2019
XAUUSD,-1,2019-09-16 12:00:00,2019-09-18 04:00:00,1502.35,1502.39,1518.15573,1470.73854,0.556,-0.4,-0.22,-0.62,10,time_exit,22.83538,10.53715,-0.34599,1.12195,london,2019
XAUUSD,1,2019-09-18 04:00:00,2019-09-18 20:00:00,1501.2,1488.86832,1488.86832,1525.86337,0.7126,-123.3,-87.88,-88.28,4,stop_loss,19.76127,8.22112,-0.39353,1.15129,,2019
XAUUSD,1,2019-09-19 04:00:00,2019-09-20 20:00:00,1490.6,1516.32748,1477.73626,1516.32748,0.6763,257.3,173.99,173.59,10,take_profit,20.23596,8.57583,-1.49458,0.95848,,2019
XAUUSD,-1,2019-09-24 08:00:00,2019-09-24 16:00:00,1520.27,1530.43769,1530.43769,1499.93461,0.8726,-101.7,-88.72,-89.12,2,stop_loss,28.38064,6.77846,1.8521,1.46417,london,2019
XAUUSD,-1,2019-09-27 12:00:00,2019-09-30 16:00:00,1496.86,1474.60018,1507.98991,1474.60018,0.7892,222.6,175.67,175.27,7,take_profit,30.10711,7.41994,-1.86473,1.33954,london,2019
XAUUSD,-1,2019-10-04 00:00:00,2019-10-07 16:00:00,1505.53,1499.7,1518.83556,1478.91888,0.6733,58.3,39.25,38.85,10,time_exit,28.62879,8.87037,0.88876,-0.10299,,2019
XAUUSD,-1,2019-10-08 00:00:00,2019-10-08 12:00:00,1493.35,1506.01512,1506.01512,1468.01977,0.7104,-126.7,-89.97,-90.37,3,stop_loss,20.40032,8.44341,-0.69139,0.09088,,2019
XAUUSD,1,2019-10-10 00:00:00,2019-10-10 16:00:00,1505.36,1493.52676,1493.52676,1529.02649,0.7527,-118.3,-89.07,-89.47,4,stop_loss,15.91477,7.88883,0.66004,0.19736,,2019
XAUUSD,-1,2019-10-11 12:00:00,2019-10-11 16:00:00,1498.98,1474.67001,1511.135,1474.67001,0.7255,243.1,176.37,175.97,1,take_profit,14.87962,8.10333,-0.16333,0.16219,london,2019
XAUUSD,-1,2019-10-18 08:00:00,2019-10-22 00:00:00,1491.58,1483.07,1501.02308,1472.69383,0.9524,85.1,81.05,80.65,10,time_exit,11.51097,6.29539,-0.19196,-0.58901,london,2019
XAUUSD,-1,2019-10-24 08:00:00,2019-10-24 16:00:00,1492.79,1499.58616,1499.58616,1479.19767,1.3353,-68.0,-90.75,-91.15,2,stop_loss,15.70819,4.53078,0.45003,-0.92555,london,2019
XAUUSD,-1,2019-10-29 04:00:00,2019-10-30 20:00:00,1492.0,1495.88,1500.36926,1475.26147,1.0734,-38.8,-41.65,-42.05,10,time_exit,27.87019,5.57951,-0.62276,-0.06179,,2019
XAUUSD,-1,2019-11-04 00:00:00,2019-11-05 12:00:00,1514.17,1496.0539,1523.22805,1496.0539,0.9871,181.2,178.82,178.42,9,take_profit,18.55727,6.0387,2.36727,0.45539,,2019
XAUUSD,-1,2019-11-06 16:00:00,2019-11-07 16:00:00,1489.02,1470.48919,1498.2854,1470.48919,0.9843,185.3,182.4,182.0,6,take_profit,30.16629,6.17694,-1.55423,0.24275,new_york,2019
XAUUSD,-1,2019-11-14 08:00:00,2019-11-18 00:00:00,1465.87,1465.57,1474.8317,1447.94661,1.038,3.0,3.11,2.71,10,time_exit,43.49155,5.97446,-1.09537,-2.59947,london,2019
XAUUSD,-1,2019-11-26 08:00:00,2019-11-26 20:00:00,1455.85,1462.84924,1462.84924,1441.85151,1.3294,-70.0,-93.05,-93.45,3,stop_loss,23.50417,4.66616,-2.16249,-2.94617,london,2019
XAUUSD,-1,2019-12-06 20:00:00,2019-12-10 12:00:00,1461.44,1467.13,1469.75251,1444.81497,1.1081,-56.9,-63.05,-63.45,10,time_exit,21.91,5.54168,-1.29716,-1.04845,new_york,2019
XAUUSD,-1,2019-12-13 04:00:00,2019-12-13 16:00:00,1468.66,1477.69727,1477.69727,1450.58545,1.0122,-90.4,-91.48,-91.88,3,stop_loss,23.11464,6.02485,0.08826,-0.75949,,2019
XAUUSD,1,2019-12-19 16:00:00,2019-12-23 08:00:00,1476.38,1485.0,1470.28175,1488.57649,1.485,86.2,128.01,127.61,10,time_exit,11.90751,4.0655,0.81038,-0.06477,new_york,2019
XAUUSD,-1,2019-12-24 12:00:00,2019-12-24 16:00:00,1491.03,1496.221,1496.221,1480.64799,1.7691,-51.9,-91.83,-92.23,1,stop_loss,21.53513,3.46067,3.77684,0.92357,london,2019
XAUUSD,1,2019-12-26 12:00:00,2019-12-27 16:00:00,1504.16,1515.30089,1498.58955,1515.30089,1.632,111.4,181.82,181.42,7,take_profit,37.59657,3.71363,5.77847,1.74218,london,2019
XAUUSD,1,2020-01-03 20:00:00,2020-01-06 00:00:00,1548.78,1566.86251,1539.73874,1566.86251,1.0256,180.8,185.45,185.05,1,take_profit,55.37812,6.0275,5.90538,4.05399,new_york,2020
XAUUSD,1,2020-01-07 12:00:00,2020-01-08 00:00:00,1566.26,1591.51511,1553.63244,1591.51511,0.749,252.6,189.16,188.76,3,take_profit,56.35417,8.41837,4.19244,4.1253,london,2020
XAUUSD,-1,2020-01-10 00:00:00,2020-01-13 16:00:00,1552.6,1549.76,1568.9918,1519.8164,0.5885,28.4,16.71,16.31,10,time_exit,34.09085,10.92787,0.56995,3.66404,,2020
XAUUSD,1,2020-01-20 16:00:00,2020-01-21 12:00:00,1560.41,1552.4462,1552.4462,1576.3376,1.2133,-79.6,-96.62,-97.02,5,stop_loss,12.44685,5.3092,1.52405,5.82826,new_york,2020
XAUUSD,1,2020-01-24 00:00:00,2020-01-27 00:00:00,1562.49,1581.16818,1553.15091,1581.16818,1.0243,186.8,191.32,190.92,6,take_profit,13.79915,6.22606,1.11898,4.44751,,2020
XAUUSD,-1,2020-01-31 12:00:00,2020-01-31 20:00:00,1579.35,1589.5165,1589.5165,1559.01699,0.9597,-101.7,-97.57,-97.97,2,stop_loss,17.97479,6.77767,1.39876,4.23407,london,2020
XAUUSD,1,2020-02-05 20:00:00,2020-02-07 12:00:00,1557.75,1569.0,1546.10771,1581.03457,0.8296,112.5,93.33,92.93,10,time_exit,27.80809,7.76152,-1.30781,2.81402,new_york,2020
XAUUSD,-1,2020-02-10 16:00:00,2020-02-12 08:00:00,1572.7,1565.16,1581.8754,1554.3492,1.0628,75.4,80.14,79.74,10,time_exit,17.92581,6.11693,0.83323,2.99783,new_york,2020
XAUUSD,1,2020-02-13 00:00:00,2020-02-14 16:00:00,1565.95,1582.07047,1557.88976,1582.07047,1.2197,161.2,196.62,196.22,10,take_profit,11.89577,5.37349,-0.38596,2.99526,,2020
XAUUSD,-1,2020-02-14 20:00:00,2020-02-18 12:00:00,1583.64,1591.0776,1591.0776,1568.76479,1.3482,-74.4,-100.27,-100.67,9,stop_loss,21.20952,4.9584,2.54925,3.35946,new_york,2020
XAUUSD,1,2020-02-21 04:00:00,2020-02-21 12:00:00,1621.28,1639.06695,1612.38652,1639.06695,1.1162,177.9,198.54,198.14,2,take_profit,55.27174,5.92898,5.06164,4.51242,,2020
XAUUSD,-1,2020-02-25 20:00:00,2020-02-27 12:00:00,1648.87,1651.79,1669.32787,1607.95426,0.4949,-29.2,-14.45,-14.85,10,time_exit,56.06853,13.63858,2.01545,3.19178,new_york,2020
XAUUSD,1,2020-02-28 16:00:00,2020-02-28 20:00:00,1628.87,1607.34503,1607.34503,1671.91994,0.4697,-215.2,-101.1,-101.5,1,stop_loss,21.98998,14.34998,-0.14689,3.01016,new_york,2020
XAUUSD,-1,2020-03-05 20:00:00,2020-03-06 12:00:00,1667.1,1687.22008,1687.22008,1626.85984,0.4974,-201.2,-100.08,-100.48,4,stop_loss,23.43287,13.41339,2.84372,2.48946,new_york,2020
XAUUSD,1,2020-03-10 12:00:00,2020-03-12 04:00:00,1661.54,1632.96915,1632.96915,1718.68169,0.3468,-285.7,-99.08,-99.48,10,stop_loss,17.73167,19.04723,0.61854,2.2423,london,2020
XAUUSD,-1,2020-03-12 08:00:00,2020-03-12 16:00:00,1636.23,1584.85609,1661.91695,1584.85609,0.3819,513.7,196.2,195.8,2,take_profit,21.68547,17.12464,-0.82205,2.25311,london,2020
XAUUSD,1,2020-03-13 04:00:00,2020-03-13 16:00:00,1579.38,1546.7694,1546.7694,1644.6012,0.3068,-326.1,-100.05,-100.45,3,stop_loss,33.5899,21.7404,-2.84023,1.37742,,2020
XAUUSD,-1,2020-03-17 08:00:00,2020-03-17 16:00:00,1501.62,1551.83548,1551.83548,1401.18905,0.1972,-502.2,-99.02,-99.42,2,stop_loss,49.1973,33.47698,-2.81763,-0.169,london,2020
XAUUSD,-1,2020-03-19 08:00:00,2020-03-23 00:00:00,1471.5,1494.9,1518.59434,1377.31132,0.2082,-234.0,-48.72,-49.12,10,time_exit,39.64253,31.39623,-2.78825,-0.99101,london,2020
XAUUSD,-1,2020-03-26 20:00:00,2020-03-30 12:00:00,1637.51,1619.51,1679.05753,1554.41495,0.2348,180.0,42.26,41.86,10,time_exit,29.94477,27.69835,2.44779,-0.41808,new_york,2020
XAUUSD,-1,2020-03-31 04:00:00,2020-04-01 20:00:00,1613.52,1591.02,1640.87677,1558.80646,0.3581,225.0,80.57,80.17,10,time_exit,22.42022,18.23785,1.18583,0.27816,,2020
XAUUSD,-1,2020-04-09 20:00:00,2020-04-13 16:00:00,1682.98,1702.58634,1702.58634,1643.76732,0.5038,-196.1,-98.78,-99.18,5,stop_loss,30.77849,13.07089,4.00871,2.19263,new_york,2020
XAUUSD,1,2020-04-14 04:00:00,2020-04-15 20:00:00,1715.57,1716.59,1695.04989,1756.61021,0.4765,10.2,4.86,4.46,10,time_exit,45.08303,13.68007,4.86204,2.91276,,2020
XAUUSD,-1,2020-04-20 00:00:00,2020-04-20 16:00:00,1678.93,1702.11873,1702.11873,1632.55254,0.4219,-231.9,-97.83,-98.23,4,stop_loss,31.42597,15.45915,-0.34421,3.6267,,2020
XAUUSD,-1,2020-04-22 16:00:00,2020-04-23 12:00:00,1705.92,1729.44375,1729.44375,1658.87251,0.4117,-235.2,-96.85,-97.25,5,stop_loss,19.92501,15.6825,1.23582,3.04883,new_york,2020
XAUUSD,1,2020-04-29 16:00:00,2020-04-30 16:00:00,1705.06,1687.54061,1687.54061,1740.09877,0.5472,-175.2,-95.87,-96.27,6,stop_loss,21.97251,11.67959,-0.06501,4.0258,new_york,2020
XAUUSD,-1,2020-05-06 04:00:00,2020-05-07 20:00:00,1701.9,1718.39351,1718.39351,1668.91298,0.5754,-164.9,-94.9,-95.3,10,stop_loss,17.4159,10.99567,0.04095,3.00114,,2020
XAUUSD,-1,2020-05-08 04:00:00,2020-05-11 20:00:00,1714.46,1697.49,1730.11901,1683.14198,0.6,169.7,101.82,101.42,10,time_exit,16.76717,10.43934,1.29369,2.78836,,2020
XAUUSD,1,2020-05-15 16:00:00,2020-05-18 16:00:00,1742.87,1728.69779,1728.69779,1771.21442,0.6701,-141.7,-94.97,-95.37,6,stop_loss,30.00307,9.44814,3.31289,2.98532,new_york,2020
XAUUSD,-1,2020-05-26 04:00:00,2020-05-27 04:00:00,1731.49,1706.53048,1743.96976,1706.53048,0.7534,249.6,188.05,187.65,6,take_profit,20.34493,8.31984,0.09316,3.61484,,2020
XAUUSD,-1,2020-05-27 04:00:00,2020-05-28 16:00:00,1713.4,1726.27822,1726.27822,1687.64355,0.7446,-128.8,-95.89,-96.29,9,stop_loss,27.38749,8.58548,-1.73646,3.09088,,2020
XAUUSD,1,2020-06-01 12:00:00,2020-06-02 16:00:00,1736.64,1722.45849,1722.45849,1765.00302,0.6694,-141.8,-94.93,-95.33,7,stop_loss,23.48658,9.45434,1.19123,2.12823,london,2020
XAUUSD,-1,2020-06-03 20:00:00,2020-06-04 12:00:00,1698.86,1715.45198,1715.45198,1665.67604,0.5664,-165.9,-93.98,-94.38,4,stop_loss,25.82223,11.06132,-2.44693,1.59912,new_york,2020
XAUUSD,-1,2020-06-15 16:00:00,2020-06-15 20:00:00,1707.44,1723.36725,1723.36725,1675.5855,0.5841,-159.3,-93.03,-93.43,1,stop_loss,19.39513,10.61817,-1.21191,0.89555,new_york,2020
XAUUSD,1,2020-06-16 12:00:00,2020-06-17 12:00:00,1729.37,1713.81895,1713.81895,1760.47211,0.5922,-155.5,-92.09,-92.49,6,stop_loss,16.23305,10.36737,0.77623,0.94448,london,2020
XAUUSD,1,2020-06-17 16:00:00,2020-06-19 08:00:00,1721.02,1730.22,1706.54317,1749.97366,0.6298,92.0,57.94,57.54,10,time_exit,17.85461,9.65122,-0.12609,1.01118,new_york,2020
XAUUSD,1,2020-06-19 20:00:00,2020-06-23 12:00:00,1741.47,1759.3,1728.44884,1767.51233,0.7046,178.3,125.63,125.23,10,time_exit,15.62037,8.68078,1.91633,1.20305,new_york,2020
XAUUSD,1,2020-06-24 20:00:00,2020-06-26 12:00:00,1766.45,1761.2,1751.7058,1795.93839,0.6308,-52.5,-33.12,-33.52,10,time_exit,37.55891,9.82946,2.36346,2.17278,new_york,2020
XAUUSD,-1,2020-06-30 20:00:00,2020-07-02 12:00:00,1783.53,1761.8,1796.0028,1758.5844,0.743,217.3,161.45,161.05,10,time_exit,14.82889,8.3152,2.94423,3.29412,new_york,2020
XAUUSD,1,2020-07-15 08:00:00,2020-07-17 00:00:00,1805.83,1797.98,1794.70375,1828.0825,0.8473,-78.5,-66.51,-66.91,10,time_exit,11.65281,7.4175,1.36376,4.74369,london,2020
