symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,-1,2019-02-22 20:00:00,2019-02-25 16:00:00,144.505,145.2384,145.2384,143.0382,0.1498,-73.3,-99.98,-110.7,5,stop_loss,31.41472,0.48893,2.02906,2.7263,new_york,2019
GBPJPY,1,2019-02-27 08:00:00,2019-02-27 16:00:00,146.472,147.97108,145.72246,147.97108,0.1451,149.9,197.94,197.89,2,take_profit,47.88162,0.49969,3.95227,3.68365,london,2019
GBPJPY,1,2019-03-01 20:00:00,2019-03-04 16:00:00,147.853,147.13777,147.13777,149.28347,0.1551,-71.5,-100.95,-95.35,5,stop_loss,52.66119,0.47682,3.9995,5.43521,new_york,2019
GBPJPY,-1,2019-03-06 04:00:00,2019-03-07 20:00:00,146.956,145.97,147.69165,145.48469,0.1493,98.6,133.96,123.27,10,time_exit,28.10875,0.49044,0.72952,5.50808,,2019
GBPJPY,-1,2019-03-13 00:00:00,2019-03-13 16:00:00,145.536,146.82286,146.82286,142.96229,0.0865,-128.7,-101.29,-101.32,4,stop_loss,29.4149,0.8579,-0.68157,1.98971,,2019
GBPJPY,1,2019-03-18 20:00:00,2019-03-20 12:00:00,147.332,146.586,146.32469,149.34663,0.1094,-74.6,-74.27,-71.65,10,time_exit,25.55698,0.67154,0.34213,2.99451,new_york,2019
GBPJPY,1,2019-03-20 12:00:00,2019-03-20 16:00:00,147.555,146.81326,146.81326,149.03849,0.1475,-74.2,-99.56,-99.61,1,stop_loss,15.85962,0.4945,0.48109,3.99238,london,2019
GBPJPY,-1,2019-03-21 12:00:00,2019-03-25 04:00:00,145.379,145.065,146.32263,143.49175,0.1148,31.4,32.8,21.85,10,time_exit,25.4218,0.62908,-2.70087,2.67485,london,2019
GBPJPY,-1,2019-03-27 08:00:00,2019-03-29 00:00:00,145.809,144.761,146.77445,143.8781,0.1125,104.8,107.29,96.56,10,time_exit,28.71095,0.64363,-0.42773,1.08293,london,2019
GBPJPY,1,2019-04-04 00:00:00,2019-04-04 16:00:00,146.664,145.72937,145.72937,148.53326,0.1175,-93.5,-99.94,-99.98,4,stop_loss,18.66006,0.62309,1.47209,0.55163,,2019
GBPJPY,1,2019-04-04 16:00:00,2019-04-05 16:00:00,146.348,145.51795,145.51795,148.0081,0.131,-83.0,-98.95,-97.4,6,stop_loss,17.00814,0.55337,0.80927,0.76817,new_york,2019
GBPJPY,-1,2019-04-09 16:00:00,2019-04-10 12:00:00,145.037,145.751,145.751,143.609,0.1507,-71.4,-97.92,-101.55,5,stop_loss,18.25269,0.476,-1.54118,0.55121,new_york,2019
GBPJPY,1,2019-04-11 16:00:00,2019-04-12 12:00:00,145.588,146.83771,144.96315,146.83771,0.1705,125.0,193.9,195.92,5,take_profit,13.10835,0.41657,-0.00691,0.2604,new_york,2019
GBPJPY,-1,2019-04-15 16:00:00,2019-04-17 08:00:00,146.906,146.033,147.4995,145.719,0.1831,87.3,145.46,136.7,10,time_exit,23.50586,0.39567,2.52849,0.81561,new_york,2019
GBPJPY,1,2019-04-22 08:00:00,2019-04-23 00:00:00,145.434,145.06912,145.06912,146.16377,0.3022,-36.5,-100.34,-96.77,4,stop_loss,28.77723,0.24326,-1.60872,0.68688,london,2019
GBPJPY,-1,2019-04-24 00:00:00,2019-04-25 16:00:00,144.711,143.9167,145.10815,143.9167,0.2749,79.4,198.7,179.02,10,take_profit,34.85071,0.26477,-3.3107,-0.05751,,2019
GBPJPY,-1,2019-04-26 04:00:00,2019-04-26 16:00:00,143.979,144.42475,144.42475,143.08749,0.2498,-44.6,-101.33,-101.41,3,stop_loss,34.57967,0.29717,-3.82322,-1.17502,,2019
GBPJPY,-1,2019-05-01 20:00:00,2019-05-02 08:00:00,145.442,145.87105,145.87105,144.58391,0.2569,-42.9,-100.3,-118.69,3,stop_loss,23.94702,0.28603,1.65249,-1.26566,new_york,2019
GBPJPY,1,2019-05-03 04:00:00,2019-05-03 16:00:00,145.268,146.24344,144.78028,146.24344,0.2237,97.5,198.57,198.5,3,take_profit,18.92618,0.32515,0.53343,-0.75243,,2019
GBPJPY,-1,2019-05-07 20:00:00,2019-05-09 08:00:00,144.073,142.80086,144.70907,142.80086,0.175,127.2,202.59,185.9,9,take_profit,21.79294,0.42405,-2.4309,-0.4942,new_york,2019
GBPJPY,-1,2019-05-10 12:00:00,2019-05-13 16:00:00,142.859,141.50375,143.53663,141.50375,0.1675,135.5,206.57,194.58,7,take_profit,44.40394,0.45175,-2.8624,-1.86068,london,2019
GBPJPY,-1,2019-05-13 20:00:00,2019-05-14 04:00:00,141.31,142.01325,142.01325,139.9035,0.1646,-70.3,-105.34,-109.3,2,stop_loss,45.86456,0.46883,-5.10254,-2.34691,new_york,2019
GBPJPY,-1,2019-05-15 16:00:00,2019-05-17 08:00:00,140.51,140.117,141.21551,139.09899,0.1625,39.3,58.11,42.62,10,time_exit,53.09855,0.47034,-5.14372,-3.26801,new_york,2019
GBPJPY,-1,2019-05-20 00:00:00,2019-05-21 12:00:00,140.248,140.85868,140.85868,139.02664,0.1887,-61.1,-104.86,-109.4,9,stop_loss,66.77333,0.40712,-4.6577,-5.17385,,2019
GBPJPY,1,2019-05-23 04:00:00,2019-05-23 16:00:00,139.469,138.75933,138.75933,140.88833,0.1608,-71.0,-103.84,-103.89,3,stop_loss,35.66409,0.47311,-3.03643,-5.00948,,2019
GBPJPY,-1,2019-05-23 20:00:00,2019-05-27 08:00:00,138.839,139.52837,139.52837,137.46026,0.1639,-68.9,-102.82,-118.45,9,stop_loss,35.42851,0.45958,-3.91643,-5.38014,new_york,2019
GBPJPY,1,2019-05-28 20:00:00,2019-05-29 08:00:00,138.748,138.13321,138.13321,139.97757,0.1819,-61.5,-101.77,-99.62,3,stop_loss,21.20863,0.40986,-2.40542,-6.54126,new_york,2019
