symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,-1,2019-02-21 08:00:00,2019-02-25 00:00:00,110.725,110.68,111.02346,110.12807,0.3682,4.5,15.08,-10.95,10,time_exit,18.06579,0.19898,1.08897,3.2909,tokyo,2019
USDJPY,-1,2019-02-26 16:00:00,2019-02-27 16:00:00,110.683,110.97197,110.97197,110.10507,0.3809,-28.9,-100.16,-106.96,6,stop_loss,17.16551,0.19264,0.12678,3.31542,new_york,2019
USDJPY,1,2019-02-28 00:00:00,2019-02-28 08:00:00,110.984,110.68142,110.68142,111.58915,0.3601,-30.3,-99.15,-99.23,2,stop_loss,15.76012,0.20172,1.59928,2.96793,tokyo,2019
USDJPY,-1,2019-03-01 12:00:00,2019-03-05 04:00:00,111.908,111.909,112.25258,111.21883,0.313,-0.1,-0.28,-22.41,10,time_exit,20.50698,0.22972,4.52718,3.00816,london,2019
USDJPY,-1,2019-03-20 20:00:00,2019-03-21 00:00:00,111.485,110.94212,111.75644,110.94212,0.3973,54.3,196.28,175.19,1,take_profit,14.61875,0.18096,0.18341,2.99053,new_york,2019
USDJPY,-1,2019-03-21 12:00:00,2019-03-21 16:00:00,110.453,110.8131,110.8131,109.7328,0.3055,-36.0,-100.11,-100.18,1,stop_loss,24.3758,0.24007,-3.61595,1.76817,london,2019
USDJPY,1,2019-03-25 16:00:00,2019-03-27 08:00:00,110.067,110.54,109.64373,110.91354,0.2573,47.3,110.75,115.2,10,time_exit,37.3817,0.28218,-2.95326,0.26131,new_york,2019
USDJPY,1,2019-03-27 12:00:00,2019-03-28 04:00:00,110.54,110.14172,110.14172,111.33656,0.2765,-39.8,-100.21,-93.01,4,stop_loss,26.12936,0.26552,-0.63489,-0.25404,london,2019
USDJPY,1,2019-04-01 08:00:00,2019-04-03 00:00:00,111.017,111.477,110.62776,111.79548,0.2801,46.0,117.25,122.09,10,time_exit,20.5025,0.25949,1.24172,-0.23566,tokyo,2019
USDJPY,-1,2019-04-05 00:00:00,2019-04-08 16:00:00,111.643,111.455,111.91358,111.10184,0.4076,18.8,69.73,48.09,10,time_exit,28.00635,0.18039,2.97089,1.30854,tokyo,2019
USDJPY,1,2019-04-09 12:00:00,2019-04-09 16:00:00,111.331,111.07944,111.07944,111.83412,0.4415,-25.2,-101.07,-101.17,1,stop_loss,23.58137,0.16771,0.21617,1.92166,london,2019
USDJPY,1,2019-04-09 16:00:00,2019-04-11 08:00:00,111.081,111.11,110.81526,111.61247,0.4138,2.9,10.92,25.31,10,time_exit,24.89185,0.17716,-1.1538,1.76591,new_york,2019
USDJPY,1,2019-04-12 04:00:00,2019-04-15 20:00:00,111.771,112.035,111.49657,112.31986,0.4011,26.4,96.36,106.8,10,time_exit,30.01433,0.18295,2.73897,1.42647,tokyo,2019
USDJPY,-1,2019-04-16 20:00:00,2019-04-18 12:00:00,112.005,111.968,112.2238,111.56739,0.5079,3.7,17.1,-18.81,10,time_exit,32.97767,0.14587,2.77319,3.08547,new_york,2019
USDJPY,-1,2019-04-22 00:00:00,2019-04-23 16:00:00,111.864,112.01949,112.01949,111.55303,0.7159,-15.5,-101.29,-114.07,10,stop_loss,19.59162,0.10366,1.22728,4.8262,tokyo,2019
USDJPY,-1,2019-04-24 12:00:00,2019-04-24 20:00:00,111.831,112.02438,112.02438,111.44424,0.5698,-19.3,-100.27,-100.4,2,stop_loss,20.24857,0.12892,0.00421,3.54306,london,2019
USDJPY,-1,2019-04-29 00:00:00,2019-04-29 12:00:00,111.54,111.84048,111.84048,110.93903,0.3631,-30.0,-99.29,-99.37,3,stop_loss,19.08985,0.20032,-1.1803,1.82785,tokyo,2019
USDJPY,-1,2019-05-03 04:00:00,2019-05-03 12:00:00,111.409,111.67553,111.67553,110.87594,0.4052,-26.7,-98.28,-98.37,2,stop_loss,16.09915,0.17769,-1.07832,0.87908,tokyo,2019
USDJPY,1,2019-05-06 16:00:00,2019-05-07 16:00:00,110.908,110.53845,110.53845,111.6471,0.2893,-37.0,-97.29,-94.82,6,stop_loss,25.37023,0.24637,-2.1129,0.06928,new_york,2019
USDJPY,-1,2019-05-07 20:00:00,2019-05-09 08:00:00,110.335,109.61501,110.695,109.61501,0.294,72.0,192.63,171.84,9,take_profit,34.05955,0.24,-3.75961,-0.51241,new_york,2019
USDJPY,1,2019-05-09 16:00:00,2019-05-13 08:00:00,109.76,109.657,109.39349,110.49302,0.2946,-10.3,-27.61,-17.36,10,time_exit,48.22919,0.24434,-4.24433,-1.73095,new_york,2019
USDJPY,1,2019-05-13 08:00:00,2019-05-13 12:00:00,109.776,109.37837,109.37837,110.57125,0.2707,-39.8,-97.95,-98.01,1,stop_loss,45.4006,0.26508,-2.58245,-2.34406,tokyo,2019
USDJPY,-1,2019-05-14 16:00:00,2019-05-16 08:00:00,109.554,109.553,109.97969,108.70261,0.2504,0.1,0.23,-17.47,10,time_exit,38.07805,0.2838,-2.22359,-2.72009,new_york,2019
USDJPY,1,2019-05-22 20:00:00,2019-05-23 16:00:00,110.251,109.92154,109.92154,110.90992,0.3235,-32.9,-96.99,-88.57,5,stop_loss,17.36685,0.21964,0.69744,-2.52487,new_york,2019
USDJPY,-1,2019-05-27 08:00:00,2019-05-29 00:00:00,109.483,109.275,109.81652,108.81597,0.3163,20.8,59.87,48.65,10,time_exit,23.25463,0.22234,-1.93215,-2.74363,tokyo,2019
USDJPY,-1,2019-05-29 04:00:00,2019-05-29 20:00:00,109.275,109.5918,109.5918,108.6414,0.3351,-31.7,-96.61,-96.69,4,stop_loss,19.61899,0.2112,-2.24045,-3.14112,tokyo,2019
USDJPY,-1,2019-06-04 00:00:00,2019-06-05 16:00:00,108.067,108.322,108.4535,107.294,0.2719,-25.5,-63.09,-67.94,10,time_exit,31.67333,0.25767,-4.4325,-3.50416,tokyo,2019
USDJPY,1,2019-06-11 08:00:00,2019-06-12 08:00:00,108.595,108.22854,108.22854,109.32792,0.2849,-36.6,-95.01,-92.58,6,stop_loss,14.9605,0.24431,0.05024,-4.23101,tokyo,2019
USDJPY,1,2019-06-12 12:00:00,2019-06-14 04:00:00,108.241,108.342,107.91736,108.88828,0.3193,10.1,29.35,40.46,10,time_exit,11.87143,0.21576,-1.49443,-4.53368,london,2019
USDJPY,1,2019-06-14 04:00:00,2019-06-17 20:00:00,108.331,108.53,108.04143,108.91015,0.358,19.9,64.83,74.15,10,time_exit,16.37689,0.19305,-0.96799,-4.75403,tokyo,2019
USDJPY,-1,2019-06-21 04:00:00,2019-06-24 20:00:00,107.347,107.293,107.7374,106.56621,0.2674,5.4,13.14,-1.05,10,time_exit,25.78616,0.26026,-3.41331,-3.38528,tokyo,2019
USDJPY,-1,2019-06-24 20:00:00,2019-06-26 12:00:00,107.337,107.70258,107.70258,106.60583,0.2859,-36.6,-95.11,-105.25,10,stop_loss,26.92012,0.24372,-2.52496,-4.09617,new_york,2019
USDJPY,1,2019-07-02 20:00:00,2019-07-04 12:00:00,107.878,107.779,107.52156,108.59087,0.2903,-9.9,-26.15,-16.05,10,time_exit,29.21171,0.23762,-0.23313,-2.83983,new_york,2019
USDJPY,1,2019-07-08 16:00:00,2019-07-10 08:00:00,108.568,108.942,108.28921,109.12558,0.3701,37.4,125.96,132.35,10,time_exit,24.08173,0.18586,2.9516,-2.51824,new_york,2019
USDJPY,-1,2019-07-23 16:00:00,2019-07-25 08:00:00,108.147,108.086,108.44656,107.54788,0.3491,6.1,19.38,-5.3,10,time_exit,13.37696,0.19971,0.76721,-1.54603,new_york,2019
USDJPY,-1,2019-07-26 16:00:00,2019-07-30 08:00:00,108.7,108.571,108.97155,108.15689,0.3859,12.9,45.3,18.02,10,time_exit,20.54952,0.18104,2.86191,-0.68921,new_york,2019
USDJPY,1,2019-08-01 16:00:00,2019-08-01 20:00:00,108.645,108.3016,108.3016,109.3318,0.3066,-34.3,-95.81,-95.88,1,stop_loss,21.83309,0.22893,0.54158,0.55752,new_york,2019
USDJPY,-1,2019-08-02 04:00:00,2019-08-05 04:00:00,107.124,106.17351,107.59925,106.17351,0.2193,95.0,189.68,178.04,6,take_profit,25.90829,0.31683,-4.04497,0.12552,tokyo,2019
USDJPY,1,2019-08-05 08:00:00,2019-08-07 00:00:00,106.038,106.26,105.48814,107.13772,0.1933,22.2,39.05,42.39,10,time_exit,37.06725,0.36657,-5.28212,-0.75739,tokyo,2019
USDJPY,-1,2019-08-07 00:00:00,2019-08-08 16:00:00,106.473,106.215,107.08595,105.2471,0.1741,25.8,40.88,31.64,10,time_exit,29.66735,0.40863,-2.30359,-1.60817,tokyo,2019
USDJPY,-1,2019-08-13 12:00:00,2019-08-13 16:00:00,105.297,105.75785,105.75785,104.3753,0.2326,-46.1,-97.55,-97.6,1,stop_loss,38.11751,0.30723,-3.14424,-4.06483,london,2019
USDJPY,1,2019-08-16 16:00:00,2019-08-20 08:00:00,106.398,106.427,105.83783,107.51834,0.1894,2.9,5.0,11.59,10,time_exit,20.11279,0.37345,0.51583,-2.87222,new_york,2019
