symbol,seed,expectancy,pf,n_signals,real_expectancy,real_pf
USDJPY,0,5.041543624161074,1.1,611,-4.376604651162789,0.92
USDJPY,1,21.172583518930956,1.29,611,-4.376604651162789,0.92
USDJPY,2,17.256136363636365,1.29,611,-4.376604651162789,0.92
USDJPY,3,16.595372460496613,1.31,611,-4.376604651162789,0.92
USDJPY,4,14.023986784140966,1.23,611,-4.376604651162789,0.92
XAUUSD,0,10.732229166666666,1.17,666,4.249722222222221,1.09
XAUUSD,1,6.8521199143468925,1.13,666,4.249722222222221,1.09
XAUUSD,2,10.006545064377681,1.18,666,4.249722222222221,1.09
XAUUSD,3,12.71760824742268,1.2,666,4.249722222222221,1.09
XAUUSD,4,10.767083333333334,1.18,666,4.249722222222221,1.09
GBPJPY,0,5.7242946058091295,1.1,676,-5.285084033613447,0.9
GBPJPY,1,10.003991596638654,1.18,676,-5.285084033613447,0.9
GBPJPY,2,10.956126315789476,1.19,676,-5.285084033613447,0.9
GBPJPY,3,1.5434349593495944,1.03,676,-5.285084033613447,0.9
GBPJPY,4,2.5245161290322584,1.05,676,-5.285084033613447,0.9
USDJPY,5,7.715195402298849,1.15,611,-4.376604651162789,0.92
USDJPY,6,9.916926503340758,1.19,611,-4.376604651162789,0.92
USDJPY,7,4.122281879194633,1.08,611,-4.376604651162789,0.92
USDJPY,8,-0.8820312500000002,0.98,611,-4.376604651162789,0.92
USDJPY,9,14.393926940639272,1.25,611,-4.376604651162789,0.92
XAUUSD,5,13.159738562091507,1.19,666,4.249722222222221,1.09
XAUUSD,6,20.07989626556017,1.36,666,4.249722222222221,1.09
XAUUSD,7,11.605467775467774,1.2,666,4.249722222222221,1.09
XAUUSD,8,17.71583682008368,1.26,666,4.249722222222221,1.09
XAUUSD,9,7.2395493562231765,1.13,666,4.249722222222221,1.09
GBPJPY,5,24.615965292841647,1.38,676,-5.285084033613447,0.9
GBPJPY,6,0.30536082474226856,1.01,676,-5.285084033613447,0.9
GBPJPY,7,6.336177062374246,1.12,676,-5.285084033613447,0.9
GBPJPY,8,6.258643724696361,1.12,676,-5.285084033613447,0.9
GBPJPY,9,-3.4111839323467237,0.93,676,-5.285084033613447,0.9
USDJPY,10,13.996377777777777,1.23,611,-4.376604651162789,0.92
USDJPY,11,14.292356828193832,1.24,611,-4.376604651162789,0.92
USDJPY,12,3.6515124153498864,1.07,611,-4.376604651162789,0.92
USDJPY,13,9.709507829977632,1.18,611,-4.376604651162789,0.92
USDJPY,14,1.2209523809523797,1.02,611,-4.376604651162789,0.92
XAUUSD,10,13.465693277310923,1.21,666,4.249722222222221,1.09
XAUUSD,11,-2.8822708333333336,0.93,666,4.249722222222221,1.09
XAUUSD,12,7.204395833333334,1.13,666,4.249722222222221,1.09
