symbol,seed,expectancy,pf,n_signals,signed,real_expectancy,real_pf
USDJPY,0,-3.46444933920705,0.92,611,True,-4.376604651162789,0.92
USDJPY,1,8.039623059866962,1.13,611,True,-4.376604651162789,0.92
USDJPY,2,9.076380090497738,1.16,611,True,-4.376604651162789,0.92
USDJPY,3,6.134353741496598,1.12,611,True,-4.376604651162789,0.92
USDJPY,4,-6.185353982300885,0.88,611,True,-4.376604651162789,0.92
USDJPY,5,5.722939814814816,1.1,611,True,-4.376604651162789,0.92
USDJPY,6,3.6066740576496685,1.07,611,True,-4.376604651162789,0.92
USDJPY,7,15.03487912087912,1.22,611,True,-4.376604651162789,0.92
USDJPY,8,-4.731711711711712,0.9,611,True,-4.376604651162789,0.92
USDJPY,9,-4.317522727272729,0.91,611,True,-4.376604651162789,0.92
USDJPY,10,0.08789954337899492,1.0,611,True,-4.376604651162789,0.92
USDJPY,11,-3.3599354838709683,0.93,611,True,-4.376604651162789,0.92
USDJPY,12,6.004977064220186,1.13,611,True,-4.376604651162789,0.92
USDJPY,13,11.417671840354766,1.19,611,True,-4.376604651162789,0.92
USDJPY,14,-5.621677852348993,0.86,611,True,-4.376604651162789,0.92
USDJPY,15,4.6130172413793105,1.08,611,True,-4.376604651162789,0.92
USDJPY,16,1.4564301552106422,1.03,611,True,-4.376604651162789,0.92
USDJPY,17,-0.14742358078602616,1.0,611,True,-4.376604651162789,0.92
USDJPY,18,0.8573094170403582,1.02,611,True,-4.376604651162789,0.92
USDJPY,19,-2.536919540229886,0.95,611,True,-4.376604651162789,0.92
USDJPY,20,5.827852348993287,1.1,611,True,-4.376604651162789,0.92
USDJPY,21,-1.7908647450110877,0.96,611,True,-4.376604651162789,0.92
USDJPY,22,5.7795711060948065,1.11,611,True,-4.376604651162789,0.92
USDJPY,23,-0.40660044150110536,0.99,611,True,-4.376604651162789,0.92
USDJPY,24,-5.56507658643326,0.88,611,True,-4.376604651162789,0.92
