symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,2019-02-22 20:00:00,2019-02-25 16:00:00,110.58,111.15293,110.29353,111.15293,0.3836,57.3,200.0,199.77,5,take_profit,11.78134,0.19098,0.0517,3.3647,new_york,2019
USDJPY,2019-02-28 16:00:00,2019-03-01 04:00:00,111.095,111.72639,110.7793,111.72639,0.355,63.1,203.97,203.74,3,take_profit,13.38377,0.21046,1.85682,2.85151,new_york,2019
USDJPY,2019-03-01 16:00:00,2019-03-05 08:00:00,111.852,111.965,111.5136,112.5288,0.3378,11.3,34.74,34.51,10,time_exit,22.38233,0.2256,4.18638,3.16018,new_york,2019
USDJPY,2019-03-06 12:00:00,2019-03-07 00:00:00,111.862,111.57759,111.57759,112.43082,0.4033,-28.4,-104.38,-104.61,3,stop_loss,21.35352,0.18961,2.53002,4.88281,london,2019
USDJPY,2019-03-11 16:00:00,2019-03-13 08:00:00,111.125,111.339,110.78192,111.81115,0.331,21.4,64.46,64.23,10,time_exit,32.35305,0.22872,-1.01131,3.23817,new_york,2019
USDJPY,2019-03-14 16:00:00,2019-03-18 08:00:00,111.649,111.527,111.32541,112.29619,0.3531,-12.2,-39.2,-39.43,10,time_exit,27.58696,0.21573,1.3158,2.90127,new_york,2019
USDJPY,2019-03-18 16:00:00,2019-03-19 04:00:00,111.527,111.24459,111.24459,112.09182,0.4031,-28.2,-103.59,-103.82,3,stop_loss,15.93229,0.18827,0.36556,3.29423,new_york,2019
USDJPY,2019-03-22 16:00:00,2019-03-25 00:00:00,110.221,109.84104,109.84104,110.98093,0.2966,-38.0,-102.55,-102.78,2,stop_loss,28.10007,0.25331,-3.67022,1.07132,new_york,2019
USDJPY,2019-03-25 16:00:00,2019-03-27 08:00:00,110.067,110.54,109.64373,110.91354,0.2636,47.3,113.46,113.23,10,time_exit,37.3817,0.28218,-2.95326,0.26131,new_york,2019
USDJPY,2019-03-28 00:00:00,2019-03-28 08:00:00,110.509,110.10068,110.10068,111.32564,0.2763,-40.8,-102.66,-102.89,2,stop_loss,23.87851,0.27221,-0.62189,-0.3199,tokyo,2019
USDJPY,2019-04-04 04:00:00,2019-04-05 20:00:00,111.479,111.709,111.18093,112.07514,0.3746,23.0,78.4,78.18,10,time_exit,28.63348,0.19871,2.24222,0.91655,tokyo,2019
USDJPY,2019-04-09 00:00:00,2019-04-09 12:00:00,111.452,111.1929,111.1929,111.9702,0.4343,-25.9,-102.4,-102.63,3,stop_loss,23.28856,0.17273,1.20853,1.8852,tokyo,2019
USDJPY,2019-04-11 20:00:00,2019-04-15 12:00:00,111.569,112.022,111.29521,112.11657,0.4069,45.3,167.74,167.51,10,time_exit,30.12687,0.18252,1.84188,1.30469,new_york,2019
USDJPY,2019-04-18 08:00:00,2019-04-22 00:00:00,111.89,111.976,111.68767,112.29466,0.5597,8.6,43.8,43.57,10,time_exit,31.48157,0.13489,1.2529,3.68696,tokyo,2019
USDJPY,2019-04-24 16:00:00,2019-04-24 20:00:00,111.841,112.22649,111.64825,112.22649,0.59,38.5,206.97,206.74,1,take_profit,18.92101,0.1285,0.07883,3.52175,new_york,2019
USDJPY,2019-04-25 08:00:00,2019-04-25 16:00:00,111.972,111.70908,111.70908,112.49785,0.4412,-26.3,-105.56,-105.79,2,stop_loss,19.8518,0.17528,0.61869,2.61761,tokyo,2019
USDJPY,2019-04-26 08:00:00,2019-04-30 00:00:00,111.66,111.637,111.36746,112.24509,0.3925,-2.3,-8.22,-8.44,10,time_exit,20.76789,0.19503,-0.85763,2.07918,tokyo,2019
USDJPY,2019-04-30 04:00:00,2019-04-30 08:00:00,111.636,111.3811,111.3811,112.14579,0.4501,-25.5,-104.4,-104.63,1,stop_loss,13.97569,0.16993,-0.79059,1.9068,tokyo,2019
USDJPY,2019-05-01 08:00:00,2019-05-01 16:00:00,111.492,111.24194,111.24194,111.99212,0.4542,-25.0,-103.36,-103.58,2,stop_loss,18.03742,0.16671,-1.15377,1.43497,tokyo,2019
USDJPY,2019-05-06 12:00:00,2019-05-07 16:00:00,110.717,110.34568,110.34568,111.45965,0.3028,-37.1,-102.32,-102.55,7,stop_loss,23.82293,0.24755,-2.9602,0.13434,london,2019
USDJPY,2019-05-07 16:00:00,2019-05-07 20:00:00,110.658,110.31208,110.31208,111.34984,0.3218,-34.6,-101.3,-101.53,1,stop_loss,32.7641,0.23061,-2.67168,-0.41825,new_york,2019
USDJPY,2019-05-09 16:00:00,2019-05-13 08:00:00,109.76,109.657,109.39349,110.49302,0.3007,-10.3,-28.18,-28.41,10,time_exit,48.22919,0.24434,-4.24433,-1.73095,new_york,2019
USDJPY,2019-05-16 20:00:00,2019-05-20 12:00:00,109.853,109.921,109.45855,110.6419,0.2786,6.8,17.24,17.01,10,time_exit,25.48887,0.26297,-0.30842,-3.24292,new_york,2019
USDJPY,2019-05-21 00:00:00,2019-05-22 16:00:00,110.056,110.25,109.694,110.78,0.3041,19.4,53.69,53.46,10,time_exit,16.07862,0.24133,0.4972,-3.08024,tokyo,2019
USDJPY,2019-05-29 04:00:00,2019-05-30 16:00:00,109.275,109.9086,108.9582,109.9086,0.3493,63.4,201.4,201.17,9,take_profit,19.61899,0.2112,-2.24045,-3.14112,tokyo,2019
USDJPY,2019-05-31 00:00:00,2019-05-31 04:00:00,109.619,109.29846,109.29846,110.26008,0.3522,-32.1,-102.73,-102.96,1,stop_loss,19.37638,0.21369,-0.21874,-3.02383,tokyo,2019
USDJPY,2019-06-07 12:00:00,2019-06-07 16:00:00,108.5,108.1268,108.1268,109.2464,0.2994,-37.3,-101.68,-101.91,1,stop_loss,19.85841,0.2488,-0.65752,-4.38731,london,2019
USDJPY,2019-06-07 20:00:00,2019-06-11 12:00:00,108.124,108.687,107.69813,108.97575,0.2598,56.3,133.1,132.88,10,time_exit,21.71443,0.28392,-1.73675,-3.89011,new_york,2019
USDJPY,2019-06-14 04:00:00,2019-06-17 20:00:00,108.331,108.53,108.04143,108.91015,0.3871,19.9,70.1,69.87,10,time_exit,16.37689,0.19305,-0.96799,-4.75403,tokyo,2019
USDJPY,2019-06-17 20:00:00,2019-06-18 04:00:00,108.571,108.29721,108.29721,109.11857,0.4122,-27.4,-102.7,-102.92,2,stop_loss,13.17383,0.18252,0.29423,-4.54422,new_york,2019
USDJPY,2019-06-20 00:00:00,2019-06-20 04:00:00,108.102,107.777,107.777,108.75199,0.3438,-32.5,-101.68,-101.91,1,stop_loss,12.75912,0.21666,-1.67787,-3.53803,tokyo,2019
USDJPY,2019-06-21 20:00:00,2019-06-25 04:00:00,107.487,107.07238,107.07238,108.31623,0.2668,-41.5,-100.66,-100.89,8,stop_loss,28.59959,0.27641,-2.24765,-3.39979,new_york,2019
USDJPY,2019-06-26 16:00:00,2019-06-28 08:00:00,107.654,107.653,107.2602,108.4416,0.2781,-0.1,-0.25,-0.48,10,time_exit,23.42429,0.26253,-0.22638,-4.04476,new_york,2019
USDJPY,2019-07-03 00:00:00,2019-07-04 16:00:00,107.866,107.795,107.52174,108.55453,0.318,-7.1,-20.55,-20.77,10,time_exit,27.53202,0.22951,-0.07702,-2.91334,tokyo,2019
