symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,2019-02-18 12:00:00,2019-02-19 16:00:00,1324.64,1336.96785,1318.47607,1336.96785,1.6223,123.3,199.99,199.59,7,take_profit,13.55859,4.10928,2.87118,2.7477,london,2019
XAUUSD,2019-02-19 16:00:00,2019-02-20 00:00:00,1331.93,1343.26577,1326.26211,1343.26577,1.7995,113.4,203.99,203.59,2,take_profit,17.81126,3.77859,4.1203,3.45932,new_york,2019
XAUUSD,2019-02-20 08:00:00,2019-02-21 08:00:00,1342.51,1336.17328,1336.17328,1355.18344,1.6417,-63.4,-104.03,-104.43,6,stop_loss,27.70721,4.22448,5.27641,3.6392,london,2019
XAUUSD,2019-03-01 08:00:00,2019-03-01 12:00:00,1311.68,1305.11975,1305.11975,1324.8005,1.5699,-65.6,-102.99,-103.39,1,stop_loss,21.49474,4.3735,-2.74118,2.59406,london,2019
XAUUSD,2019-03-07 16:00:00,2019-03-08 12:00:00,1284.9,1298.54391,1278.07804,1298.54391,1.4945,136.4,203.91,203.51,5,take_profit,48.86338,4.54797,-3.48947,-1.37685,new_york,2019
XAUUSD,2019-03-11 00:00:00,2019-03-11 16:00:00,1297.95,1291.10357,1291.10357,1311.64287,1.5189,-68.5,-103.99,-104.39,4,stop_loss,37.80718,4.56429,-0.06234,-1.61273,,2019
XAUUSD,2019-03-13 04:00:00,2019-03-14 12:00:00,1304.17,1298.03168,1298.03168,1316.44664,1.6771,-61.4,-102.95,-103.35,8,stop_loss,24.5579,4.09221,1.51447,-1.66574,,2019
XAUUSD,2019-03-18 16:00:00,2019-03-20 08:00:00,1305.56,1302.17,1299.79404,1317.09192,1.7675,-33.9,-59.92,-60.32,10,time_exit,20.47508,3.84397,1.37556,-1.04822,new_york,2019
XAUUSD,2019-03-20 16:00:00,2019-03-20 20:00:00,1307.71,1302.04151,1302.04151,1319.04698,1.7872,-56.7,-101.31,-101.71,1,stop_loss,21.01716,3.77899,1.43604,-0.57262,new_york,2019
XAUUSD,2019-04-05 16:00:00,2019-04-09 08:00:00,1290.71,1301.39,1283.89317,1304.34365,1.4712,106.8,157.12,156.72,10,time_exit,22.15913,4.54455,-1.03195,-1.51091,new_york,2019
