symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,2019-02-21 00:00:00,2019-02-22 12:00:00,144.643,143.92835,143.92835,146.07231,0.1538,-71.5,-100.02,-100.34,9,stop_loss,36.88699,0.47644,3.39413,2.34765,,2019
GBPJPY,2019-02-25 08:00:00,2019-02-26 00:00:00,144.601,145.95965,143.92168,145.95965,0.1601,135.9,197.94,197.62,4,take_profit,29.81123,0.45288,2.13865,3.05136,london,2019
GBPJPY,2019-02-28 08:00:00,2019-03-04 00:00:00,147.432,148.243,146.70792,148.88017,0.1532,81.1,113.06,112.74,10,time_exit,53.38024,0.48272,4.79024,4.53019,london,2019
GBPJPY,2019-03-06 16:00:00,2019-03-07 16:00:00,146.866,146.15612,146.15612,148.28577,0.1581,-71.0,-102.13,-102.45,6,stop_loss,24.12867,0.47326,0.48115,5.59875,new_york,2019
GBPJPY,2019-03-13 04:00:00,2019-03-13 20:00:00,145.509,147.9653,144.28085,147.9653,0.0904,245.6,202.07,201.75,4,take_profit,28.31965,0.81877,-0.73308,2.04174,,2019
GBPJPY,2019-03-13 20:00:00,2019-03-15 12:00:00,147.001,147.775,145.85244,149.29812,0.0986,77.4,69.45,69.13,10,time_exit,23.46344,0.76571,1.09764,2.14864,new_york,2019
GBPJPY,2019-03-18 16:00:00,2019-03-20 08:00:00,147.685,147.557,146.69551,149.66398,0.1153,-12.8,-13.43,-13.75,10,time_exit,27.14854,0.65966,0.89763,3.06837,new_york,2019
GBPJPY,2019-03-21 20:00:00,2019-03-25 12:00:00,144.545,145.578,143.46585,146.70329,0.1055,103.3,99.17,98.85,10,time_exit,30.52609,0.71943,-3.28053,2.11401,new_york,2019
GBPJPY,2019-03-25 16:00:00,2019-03-27 08:00:00,145.581,145.865,144.5343,147.6744,0.1099,28.4,28.4,28.08,10,time_exit,44.44338,0.6978,-1.02859,1.33537,new_york,2019
GBPJPY,2019-03-28 12:00:00,2019-03-29 16:00:00,145.038,144.04131,144.04131,147.03138,0.1157,-99.7,-104.94,-105.26,7,stop_loss,21.83235,0.66446,-1.41537,0.85852,london,2019
GBPJPY,2019-04-03 16:00:00,2019-04-04 16:00:00,146.775,145.83935,145.83935,148.6463,0.122,-93.6,-103.88,-104.19,6,stop_loss,19.02703,0.62377,1.73977,0.46385,new_york,2019
GBPJPY,2019-04-05 00:00:00,2019-04-05 16:00:00,145.964,145.14628,145.14628,147.59945,0.1382,-81.8,-102.84,-103.16,4,stop_loss,16.70365,0.54515,0.1389,0.76991,,2019
GBPJPY,2019-04-08 16:00:00,2019-04-10 08:00:00,145.427,145.211,144.75777,146.76546,0.1671,-21.6,-32.85,-33.16,10,time_exit,17.30499,0.44615,-0.90939,0.73253,new_york,2019
GBPJPY,2019-04-16 04:00:00,2019-04-16 12:00:00,146.684,146.13995,146.13995,147.77211,0.2049,-54.4,-101.44,-101.76,2,stop_loss,25.26919,0.3627,1.88223,1.05429,,2019
GBPJPY,2019-04-16 12:00:00,2019-04-17 00:00:00,146.512,145.98088,145.98088,147.57424,0.2078,-53.1,-100.43,-100.75,3,stop_loss,23.74498,0.35408,1.32745,1.14383,london,2019
GBPJPY,2019-04-17 04:00:00,2019-04-18 08:00:00,146.198,145.67869,145.67869,147.23661,0.2104,-51.9,-99.43,-99.75,7,stop_loss,19.0379,0.3462,0.38685,1.17501,,2019
GBPJPY,2019-05-01 20:00:00,2019-05-02 00:00:00,145.442,145.01295,145.01295,146.30009,0.2521,-42.9,-98.43,-98.75,1,stop_loss,23.94702,0.28603,1.65249,-1.26566,new_york,2019
GBPJPY,2019-05-02 16:00:00,2019-05-03 12:00:00,145.446,144.93706,144.93706,146.46387,0.2104,-50.9,-97.44,-97.76,5,stop_loss,20.09026,0.33929,1.09966,-0.79391,new_york,2019
GBPJPY,2019-05-03 12:00:00,2019-05-03 16:00:00,145.155,146.07923,144.69289,146.07923,0.2294,92.4,192.94,192.62,1,take_profit,18.48725,0.30808,0.15915,-0.75339,london,2019
GBPJPY,2019-05-06 08:00:00,2019-05-07 12:00:00,145.422,144.73778,144.73778,146.79043,0.158,-68.4,-98.38,-98.7,7,stop_loss,19.55701,0.45614,0.47972,-0.32717,london,2019
GBPJPY,2019-05-10 20:00:00,2019-05-13 12:00:00,142.876,142.21689,142.21689,144.19422,0.1624,-65.9,-97.41,-97.72,4,stop_loss,44.34505,0.43941,-2.67952,-2.04182,new_york,2019
GBPJPY,2019-05-14 12:00:00,2019-05-15 08:00:00,142.009,141.29993,141.29993,143.42713,0.1495,-70.9,-96.46,-96.78,5,stop_loss,49.01709,0.47271,-3.02695,-2.64694,london,2019
GBPJPY,2019-05-16 04:00:00,2019-05-17 12:00:00,140.621,139.92656,139.92656,142.00987,0.1511,-69.4,-95.49,-95.8,8,stop_loss,56.89489,0.46296,-4.44547,-3.62294,,2019
GBPJPY,2019-05-17 20:00:00,2019-05-21 12:00:00,139.973,140.802,139.35561,141.20778,0.1682,82.9,126.89,126.57,10,time_exit,66.49313,0.41159,-4.69797,-5.02734,new_york,2019
GBPJPY,2019-05-28 04:00:00,2019-05-28 08:00:00,138.951,138.35474,138.35474,140.14353,0.1765,-59.6,-95.77,-96.09,1,stop_loss,22.25384,0.39751,-2.44302,-6.6614,,2019
GBPJPY,2019-05-29 08:00:00,2019-05-31 00:00:00,138.283,137.782,137.69407,139.46087,0.1769,-50.1,-80.65,-80.97,10,time_exit,22.22309,0.39262,-3.29086,-6.92733,london,2019
GBPJPY,2019-06-03 08:00:00,2019-06-05 00:00:00,136.62,137.379,135.99618,137.86763,0.1656,75.9,114.38,114.06,10,time_exit,39.45907,0.41588,-4.73425,-7.10945,london,2019
GBPJPY,2019-06-10 00:00:00,2019-06-10 12:00:00,138.164,137.63227,137.63227,139.22746,0.1966,-53.2,-95.13,-95.45,3,stop_loss,21.20923,0.35449,0.02489,-7.65403,,2019
GBPJPY,2019-06-12 08:00:00,2019-06-13 04:00:00,138.013,137.56043,137.56043,138.91813,0.2287,-45.3,-94.19,-94.51,5,stop_loss,28.64146,0.30171,0.52818,-7.71273,london,2019
GBPJPY,2019-06-17 08:00:00,2019-06-17 16:00:00,136.781,136.31692,136.31692,137.70915,0.2208,-46.4,-93.25,-93.56,2,stop_loss,24.24866,0.30938,-2.47549,-6.98854,london,2019
GBPJPY,2019-06-26 04:00:00,2019-06-27 20:00:00,136.175,136.558,135.57557,137.37386,0.1692,38.3,58.97,58.65,10,time_exit,17.81145,0.39962,-1.1608,-4.89713,,2019
GBPJPY,2019-07-22 08:00:00,2019-07-22 12:00:00,134.986,134.5042,134.5042,135.9496,0.2119,-48.2,-92.9,-93.22,1,stop_loss,21.27105,0.3212,-0.09861,-4.70691,london,2019
GBPJPY,2019-07-22 20:00:00,2019-07-24 12:00:00,134.649,134.881,134.15502,135.63696,0.2046,23.2,43.2,42.88,10,time_exit,19.71335,0.32932,-0.96583,-4.5685,new_york,2019
GBPJPY,2019-07-31 00:00:00,2019-08-01 16:00:00,131.929,131.26765,131.26765,133.2517,0.1535,-66.1,-92.38,-92.7,10,stop_loss,43.8235,0.4409,-4.91044,-3.73907,,2019
GBPJPY,2019-08-08 12:00:00,2019-08-09 08:00:00,129.036,128.18595,128.18595,130.7361,0.1182,-85.0,-91.43,-91.75,5,stop_loss,35.37886,0.5667,-2.64935,-5.87006,london,2019
GBPJPY,2019-08-12 04:00:00,2019-08-13 16:00:00,126.816,128.6289,125.90955,128.6289,0.1098,181.3,181.14,180.82,9,take_profit,43.65225,0.6043,-4.76919,-5.97844,,2019
GBPJPY,2019-08-16 04:00:00,2019-08-19 20:00:00,128.269,129.287,127.38222,130.04256,0.1144,101.8,105.98,105.66,10,time_exit,23.64943,0.59119,-0.55466,-5.99468,,2019
GBPJPY,2019-08-20 08:00:00,2019-08-20 12:00:00,129.261,128.61526,128.61526,130.55249,0.159,-64.6,-93.43,-93.75,1,stop_loss,31.1409,0.4305,0.97992,-6.83142,london,2019
GBPJPY,2019-08-30 00:00:00,2019-09-02 00:00:00,129.733,128.93573,128.93573,131.32754,0.1275,-79.7,-92.5,-92.82,6,stop_loss,14.40193,0.53151,0.4987,-2.78586,,2019
GBPJPY,2019-09-02 12:00:00,2019-09-03 08:00:00,128.424,127.64343,127.64343,129.98513,0.1289,-78.1,-91.56,-91.88,5,stop_loss,17.80446,0.52038,-1.89336,-2.71727,london,2019
GBPJPY,2019-09-03 12:00:00,2019-09-04 08:00:00,127.171,128.7347,126.38915,128.7347,0.1274,156.4,181.29,180.97,5,take_profit,30.3067,0.52123,-3.70826,-2.98413,london,2019
GBPJPY,2019-09-04 20:00:00,2019-09-05 12:00:00,129.77,131.52005,128.89497,131.52005,0.1161,175.0,184.9,184.58,4,take_profit,31.13985,0.58335,1.37554,-2.62079,new_york,2019
GBPJPY,2019-09-05 12:00:00,2019-09-09 04:00:00,130.708,131.238,129.8084,132.50719,0.1152,53.0,55.56,55.24,10,time_exit,28.45704,0.59973,2.53991,-2.18289,london,2019
GBPJPY,2019-09-12 20:00:00,2019-09-13 20:00:00,133.413,135.03668,132.60116,135.03668,0.1284,162.4,189.72,189.4,6,take_profit,27.69765,0.54123,3.33942,1.09393,new_york,2019
GBPJPY,2019-09-16 00:00:00,2019-09-17 16:00:00,133.99,135.121,133.20971,135.55058,0.1362,113.1,140.18,139.86,10,time_exit,28.82946,0.52019,5.52516,1.96198,,2019
GBPJPY,2019-09-25 04:00:00,2019-09-25 16:00:00,133.616,132.89263,132.89263,135.06275,0.1491,-72.3,-98.15,-98.47,3,stop_loss,17.39398,0.48225,-0.713,3.33124,,2019
GBPJPY,2019-09-26 12:00:00,2019-09-30 04:00:00,132.65,132.613,131.96914,134.01173,0.1568,-3.7,-5.28,-5.6,10,time_exit,21.34708,0.45391,-2.42083,2.92824,london,2019
GBPJPY,2019-09-30 08:00:00,2019-10-01 16:00:00,132.613,131.95708,131.95708,133.92484,0.1627,-65.6,-97.11,-97.43,8,stop_loss,31.62883,0.43728,-1.80932,2.16508,london,2019
GBPJPY,2019-10-02 08:00:00,2019-10-02 12:00:00,132.451,131.7514,131.7514,133.8502,0.151,-70.0,-96.13,-96.45,1,stop_loss,24.2968,0.4664,-1.51364,1.42298,london,2019
GBPJPY,2019-10-04 16:00:00,2019-10-08 08:00:00,131.838,131.513,131.14361,133.22678,0.1506,-32.5,-44.54,-44.86,10,time_exit,33.88523,0.46293,-1.64774,0.41163,new_york,2019
GBPJPY,2019-10-08 16:00:00,2019-10-10 08:00:00,130.591,131.352,129.8848,132.0034,0.1474,76.1,102.08,101.76,10,time_exit,39.29711,0.4708,-3.49519,-0.19024,new_york,2019
GBPJPY,2019-10-14 12:00:00,2019-10-15 16:00:00,136.163,138.4008,135.0441,138.4008,0.094,223.8,191.42,191.1,7,take_profit,44.74305,0.74593,3.91982,0.91597,london,2019
GBPJPY,2019-10-25 00:00:00,2019-10-28 16:00:00,139.555,140.11,138.54424,141.57652,0.1061,55.5,53.59,53.27,10,time_exit,20.12709,0.67384,0.94883,5.3655,,2019
GBPJPY,2019-10-30 20:00:00,2019-11-01 12:00:00,140.163,139.949,139.52317,141.44267,0.1686,-21.4,-32.83,-33.15,10,time_exit,12.38808,0.42656,1.51911,7.61358,new_york,2019
GBPJPY,2019-11-07 00:00:00,2019-11-07 04:00:00,140.061,139.60312,139.60312,140.97676,0.2348,-45.8,-97.83,-98.15,1,stop_loss,17.2174,0.30525,0.33489,8.82075,,2019
GBPJPY,2019-11-07 08:00:00,2019-11-11 00:00:00,139.723,139.606,139.25739,140.65422,0.2286,-11.7,-24.34,-24.66,10,time_exit,18.43786,0.31041,-0.84591,8.45896,london,2019
GBPJPY,2019-11-11 12:00:00,2019-11-12 08:00:00,139.51,140.54734,138.99133,140.54734,0.2047,103.7,193.23,192.91,5,take_profit,14.55391,0.34578,-1.18466,6.52932,london,2019
GBPJPY,2019-11-13 16:00:00,2019-11-15 08:00:00,139.67,139.934,139.12236,140.76527,0.1977,26.4,47.5,47.18,10,time_exit,13.87204,0.36509,-0.90447,5.57572,new_york,2019
GBPJPY,2019-11-21 20:00:00,2019-11-22 12:00:00,140.149,139.57276,139.57276,141.30149,0.1888,-57.6,-99.0,-99.32,4,stop_loss,14.33744,0.38416,-0.20958,4.0556,new_york,2019
GBPJPY,2019-11-26 04:00:00,2019-11-26 08:00:00,140.747,140.19865,140.19865,141.84369,0.1964,-54.8,-98.0,-98.32,1,stop_loss,15.35772,0.36556,1.57474,3.60244,,2019
GBPJPY,2019-11-28 16:00:00,2019-12-02 08:00:00,141.4,141.558,140.87241,142.45518,0.2021,15.8,29.06,28.74,10,time_exit,21.96206,0.35173,2.63559,3.84363,new_york,2019
GBPJPY,2019-12-03 00:00:00,2019-12-04 08:00:00,140.992,141.97719,140.4994,141.97719,0.2171,98.5,194.64,194.32,8,take_profit,24.52508,0.3284,0.48072,4.4103,,2019
GBPJPY,2019-12-05 00:00:00,2019-12-06 16:00:00,142.648,142.639,142.04315,143.85769,0.1803,-0.9,-1.48,-1.8,10,time_exit,23.6001,0.40323,3.69029,3.72886,,2019
GBPJPY,2019-12-09 08:00:00,2019-12-11 00:00:00,142.726,142.798,142.21219,143.75361,0.2122,7.2,13.9,13.58,10,time_exit,29.96444,0.34254,2.46978,5.25205,london,2019
GBPJPY,2019-12-12 00:00:00,2019-12-12 12:00:00,143.246,142.72513,142.72513,144.28774,0.2097,-52.1,-99.4,-99.71,3,stop_loss,17.83399,0.34725,2.43916,5.43959,,2019
