symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,2019-02-22 04:00:00,2019-02-27 16:00:00,1325.25,1317.90096,1317.90096,1339.94808,1.3607,-73.5,-100.0,-100.4,21,stop_loss,28.44029,4.89936,-0.02506,3.5457,,2019
XAUUSD,2019-02-28 00:00:00,2019-03-01 04:00:00,1318.77,1312.4206,1312.4206,1331.4688,1.5591,-63.5,-98.99,-99.39,7,stop_loss,21.48819,4.23293,-1.53471,3.38198,,2019
XAUUSD,2019-03-01 04:00:00,2019-03-01 08:00:00,1314.4,1307.68127,1307.68127,1327.83746,1.4586,-67.2,-98.0,-98.4,1,stop_loss,21.10063,4.47915,-2.18075,2.64067,,2019
XAUUSD,2019-03-04 04:00:00,2019-03-04 08:00:00,1296.38,1288.21607,1288.21607,1312.70785,1.1884,-81.6,-97.02,-97.42,1,stop_loss,31.20742,5.44262,-4.22959,1.40766,,2019
XAUUSD,2019-03-05 00:00:00,2019-03-13 00:00:00,1286.66,1302.5944,1278.6928,1302.5944,1.2055,159.3,192.09,191.69,36,take_profit,43.02611,5.31147,-5.11089,0.59585,,2019
XAUUSD,2019-03-29 04:00:00,2019-04-04 12:00:00,1291.93,1284.78523,1284.78523,1306.21954,1.3711,-71.4,-97.96,-98.36,26,stop_loss,23.65468,4.76318,-3.49966,0.38279,,2019
XAUUSD,2019-05-17 08:00:00,2019-05-17 16:00:00,1286.53,1280.78651,1280.78651,1298.01697,1.6885,-57.4,-96.98,-97.38,2,stop_loss,20.59273,3.82899,-0.82631,0.29168,london,2019
XAUUSD,2019-05-20 00:00:00,2019-05-21 12:00:00,1277.55,1271.23633,1271.23633,1290.17735,1.5206,-63.1,-96.01,-96.41,9,stop_loss,24.69848,4.20912,-2.5396,0.0277,,2019
XAUUSD,2019-07-01 16:00:00,2019-07-03 00:00:00,1394.65,1422.8842,1380.5329,1422.8842,0.6732,282.3,190.07,189.67,8,take_profit,30.45812,9.4114,-0.11532,5.15061,new_york,2019
XAUUSD,2019-07-08 08:00:00,2019-07-09 08:00:00,1399.64,1386.94297,1386.94297,1425.03405,0.7635,-127.0,-96.94,-97.34,6,stop_loss,22.6062,8.46468,-0.57061,4.99988,london,2019
XAUUSD,2019-07-09 08:00:00,2019-07-11 00:00:00,1396.18,1419.54393,1384.49803,1419.54393,0.8215,233.6,191.93,191.53,10,take_profit,22.50509,7.78798,-0.9001,4.98932,london,2019
