symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,2019-03-08 12:00:00,2019-03-08 16:00:00,145.405,144.67403,144.67403,146.86693,0.1503,-73.1,-99.98,-100.29,1,stop_loss,27.05281,0.48731,-2.36895,4.74187,london,2019
GBPJPY,2019-03-11 00:00:00,2019-03-11 16:00:00,143.975,145.56908,143.17796,145.56908,0.1365,159.4,198.01,197.69,4,take_profit,34.11782,0.53136,-3.08894,3.93358,,2019
GBPJPY,2019-03-11 16:00:00,2019-03-12 00:00:00,145.002,146.80285,144.10157,146.80285,0.1232,180.1,201.9,201.58,2,take_profit,38.79829,0.60028,-1.77168,2.99649,new_york,2019
GBPJPY,2019-03-12 00:00:00,2019-03-12 12:00:00,146.23,145.27289,145.27289,148.14423,0.1182,-95.7,-102.95,-103.27,3,stop_loss,34.13365,0.63808,0.28506,2.77207,,2019
GBPJPY,2019-03-12 20:00:00,2019-03-13 20:00:00,145.633,148.15015,144.37442,148.15015,0.089,251.7,203.86,203.55,6,take_profit,30.59441,0.83905,-0.62403,2.0763,new_york,2019
GBPJPY,2019-03-21 04:00:00,2019-03-21 08:00:00,146.287,145.39569,145.39569,148.06961,0.1282,-89.1,-103.98,-104.3,1,stop_loss,21.36154,0.5942,-1.52561,3.03641,,2019
GBPJPY,2019-03-22 00:00:00,2019-03-29 16:00:00,145.156,144.05911,144.05911,147.34977,0.1031,-109.7,-102.91,-103.23,34,stop_loss,33.02773,0.73126,-2.19959,1.99213,,2019
GBPJPY,2019-03-29 16:00:00,2019-03-29 20:00:00,145.086,144.01578,144.01578,147.22644,0.1046,-107.0,-101.87,-102.19,1,stop_loss,24.15058,0.71348,-0.79761,0.4179,new_york,2019
GBPJPY,2019-04-01 00:00:00,2019-04-03 08:00:00,144.756,146.98601,143.641,146.98601,0.0994,223.0,201.71,201.39,14,take_profit,23.37151,0.74334,-1.53608,0.28709,,2019
GBPJPY,2019-04-19 00:00:00,2019-04-23 16:00:00,145.375,144.91251,144.91251,146.29998,0.2445,-46.2,-102.9,-103.22,16,stop_loss,23.27236,0.30833,-1.91943,0.95753,,2019
GBPJPY,2019-09-24 04:00:00,2019-09-25 12:00:00,133.873,133.17316,133.17316,135.27268,0.16,-70.0,-101.9,-102.22,8,stop_loss,20.26494,0.46656,-0.25913,3.71462,,2019
GBPJPY,2019-09-26 08:00:00,2019-09-26 12:00:00,133.225,132.56307,132.56307,134.54886,0.1674,-66.2,-100.83,-101.15,1,stop_loss,20.07206,0.44129,-1.28644,3.11888,london,2019
GBPJPY,2019-09-26 16:00:00,2019-10-01 16:00:00,132.833,132.12791,132.12791,134.24318,0.1556,-70.5,-99.84,-100.16,18,stop_loss,22.88207,0.47006,-1.8699,2.74255,new_york,2019
GBPJPY,2019-10-01 20:00:00,2019-10-02 08:00:00,132.66,131.93198,131.93198,134.11604,0.1492,-72.8,-98.84,-99.16,3,stop_loss,23.0221,0.48535,-1.20802,1.54457,new_york,2019
GBPJPY,2019-10-02 08:00:00,2019-10-02 12:00:00,132.451,131.7514,131.7514,133.8502,0.1537,-70.0,-97.85,-98.17,1,stop_loss,24.2968,0.4664,-1.51364,1.42298,london,2019
GBPJPY,2019-10-02 16:00:00,2019-10-08 12:00:00,131.777,131.01109,131.01109,133.30881,0.139,-76.6,-96.88,-97.2,23,stop_loss,27.49089,0.5106,-2.4846,1.11223,new_york,2019
GBPJPY,2019-11-20 16:00:00,2019-11-22 12:00:00,140.046,139.51894,139.51894,141.10012,0.1999,-52.7,-95.88,-96.2,11,stop_loss,20.22445,0.35137,-0.42828,4.68197,new_york,2019
GBPJPY,2019-12-03 00:00:00,2019-12-04 08:00:00,140.992,141.97719,140.4994,141.97719,0.2118,98.5,189.88,189.57,8,take_profit,24.52508,0.3284,0.48072,4.4103,,2019
GBPJPY,2019-12-18 00:00:00,2019-12-19 12:00:00,143.731,142.62662,142.62662,145.93976,0.0963,-110.4,-96.78,-97.1,9,stop_loss,21.77634,0.73625,-0.50903,3.55956,,2019
GBPJPY,2019-12-19 12:00:00,2019-12-19 16:00:00,143.581,142.73602,142.73602,145.27095,0.1247,-84.5,-95.89,-96.2,1,stop_loss,25.94312,0.56332,-0.58675,3.98127,london,2019
GBPJPY,2019-12-20 04:00:00,2019-12-23 12:00:00,142.362,141.49624,141.49624,144.09352,0.1205,-86.6,-94.94,-95.25,8,stop_loss,29.12155,0.57717,-2.3101,3.45642,,2019
GBPJPY,2019-12-23 20:00:00,2019-12-27 08:00:00,141.471,143.05558,140.67871,143.05558,0.1303,158.5,187.89,187.57,15,take_profit,30.15585,0.52819,-3.27926,2.74925,new_york,2019
GBPJPY,2019-12-27 08:00:00,2019-12-27 12:00:00,142.386,143.58405,141.78697,143.58405,0.1758,119.8,191.66,191.34,1,take_profit,23.3496,0.39935,-0.74456,2.24928,london,2019
GBPJPY,2020-01-03 16:00:00,2020-01-07 08:00:00,141.387,142.97813,140.59143,142.97813,0.135,159.1,195.47,195.15,10,take_profit,23.55638,0.53038,-2.68401,1.42032,new_york,2020
GBPJPY,2020-01-28 20:00:00,2020-01-31 08:00:00,141.86,143.22926,141.17537,143.22926,0.16,136.9,199.36,199.05,15,take_profit,23.06244,0.45642,-2.4954,0.65034,new_york,2020
GBPJPY,2020-02-24 16:00:00,2020-02-24 20:00:00,143.584,142.843,142.843,145.066,0.1508,-74.1,-101.69,-102.0,1,stop_loss,28.08874,0.494,0.15622,1.29863,new_york,2020
GBPJPY,2020-02-25 00:00:00,2020-02-26 20:00:00,143.138,142.34713,142.34713,144.71975,0.1399,-79.1,-100.69,-101.0,11,stop_loss,29.33392,0.52725,-0.53998,1.13625,,2020
GBPJPY,2020-02-27 04:00:00,2020-02-27 12:00:00,142.47,141.73133,141.73133,143.94734,0.1482,-73.9,-99.62,-99.94,2,stop_loss,27.92889,0.49245,-1.67305,0.81312,,2020
GBPJPY,2020-02-27 20:00:00,2020-02-28 00:00:00,141.951,141.17944,141.17944,143.49411,0.1405,-77.2,-98.65,-98.97,1,stop_loss,33.28778,0.51437,-2.24256,0.47696,new_york,2020
GBPJPY,2020-06-12 08:00:00,2020-06-15 08:00:00,134.714,133.64858,133.64858,136.84484,0.1007,-106.5,-97.63,-97.95,6,stop_loss,40.01963,0.71028,-1.81286,2.55419,london,2020
GBPJPY,2020-06-15 12:00:00,2020-06-18 12:00:00,134.579,133.43077,133.43077,136.87547,0.0925,-114.8,-96.65,-96.97,18,stop_loss,37.28376,0.76549,-1.41266,1.88526,london,2020
GBPJPY,2020-06-19 00:00:00,2020-06-22 00:00:00,132.904,131.85044,131.85044,135.01111,0.0998,-105.4,-95.68,-96.0,6,stop_loss,31.64437,0.70237,-2.96712,0.95843,,2020
GBPJPY,2020-06-22 04:00:00,2020-06-23 00:00:00,131.894,133.70179,130.99011,133.70179,0.1152,180.8,189.51,189.2,5,take_profit,37.62392,0.6026,-4.03651,0.28367,,2020
GBPJPY,2020-07-27 16:00:00,2020-07-30 12:00:00,135.502,136.85203,134.82699,136.85203,0.1573,135.0,193.25,192.93,17,take_profit,23.71037,0.45001,0.06327,1.80013,new_york,2020
GBPJPY,2020-08-18 00:00:00,2020-08-21 16:00:00,138.898,138.34986,138.34986,139.99429,0.1976,-54.8,-98.56,-98.88,22,stop_loss,33.19064,0.36543,-0.09125,5.4351,,2020
GBPJPY,2020-08-24 00:00:00,2020-08-25 12:00:00,138.364,139.67712,137.70744,139.67712,0.1633,131.3,195.13,194.81,9,take_profit,20.99412,0.43771,-1.34174,3.76193,,2020
GBPJPY,2020-09-04 00:00:00,2020-09-04 16:00:00,140.903,140.18451,140.18451,142.33998,0.1522,-71.8,-99.51,-99.83,4,stop_loss,30.0451,0.47899,0.42023,4.24211,,2020
GBPJPY,2020-09-04 20:00:00,2020-09-07 12:00:00,140.738,139.982,139.982,142.25,0.1432,-75.6,-98.52,-98.83,4,stop_loss,25.91924,0.504,-0.20212,3.86535,new_york,2020
GBPJPY,2020-09-07 20:00:00,2020-09-08 08:00:00,140.036,139.279,139.279,141.55,0.1416,-75.7,-97.54,-97.86,3,stop_loss,25.06099,0.50467,-1.40134,3.49347,new_york,2020
GBPJPY,2020-09-08 20:00:00,2020-09-09 00:00:00,138.186,137.41171,137.41171,139.73459,0.137,-77.4,-96.53,-96.85,1,stop_loss,34.6858,0.5162,-4.27722,2.72204,new_york,2020
GBPJPY,2020-09-09 16:00:00,2020-09-10 16:00:00,137.434,136.5982,136.5982,139.10561,0.1257,-83.6,-95.61,-95.92,6,stop_loss,45.60194,0.5572,-4.33123,1.68274,new_york,2020
GBPJPY,2020-09-11 08:00:00,2020-09-17 12:00:00,136.1,135.13023,135.13023,138.03954,0.1072,-97.0,-94.6,-94.92,25,stop_loss,46.07832,0.64651,-4.3868,0.29516,london,2020
GBPJPY,2020-11-13 08:00:00,2020-11-23 20:00:00,137.668,139.16578,136.91911,139.16578,0.1375,149.8,187.41,187.09,39,take_profit,32.16068,0.49926,0.02311,1.6305,london,2020
GBPJPY,2020-11-30 12:00:00,2020-12-01 08:00:00,138.64,139.78638,138.06681,139.78638,0.1832,114.6,191.12,190.8,5,take_profit,24.2087,0.38213,-0.22797,2.70759,london,2020
GBPJPY,2020-12-11 20:00:00,2020-12-14 08:00:00,137.441,139.2743,136.52435,139.2743,0.1168,183.3,194.86,194.54,3,take_profit,26.34742,0.6111,-2.5616,1.05373,new_york,2020
GBPJPY,2020-12-14 08:00:00,2020-12-21 08:00:00,138.605,137.68175,137.68175,140.4515,0.1183,-92.3,-99.39,-99.71,30,stop_loss,25.76651,0.6155,-0.51084,0.91141,london,2020
GBPJPY,2020-12-21 08:00:00,2020-12-21 12:00:00,138.289,137.45468,137.45468,139.95765,0.1296,-83.4,-98.4,-98.72,1,stop_loss,20.72177,0.55622,-1.79748,1.18193,london,2020
GBPJPY,2020-12-21 16:00:00,2020-12-23 16:00:00,137.86,139.75136,136.91432,139.75136,0.1132,189.1,194.83,194.51,12,take_profit,24.42923,0.63045,-2.05187,0.86071,new_york,2020
GBPJPY,2021-01-05 04:00:00,2021-01-08 16:00:00,139.939,141.3085,139.25425,141.3085,0.1595,137.0,198.78,198.46,21,take_profit,26.75982,0.4565,-0.21946,1.93406,,2021
GBPJPY,2021-01-15 20:00:00,2021-01-18 04:00:00,141.235,140.71323,140.71323,142.27855,0.2135,-52.2,-101.37,-101.69,2,stop_loss,29.74475,0.34785,0.12838,3.56845,new_york,2021
GBPJPY,2021-01-18 16:00:00,2021-01-19 12:00:00,140.605,141.62741,140.0938,141.62741,0.2157,102.2,200.69,200.37,5,take_profit,29.34177,0.3408,-1.48962,3.2967,new_york,2021
GBPJPY,2021-01-21 00:00:00,2021-01-26 16:00:00,141.362,142.42713,140.82944,142.42713,0.2112,106.5,204.71,204.39,22,take_profit,22.52452,0.35504,0.39083,3.09161,,2021
GBPJPY,2021-03-22 04:00:00,2021-03-23 12:00:00,150.609,149.90568,149.90568,152.01563,0.1631,-70.3,-104.39,-104.71,8,stop_loss,23.30857,0.46888,-1.46038,5.87863,,2021
GBPJPY,2021-03-24 16:00:00,2021-03-26 08:00:00,149.093,150.54902,148.36499,150.54902,0.156,145.6,206.7,206.38,10,take_profit,45.58212,0.48534,-3.18824,3.93115,new_york,2021
GBPJPY,2021-03-26 08:00:00,2021-03-29 08:00:00,150.35,151.66693,149.69154,151.66693,0.1759,131.7,210.8,210.48,6,take_profit,35.04661,0.43898,0.09941,3.40015,london,2021
GBPJPY,2021-04-07 04:00:00,2021-04-07 08:00:00,151.858,151.28171,151.28171,153.01058,0.205,-57.6,-107.51,-107.83,1,stop_loss,32.93352,0.38419,-0.78477,5.29089,,2021
GBPJPY,2021-04-07 12:00:00,2021-04-07 16:00:00,151.939,151.33328,151.33328,153.15043,0.1931,-60.6,-106.44,-106.76,1,stop_loss,34.89473,0.40381,-0.48606,4.88972,london,2021
GBPJPY,2021-04-08 00:00:00,2021-04-08 08:00:00,150.912,150.25877,150.25877,152.21847,0.1772,-65.3,-105.34,-105.65,2,stop_loss,38.11109,0.43549,-2.55132,4.17219,,2021
GBPJPY,2021-04-08 08:00:00,2021-04-08 12:00:00,150.897,150.27172,150.27172,152.14755,0.1833,-62.5,-104.3,-104.62,1,stop_loss,39.48699,0.41685,-2.43852,4.11648,london,2021
GBPJPY,2021-04-09 04:00:00,2021-04-16 08:00:00,150.212,149.56544,149.56544,151.50511,0.1755,-64.7,-103.26,-103.58,31,stop_loss,45.46599,0.43104,-3.20921,3.2471,,2021
