symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,1,2019-02-28 20:00:00,2019-03-01 20:00:00,111.328,112.00451,110.98975,112.00451,0.3249,67.7,200.02,199.79,6,take_profit,14.3257,0.2255,2.65776,2.71582,new_york,2019
USDJPY,1,2019-03-04 16:00:00,2019-03-06 08:00:00,111.92,111.862,111.60654,112.54693,0.3576,-5.8,-18.87,-19.1,10,time_exit,23.71641,0.20898,3.79974,3.97586,new_york,2019
USDJPY,-1,2019-03-13 04:00:00,2019-03-14 04:00:00,111.302,111.62627,111.62627,110.65345,0.345,-32.4,-101.81,-102.03,6,stop_loss,32.80992,0.21618,-0.19247,3.09283,tokyo,2019
USDJPY,-1,2019-03-19 00:00:00,2019-03-20 16:00:00,111.425,111.485,111.71061,110.85377,0.3878,-6.0,-21.17,-21.4,10,time_exit,16.14883,0.19041,-0.15797,3.17683,tokyo,2019
USDJPY,1,2019-03-21 00:00:00,2019-03-21 08:00:00,110.683,110.32766,110.32766,111.39368,0.311,-35.5,-100.56,-100.79,2,stop_loss,17.07679,0.23689,-3.05323,2.16872,tokyo,2019
USDJPY,-1,2019-03-25 04:00:00,2019-03-25 12:00:00,109.812,110.23618,110.23618,108.96364,0.2579,-42.4,-99.55,-99.78,2,stop_loss,34.21089,0.28279,-4.22862,0.56051,tokyo,2019
USDJPY,1,2019-03-28 16:00:00,2019-04-01 08:00:00,110.515,111.011,110.10747,111.33005,0.2658,49.6,119.97,119.74,10,time_exit,23.79255,0.27168,-0.40699,-0.45012,new_york,2019
USDJPY,-1,2019-04-01 08:00:00,2019-04-01 16:00:00,111.017,111.40624,111.40624,110.23852,0.2817,-38.9,-99.78,-100.01,2,stop_loss,20.5025,0.25949,1.24172,-0.23566,tokyo,2019
USDJPY,-1,2019-04-02 04:00:00,2019-04-03 20:00:00,111.389,111.491,111.76881,110.62938,0.2858,-10.2,-26.53,-26.76,10,time_exit,23.60199,0.25321,2.35745,0.05247,tokyo,2019
USDJPY,-1,2019-04-03 20:00:00,2019-04-05 00:00:00,111.471,111.78406,111.78406,110.84487,0.3457,-31.3,-98.49,-98.71,7,stop_loss,29.23814,0.20871,2.27189,0.75381,new_york,2019
USDJPY,-1,2019-04-05 08:00:00,2019-04-09 00:00:00,111.694,111.399,111.95734,111.16731,0.4069,29.5,109.23,109.0,10,time_exit,30.39591,0.17556,3.03617,1.51184,tokyo,2019
USDJPY,-1,2019-04-09 00:00:00,2019-04-10 16:00:00,111.452,110.9338,111.7111,110.9338,0.4182,51.8,197.21,196.98,10,take_profit,23.28856,0.17273,1.20853,1.8852,tokyo,2019
USDJPY,-1,2019-04-12 16:00:00,2019-04-16 08:00:00,111.952,111.942,112.22176,111.41249,0.4097,1.0,3.73,3.5,10,time_exit,31.81452,0.17984,3.40873,1.69239,new_york,2019
USDJPY,1,2019-04-18 12:00:00,2019-04-22 04:00:00,111.885,111.927,111.67891,112.29718,0.5364,4.2,20.5,20.27,10,time_exit,29.23493,0.13739,1.14682,3.61857,london,2019
USDJPY,1,2019-04-23 04:00:00,2019-04-23 16:00:00,111.701,112.0153,111.54385,112.0153,0.7049,31.4,201.61,201.39,3,take_profit,17.23817,0.10477,-1.11235,4.62773,tokyo,2019
USDJPY,1,2019-04-26 00:00:00,2019-04-29 16:00:00,111.596,111.801,111.31178,112.16445,0.3975,20.5,74.15,73.93,10,time_exit,19.05056,0.18948,-1.19569,2.24043,tokyo,2019
USDJPY,-1,2019-04-29 20:00:00,2019-04-30 12:00:00,111.801,111.26816,112.06742,111.26816,0.4272,53.3,207.14,206.91,4,take_profit,15.71549,0.17761,0.10441,1.90857,new_york,2019
USDJPY,-1,2019-04-30 16:00:00,2019-05-02 04:00:00,111.374,111.63778,111.63778,110.84644,0.44,-26.4,-105.62,-105.85,9,stop_loss,16.05861,0.17585,-2.03217,1.61995,new_york,2019
USDJPY,1,2019-05-08 04:00:00,2019-05-09 08:00:00,110.127,109.77625,109.77625,110.8285,0.3276,-35.1,-104.56,-104.79,7,stop_loss,37.17095,0.23383,-4.40212,-0.77254,tokyo,2019
USDJPY,1,2019-05-14 12:00:00,2019-05-15 12:00:00,109.668,109.24637,109.24637,110.51127,0.2698,-42.2,-103.52,-103.75,6,stop_loss,39.82355,0.28109,-1.92752,-2.70482,london,2019
USDJPY,1,2019-05-17 16:00:00,2019-05-21 08:00:00,109.617,110.114,109.24723,110.35654,0.3046,49.7,137.76,137.53,10,time_exit,20.17728,0.24651,-1.147,-3.39348,new_york,2019
USDJPY,-1,2019-05-24 08:00:00,2019-05-28 00:00:00,109.58,109.583,109.93266,108.87467,0.3236,-0.3,-0.88,-1.11,10,time_exit,20.12275,0.23511,-1.94801,-2.33981,tokyo,2019
USDJPY,1,2019-06-06 04:00:00,2019-06-07 12:00:00,108.345,107.92127,107.92127,109.19246,0.2693,-42.4,-103.84,-104.07,8,stop_loss,27.44568,0.28249,-1.58377,-3.83341,tokyo,2019
USDJPY,1,2019-06-21 00:00:00,2019-06-24 16:00:00,107.293,107.337,106.88827,108.10247,0.2791,4.4,11.18,10.95,10,time_exit,23.95993,0.26982,-3.57873,-3.19688,tokyo,2019
USDJPY,-1,2019-06-25 08:00:00,2019-06-25 16:00:00,106.822,107.19899,107.19899,106.06803,0.3,-37.7,-102.92,-103.14,2,stop_loss,26.84399,0.25132,-4.12567,-4.12736,tokyo,2019
USDJPY,-1,2019-06-27 20:00:00,2019-07-01 00:00:00,107.742,108.11935,108.11935,106.98731,0.2967,-37.7,-101.88,-102.11,7,stop_loss,24.69736,0.25156,0.00591,-3.85718,new_york,2019
USDJPY,1,2019-07-02 04:00:00,2019-07-02 16:00:00,108.432,108.08514,108.08514,109.12571,0.3196,-34.7,-100.88,-101.11,3,stop_loss,31.40335,0.23124,2.32486,-3.1653,tokyo,2019
USDJPY,-1,2019-07-05 16:00:00,2019-07-08 16:00:00,108.427,108.69214,108.69214,107.89672,0.4139,-26.5,-99.86,-100.09,6,stop_loss,17.55882,0.17676,2.99928,-3.34674,new_york,2019
USDJPY,1,2019-07-08 20:00:00,2019-07-10 12:00:00,108.681,108.548,108.4023,109.2384,0.3898,-13.3,-47.18,-47.4,10,time_exit,25.3471,0.1858,3.42112,-2.3898,new_york,2019
USDJPY,1,2019-07-12 12:00:00,2019-07-12 16:00:00,108.342,108.02716,108.02716,108.97168,0.3434,-31.5,-98.39,-98.61,1,stop_loss,22.82187,0.20989,0.11359,-0.86931,london,2019
USDJPY,-1,2019-07-16 12:00:00,2019-07-16 16:00:00,108.028,108.31441,108.31441,107.45517,0.3737,-28.6,-97.4,-97.63,1,stop_loss,16.16384,0.19094,-0.79475,-1.35842,london,2019
USDJPY,-1,2019-07-17 04:00:00,2019-07-18 08:00:00,108.243,107.63981,108.54459,107.63981,0.3513,60.3,192.83,192.6,7,take_profit,16.99287,0.20106,0.26967,-1.21005,tokyo,2019
USDJPY,-1,2019-07-24 16:00:00,2019-07-25 16:00:00,108.036,108.32084,108.32084,107.46633,0.3794,-28.5,-98.34,-98.57,6,stop_loss,12.90056,0.18989,0.07003,-1.42143,new_york,2019
USDJPY,1,2019-07-25 16:00:00,2019-07-25 20:00:00,108.171,108.67695,107.91803,108.67695,0.4229,50.6,194.71,194.48,1,take_profit,9.98633,0.16865,0.7407,-1.39361,new_york,2019
USDJPY,1,2019-07-31 20:00:00,2019-08-01 00:00:00,108.593,109.07372,108.35264,109.07372,0.454,48.1,198.61,198.38,1,take_profit,15.93839,0.16024,1.08666,0.34839,new_york,2019
USDJPY,1,2019-08-07 12:00:00,2019-08-07 16:00:00,106.232,105.6383,105.6383,107.41941,0.1875,-59.4,-101.3,-101.53,1,stop_loss,27.70868,0.3958,-2.60972,-1.8658,london,2019
USDJPY,-1,2019-08-08 00:00:00,2019-08-09 16:00:00,106.271,105.54,106.89735,105.01829,0.1759,73.1,117.01,116.78,10,time_exit,28.23752,0.41757,-2.02677,-1.97355,tokyo,2019
USDJPY,1,2019-08-09 16:00:00,2019-08-12 12:00:00,105.72,105.22273,105.22273,106.71454,0.2242,-49.7,-101.45,-101.68,5,stop_loss,27.54917,0.33151,-3.11119,-3.03275,new_york,2019
USDJPY,1,2019-08-16 16:00:00,2019-08-20 08:00:00,106.398,106.427,105.83783,107.51834,0.197,2.9,5.2,4.97,10,time_exit,20.11279,0.37345,0.51583,-2.87222,new_york,2019
USDJPY,-1,2019-08-21 04:00:00,2019-08-22 20:00:00,106.327,106.446,106.7112,105.5586,0.2874,-11.9,-31.12,-31.35,10,time_exit,16.46083,0.25613,0.09115,-3.3362,tokyo,2019
USDJPY,-1,2019-08-27 16:00:00,2019-08-29 08:00:00,105.854,106.275,106.41677,104.72847,0.1956,-42.1,-74.94,-75.16,10,time_exit,17.61309,0.37518,-0.80012,-2.03571,new_york,2019
USDJPY,1,2019-08-29 08:00:00,2019-09-02 00:00:00,105.916,106.107,105.47217,106.80366,0.2461,19.1,42.77,42.55,10,time_exit,12.52492,0.29589,-0.49485,-2.55608,tokyo,2019
USDJPY,-1,2019-09-02 00:00:00,2019-09-03 16:00:00,106.068,105.874,106.47517,105.25365,0.2694,19.4,47.56,47.33,10,time_exit,15.42664,0.27145,0.32691,-2.26047,tokyo,2019
USDJPY,1,2019-09-11 08:00:00,2019-09-13 00:00:00,107.763,108.218,107.42994,108.42912,0.3309,45.5,137.01,136.78,10,time_exit,31.23527,0.22204,4.29715,0.16861,tokyo,2019
USDJPY,1,2019-09-16 00:00:00,2019-09-16 20:00:00,107.469,108.10482,107.15109,108.10482,0.3514,63.6,203.32,203.09,5,take_profit,28.75871,0.21194,3.49378,1.98936,tokyo,2019
USDJPY,1,2019-09-20 12:00:00,2019-09-20 20:00:00,107.924,107.61152,107.61152,108.54897,0.3647,-31.2,-103.71,-103.93,2,stop_loss,16.9364,0.20832,0.47522,2.94117,london,2019
USDJPY,-1,2019-10-01 00:00:00,2019-10-01 08:00:00,108.082,108.41127,108.41127,107.42346,0.3426,-32.9,-102.65,-102.88,2,stop_loss,20.23687,0.21951,1.36775,1.81589,tokyo,2019
USDJPY,1,2019-10-08 08:00:00,2019-10-08 12:00:00,107.392,107.03393,107.03393,108.10813,0.3119,-35.8,-101.63,-101.86,1,stop_loss,25.05177,0.23871,0.19506,0.0228,tokyo,2019
USDJPY,1,2019-10-09 12:00:00,2019-10-10 20:00:00,107.269,108.01425,106.89638,108.01425,0.2967,74.5,201.21,200.99,8,take_profit,17.81224,0.24842,-0.08993,-0.13628,london,2019
USDJPY,1,2019-10-15 20:00:00,2019-10-17 12:00:00,108.862,108.718,108.4832,109.61961,0.2977,-14.4,-39.01,-39.24,10,time_exit,33.16592,0.25254,3.98518,1.41041,new_york,2019
USDJPY,1,2019-10-23 04:00:00,2019-10-24 20:00:00,108.396,108.634,108.13702,108.91396,0.4338,23.8,93.95,93.72,10,time_exit,14.55004,0.17265,0.06146,3.37184,tokyo,2019
USDJPY,-1,2019-10-31 20:00:00,2019-11-01 20:00:00,108.005,108.31036,108.31036,107.39428,0.3713,-30.5,-103.18,-103.4,6,stop_loss,18.38113,0.20357,-3.15454,2.6734,new_york,2019
USDJPY,1,2019-11-07 08:00:00,2019-11-07 16:00:00,108.761,109.3043,108.48935,109.3043,0.4132,54.3,204.29,204.06,2,take_profit,27.44069,0.1811,0.44764,2.50859,tokyo,2019
USDJPY,-1,2019-11-08 20:00:00,2019-11-12 12:00:00,109.188,109.132,109.49594,108.57212,0.3718,5.6,18.95,18.72,10,time_exit,30.82188,0.20529,1.61537,2.63821,new_york,2019
USDJPY,1,2019-11-12 16:00:00,2019-11-13 00:00:00,109.132,108.88796,108.88796,109.62009,0.4699,-24.4,-104.36,-104.58,2,stop_loss,22.06169,0.1627,1.16368,3.35854,new_york,2019
USDJPY,1,2019-11-13 08:00:00,2019-11-13 12:00:00,109.09,108.83923,108.83923,109.59154,0.4528,-25.1,-103.33,-103.56,1,stop_loss,17.72761,0.16718,0.80517,3.20496,tokyo,2019
USDJPY,-1,2019-11-18 12:00:00,2019-11-19 00:00:00,109.0,108.46239,109.26881,108.46239,0.4181,53.8,204.55,204.32,3,take_profit,18.61542,0.1792,0.94881,2.00017,london,2019
USDJPY,1,2019-11-25 08:00:00,2019-11-27 00:00:00,108.864,109.128,108.60186,109.38827,0.4374,26.4,105.08,104.85,10,time_exit,17.95864,0.17476,1.05528,0.99696,tokyo,2019
USDJPY,1,2019-11-27 12:00:00,2019-11-27 20:00:00,109.169,109.60129,108.95285,109.60129,0.5357,43.2,210.74,210.51,2,take_profit,31.31614,0.1441,2.41058,1.75942,london,2019
USDJPY,1,2019-12-02 12:00:00,2019-12-02 16:00:00,109.648,109.4424,109.4424,110.05919,0.5745,-20.6,-107.48,-107.71,1,stop_loss,45.65883,0.13706,3.42453,3.32759,london,2019
