symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,-1,2019-02-19 08:00:00,2019-02-19 12:00:00,1324.09,1329.28989,1329.28989,1313.69023,1.9231,-52.0,-100.0,-100.4,1,stop_loss,15.67967,3.46659,2.57104,3.58804,london,2019
XAUUSD,-1,2019-02-22 04:00:00,2019-02-22 16:00:00,1325.25,1332.59904,1332.59904,1310.55192,1.3471,-73.5,-99.0,-99.4,3,stop_loss,28.44029,4.89936,-0.02506,3.5457,,2019
XAUUSD,-1,2019-02-22 16:00:00,2019-02-26 08:00:00,1328.82,1326.51,1336.22238,1314.01524,1.3239,23.1,30.58,30.18,10,time_exit,28.17861,4.93492,0.6869,3.42788,new_york,2019
XAUUSD,1,2019-03-01 20:00:00,2019-03-04 08:00:00,1298.42,1290.50299,1290.50299,1314.25402,1.2417,-79.2,-98.31,-98.71,3,stop_loss,26.21674,5.27801,-4.36405,1.77264,new_york,2019
XAUUSD,1,2019-03-07 12:00:00,2019-03-08 16:00:00,1286.3,1299.60421,1279.64789,1299.60421,1.4629,133.0,194.63,194.23,7,take_profit,49.471,4.43474,-3.41119,-1.3161,london,2019
XAUUSD,1,2019-03-11 04:00:00,2019-03-11 16:00:00,1298.31,1291.72224,1291.72224,1311.48552,1.5067,-65.9,-99.26,-99.66,3,stop_loss,36.32707,4.39184,-0.04256,-1.66067,,2019
XAUUSD,1,2019-03-12 08:00:00,2019-03-13 12:00:00,1296.79,1309.09507,1290.63747,1309.09507,1.5971,123.1,196.52,196.12,7,take_profit,25.08592,4.10169,-0.19686,-1.81888,london,2019
XAUUSD,1,2019-03-13 16:00:00,2019-03-14 12:00:00,1307.2,1301.40004,1301.40004,1318.79992,1.728,-58.0,-100.22,-100.62,5,stop_loss,28.44659,3.86664,2.14345,-1.53115,new_york,2019
XAUUSD,-1,2019-03-19 20:00:00,2019-03-20 20:00:00,1306.3,1312.10715,1312.10715,1294.68569,1.7085,-58.1,-99.22,-99.62,6,stop_loss,22.08023,3.87144,1.20142,-0.71554,new_york,2019
XAUUSD,1,2019-03-22 20:00:00,2019-03-26 12:00:00,1312.07,1316.57,1304.59925,1327.0115,1.3147,45.0,59.16,58.76,10,time_exit,16.32753,4.9805,1.20424,0.14958,new_york,2019
XAUUSD,-1,2019-03-27 00:00:00,2019-03-28 12:00:00,1315.57,1302.89692,1321.90654,1302.89692,1.5594,126.7,197.62,197.22,9,take_profit,16.70726,4.22436,1.14457,0.93289,,2019
XAUUSD,1,2019-03-29 00:00:00,2019-04-01 16:00:00,1290.27,1289.64,1282.89871,1305.01258,1.3672,-6.3,-8.61,-9.01,10,time_exit,21.47197,4.91419,-3.86429,0.47912,,2019
XAUUSD,1,2019-04-02 20:00:00,2019-04-04 12:00:00,1289.65,1284.92,1282.66263,1303.62474,1.441,-47.3,-68.16,-68.56,10,time_exit,25.37102,4.65825,-2.21666,-0.94516,new_york,2019
XAUUSD,-1,2019-04-04 16:00:00,2019-04-04 20:00:00,1284.92,1290.96818,1290.96818,1272.82365,1.6535,-60.5,-100.01,-100.41,1,stop_loss,18.69079,4.03212,-2.94311,-1.54248,new_york,2019
XAUUSD,1,2019-04-09 12:00:00,2019-04-11 04:00:00,1301.39,1307.19,1295.30908,1313.55185,1.6281,58.0,94.43,94.03,10,time_exit,20.93709,4.05395,1.2898,-1.3778,london,2019
XAUUSD,1,2019-04-15 20:00:00,2019-04-16 12:00:00,1289.46,1283.03977,1283.03977,1302.30045,1.5567,-64.2,-99.94,-100.34,4,stop_loss,30.21216,4.28015,-1.5003,-1.12894,new_york,2019
XAUUSD,-1,2019-04-18 00:00:00,2019-04-22 04:00:00,1274.26,1279.83432,1279.83432,1263.11136,1.7749,-55.7,-98.94,-99.34,7,stop_loss,45.0115,3.71621,-3.99133,-2.48393,,2019
XAUUSD,-1,2019-04-23 04:00:00,2019-04-24 20:00:00,1275.75,1275.61,1280.72562,1265.79876,1.9685,1.4,2.76,2.36,10,time_exit,32.20179,3.31708,-2.32459,-3.57102,,2019
XAUUSD,-1,2019-04-25 08:00:00,2019-04-25 16:00:00,1275.65,1281.11745,1281.11745,1264.7151,1.7918,-54.7,-97.97,-98.37,2,stop_loss,27.23433,3.64497,-0.98212,-3.65903,london,2019
XAUUSD,1,2019-04-26 00:00:00,2019-04-26 16:00:00,1276.97,1287.92715,1271.49143,1287.92715,1.7703,109.6,193.97,193.57,4,take_profit,24.00525,3.65238,-0.48778,-3.56437,,2019
XAUUSD,1,2019-04-30 16:00:00,2019-05-01 20:00:00,1281.37,1275.84599,1275.84599,1292.41801,1.7907,-55.2,-98.92,-99.32,7,stop_loss,17.1801,3.68267,0.19939,-2.69491,new_york,2019
XAUUSD,1,2019-05-02 04:00:00,2019-05-02 08:00:00,1277.11,1270.87127,1270.87127,1289.58746,1.5697,-62.4,-97.93,-98.33,1,stop_loss,15.1197,4.15915,-0.84094,-2.19419,,2019
XAUUSD,-1,2019-05-08 16:00:00,2019-05-10 08:00:00,1289.79,1285.28,1295.35462,1278.66077,1.7422,45.1,78.57,78.17,10,time_exit,15.10459,3.70974,2.43132,-1.76552,new_york,2019
XAUUSD,1,2019-05-13 04:00:00,2019-05-13 16:00:00,1287.52,1298.87361,1281.84319,1298.87361,1.7215,113.5,195.45,195.05,3,take_profit,18.55856,3.78454,1.29738,-1.14853,,2019
XAUUSD,1,2019-05-14 04:00:00,2019-05-14 16:00:00,1301.01,1294.50972,1294.50972,1314.01056,1.5334,-65.0,-99.68,-100.08,3,stop_loss,24.04654,4.33352,3.68478,-0.53856,,2019
XAUUSD,-1,2019-05-17 08:00:00,2019-05-17 20:00:00,1286.53,1275.04303,1292.27349,1275.04303,1.718,114.9,197.35,196.95,3,take_profit,20.59273,3.82899,-0.82631,0.29168,london,2019
XAUUSD,-1,2019-05-20 04:00:00,2019-05-21 20:00:00,1278.12,1274.73,1284.20663,1265.94675,1.6535,33.9,56.05,55.65,10,time_exit,26.09062,4.05775,-2.43394,-0.04569,,2019
XAUUSD,-1,2019-05-23 16:00:00,2019-05-27 08:00:00,1282.77,1286.1,1287.99289,1272.32421,1.9377,-33.3,-64.53,-64.93,10,time_exit,37.79241,3.48193,0.56703,-1.42066,new_york,2019
XAUUSD,-1,2019-05-27 16:00:00,2019-05-28 16:00:00,1285.62,1276.44142,1290.20929,1276.44142,2.191,91.8,201.1,200.7,6,take_profit,27.22896,3.05953,1.09567,-1.09261,new_york,2019
XAUUSD,1,2019-05-28 16:00:00,2019-05-30 08:00:00,1279.26,1277.12,1274.6455,1288.48899,2.2225,-21.4,-47.56,-47.96,10,time_exit,24.5984,3.07633,-1.07619,-0.9651,new_york,2019
XAUUSD,1,2019-05-30 16:00:00,2019-05-31 00:00:00,1281.29,1291.38687,1276.24157,1291.38687,2.022,101.0,204.16,203.76,2,take_profit,16.57713,3.36562,-0.11711,-0.95853,new_york,2019
XAUUSD,1,2019-06-07 20:00:00,2019-06-10 00:00:00,1343.17,1333.6659,1333.6659,1362.17819,1.0955,-95.0,-104.12,-104.52,1,stop_loss,54.0954,6.33606,4.17716,3.16661,new_york,2019
XAUUSD,1,2019-06-10 00:00:00,2019-06-10 08:00:00,1336.48,1327.12334,1327.12334,1355.19332,1.1016,-93.6,-103.07,-103.47,2,stop_loss,54.8735,6.23777,3.6484,3.29563,,2019
XAUUSD,1,2019-06-19 00:00:00,2019-06-20 00:00:00,1346.41,1365.25017,1336.98992,1365.25017,1.0832,188.4,204.08,203.68,6,take_profit,28.44359,6.28006,1.76257,3.912,,2019
XAUUSD,1,2019-06-21 16:00:00,2019-06-25 00:00:00,1396.89,1428.51585,1381.07708,1428.51585,0.6582,316.3,208.16,207.76,8,take_profit,49.47216,10.54195,4.02131,3.26809,new_york,2019
XAUUSD,-1,2019-06-28 04:00:00,2019-07-01 00:00:00,1414.39,1387.17141,1427.99929,1387.17141,0.78,272.2,212.3,211.9,5,take_profit,35.12951,9.07286,2.41193,5.57548,,2019
XAUUSD,-1,2019-07-08 00:00:00,2019-07-09 16:00:00,1398.13,1396.89,1411.28108,1371.82784,0.8233,12.4,10.21,9.81,10,time_exit,21.93444,8.76739,-0.72138,4.96575,,2019
XAUUSD,1,2019-07-18 00:00:00,2019-07-18 12:00:00,1426.45,1415.22934,1415.22934,1448.89131,0.9658,-112.2,-108.37,-108.77,3,stop_loss,15.31286,7.48044,2.29027,4.00485,,2019
XAUUSD,1,2019-07-24 00:00:00,2019-07-25 16:00:00,1418.0,1412.16,1406.41052,1441.17896,0.9257,-58.4,-54.06,-54.46,10,time_exit,11.97877,7.72632,-0.267,3.89632,,2019
XAUUSD,1,2019-07-26 12:00:00,2019-07-30 04:00:00,1417.76,1425.15,1407.93807,1437.40387,1.0867,73.9,80.31,79.91,10,time_exit,10.18356,6.54796,-0.32296,3.98842,london,2019
XAUUSD,1,2019-07-31 16:00:00,2019-07-31 20:00:00,1432.09,1424.87175,1424.87175,1446.52651,1.4898,-72.2,-107.54,-107.94,1,stop_loss,19.62858,4.81217,1.88703,4.95243,new_york,2019
XAUUSD,-1,2019-08-01 00:00:00,2019-08-01 20:00:00,1413.35,1422.94982,1422.94982,1394.15036,1.1089,-96.0,-106.45,-106.85,5,stop_loss,18.82763,6.39988,-1.71192,3.60531,,2019
XAUUSD,-1,2019-08-02 04:00:00,2019-08-05 04:00:00,1441.89,1456.1095,1456.1095,1413.45101,0.7411,-142.2,-105.38,-105.78,6,stop_loss,23.89109,9.47966,2.09448,2.23019,,2019
XAUUSD,-1,2019-08-05 12:00:00,2019-08-06 00:00:00,1457.32,1472.68146,1472.68146,1426.59708,0.6792,-153.6,-104.34,-104.74,3,stop_loss,28.15698,10.24097,2.86676,2.32869,london,2019
XAUUSD,1,2019-08-09 16:00:00,2019-08-13 08:00:00,1499.63,1523.4,1483.97523,1530.93955,0.6598,237.7,156.83,156.43,10,time_exit,46.33829,10.43652,3.09685,4.29277,new_york,2019
XAUUSD,-1,2019-08-16 08:00:00,2019-08-20 00:00:00,1521.87,1497.11,1538.55891,1488.49217,0.6282,247.6,155.54,155.14,10,time_exit,20.77893,11.12594,2.14646,4.83385,london,2019
XAUUSD,-1,2019-08-29 16:00:00,2019-08-30 20:00:00,1542.78,1517.73328,1555.30336,1517.73328,0.8496,250.5,212.8,212.4,7,take_profit,30.79988,8.34891,2.38328,5.58543,new_york,2019
