symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,1,2019-02-18 20:00:00,2019-02-19 16:00:00,142.906,144.1009,142.30855,144.1009,0.1839,119.5,199.97,199.65,5,take_profit,24.87489,0.3983,1.42577,1.75886,new_york,2019
GBPJPY,1,2019-02-22 08:00:00,2019-02-26 00:00:00,144.36,145.71531,143.68235,145.71531,0.1654,135.5,203.99,203.67,10,take_profit,34.60679,0.45177,2.07315,2.88946,london,2019
GBPJPY,1,2019-02-28 00:00:00,2019-03-01 16:00:00,147.697,147.854,146.91249,149.26603,0.1457,15.7,20.82,20.5,10,time_exit,51.8324,0.52301,5.36189,3.97614,,2019
GBPJPY,1,2019-03-01 20:00:00,2019-03-04 16:00:00,147.853,147.13777,147.13777,149.28347,0.1602,-71.5,-104.27,-104.59,5,stop_loss,52.66119,0.47682,3.9995,5.43521,new_york,2019
GBPJPY,-1,2019-03-06 04:00:00,2019-03-07 20:00:00,146.956,145.97,147.69165,145.48469,0.1541,98.6,138.27,137.95,10,time_exit,28.10875,0.49044,0.72952,5.50808,,2019
GBPJPY,1,2019-03-11 00:00:00,2019-03-11 16:00:00,143.975,145.56908,143.17796,145.56908,0.1442,159.4,209.18,208.86,4,take_profit,34.11782,0.53136,-3.08894,3.93358,,2019
GBPJPY,-1,2019-03-19 08:00:00,2019-03-20 20:00:00,147.723,145.92553,148.62173,145.92553,0.1304,179.7,213.29,212.98,9,take_profit,20.95531,0.59916,0.9285,3.33657,london,2019
GBPJPY,1,2019-03-21 16:00:00,2019-03-25 08:00:00,145.124,145.465,144.16388,147.04424,0.1245,34.1,38.63,38.32,10,time_exit,27.83202,0.64008,-2.93315,2.51341,new_york,2019
GBPJPY,1,2019-04-02 16:00:00,2019-04-03 08:00:00,145.142,147.08624,144.16988,147.08624,0.1234,194.4,218.33,218.01,4,take_profit,17.60558,0.64808,-0.54824,0.24528,new_york,2019
GBPJPY,1,2019-04-09 20:00:00,2019-04-11 12:00:00,144.853,145.588,144.15025,146.2585,0.1741,73.5,116.45,116.13,10,time_exit,18.54759,0.4685,-1.88179,0.49714,new_york,2019
GBPJPY,-1,2019-04-15 12:00:00,2019-04-17 04:00:00,146.66,146.171,147.25219,145.47562,0.2088,48.9,92.91,92.6,10,time_exit,22.47739,0.39479,2.00933,0.74766,london,2019
GBPJPY,-1,2019-04-25 00:00:00,2019-04-25 16:00:00,144.735,143.88159,145.16171,143.88159,0.2921,85.3,226.85,226.53,4,take_profit,31.97934,0.28447,-2.41559,-0.5245,,2019
GBPJPY,-1,2019-05-01 04:00:00,2019-05-02 08:00:00,145.336,145.78956,145.78956,144.42887,0.2803,-45.4,-115.69,-116.01,7,stop_loss,20.31581,0.30238,1.52059,-1.48169,,2019
