symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,1,2019-01-15 02:00:00,2019-01-15 06:00:00,108.238,108.56456,108.07472,108.56456,0.673,32.7,199.99,199.77,4,take_profit,16.58602,0.10885,-0.16465,-2.17931,tokyo,2019
USDJPY,-1,2019-01-15 13:00:00,2019-01-15 18:00:00,108.503,108.68279,108.68279,108.14343,0.6234,-18.0,-101.99,-102.22,5,stop_loss,29.80249,0.11986,1.18378,-1.14767,london,2019
USDJPY,-1,2019-01-16 07:00:00,2019-01-16 12:00:00,108.478,108.68257,108.68257,108.06885,0.5424,-20.5,-100.97,-101.2,5,stop_loss,18.17831,0.13638,0.1786,-0.38097,tokyo,2019
USDJPY,-1,2019-01-17 07:00:00,2019-01-17 17:00:00,109.011,109.009,109.21497,108.60306,0.5386,0.2,0.98,0.75,10,time_exit,24.35429,0.13598,2.1178,1.04601,tokyo,2019
USDJPY,-1,2019-01-21 01:00:00,2019-01-21 11:00:00,109.731,109.674,109.93331,109.32638,0.543,5.7,28.17,27.94,10,time_exit,35.71343,0.13487,3.23152,3.4159,tokyo,2019
USDJPY,1,2019-01-21 13:00:00,2019-01-21 23:00:00,109.608,109.654,109.44073,109.94254,0.6586,4.6,27.57,27.34,10,time_exit,18.9673,0.11151,1.72537,4.42993,london,2019
USDJPY,1,2019-01-22 01:00:00,2019-01-22 04:00:00,109.635,109.5222,109.5222,109.8606,0.9793,-11.3,-100.52,-100.75,3,stop_loss,11.80901,0.0752,1.74881,6.63987,tokyo,2019
USDJPY,-1,2019-01-22 14:00:00,2019-01-22 20:00:00,109.445,109.18765,109.57367,109.18765,0.8499,25.7,199.04,198.81,6,take_profit,26.79003,0.08578,-0.59551,5.04915,london,2019
USDJPY,1,2019-01-23 16:00:00,2019-01-23 17:00:00,109.844,109.67524,109.67524,110.18153,0.6609,-16.9,-101.5,-101.73,1,stop_loss,27.41972,0.11251,2.77535,3.24258,new_york,2019
USDJPY,-1,2019-01-24 03:00:00,2019-01-24 08:00:00,109.458,109.64497,109.64497,109.08407,0.5906,-18.7,-100.48,-100.71,5,stop_loss,16.44469,0.12464,-0.69555,2.68548,tokyo,2019
USDJPY,1,2019-01-28 01:00:00,2019-01-28 02:00:00,109.532,109.32119,109.32119,109.95362,0.5186,-21.1,-99.49,-99.72,1,stop_loss,15.58877,0.14054,-0.96549,2.00471,tokyo,2019
USDJPY,-1,2019-01-29 03:00:00,2019-01-29 07:00:00,109.149,109.32282,109.32282,108.80137,0.6226,-17.4,-98.48,-98.71,4,stop_loss,22.27696,0.11588,-2.60599,0.6426,tokyo,2019
USDJPY,1,2019-01-29 14:00:00,2019-01-29 17:00:00,109.456,109.30668,109.30668,109.75464,0.7175,-14.9,-97.49,-97.72,3,stop_loss,19.55957,0.09955,0.53422,0.34341,london,2019
USDJPY,1,2019-01-30 14:00:00,2019-01-30 16:00:00,109.408,109.67344,109.27528,109.67344,0.7992,26.5,193.05,192.82,2,take_profit,9.66231,0.08848,0.37174,0.08991,london,2019
USDJPY,-1,2019-01-30 21:00:00,2019-01-30 22:00:00,109.532,109.25772,109.66914,109.25772,0.7888,27.4,196.88,196.65,1,take_profit,20.46382,0.09143,1.23318,0.43061,new_york,2019
USDJPY,-1,2019-01-31 19:00:00,2019-02-01 05:00:00,108.839,108.852,109.04342,108.43015,0.5398,-1.3,-6.39,-6.61,10,time_exit,39.46028,0.13628,-1.50789,-1.61868,new_york,2019
USDJPY,-1,2019-02-05 02:00:00,2019-02-05 12:00:00,109.978,109.939,110.12381,109.68639,0.7563,3.9,26.84,26.61,10,time_exit,53.67793,0.0972,4.02518,2.39909,tokyo,2019
USDJPY,-1,2019-02-05 20:00:00,2019-02-06 06:00:00,109.92,109.759,110.07608,109.60783,0.7084,16.1,103.79,103.56,10,time_exit,24.04019,0.10406,1.50407,3.02401,new_york,2019
USDJPY,1,2019-02-08 02:00:00,2019-02-08 12:00:00,109.755,109.852,109.58357,110.09786,0.6516,9.7,57.52,57.29,10,time_exit,17.60206,0.11429,-0.61829,1.87506,tokyo,2019
USDJPY,1,2019-02-14 09:00:00,2019-02-14 15:00:00,111.044,110.91216,110.91216,111.30767,0.8521,-13.2,-102.23,-102.45,6,stop_loss,34.32093,0.08789,3.63371,6.31784,london,2019
USDJPY,1,2019-02-14 16:00:00,2019-02-15 00:00:00,110.607,110.43883,110.43883,110.94334,0.6613,-16.8,-101.2,-101.43,8,stop_loss,34.01179,0.11211,-1.58991,5.00539,new_york,2019
USDJPY,-1,2019-02-15 09:00:00,2019-02-15 15:00:00,110.398,110.5532,110.5532,110.0876,0.7094,-15.5,-100.19,-100.42,6,stop_loss,38.75506,0.10347,-2.14896,3.46096,london,2019
USDJPY,1,2019-02-18 05:00:00,2019-02-18 15:00:00,110.532,110.59,110.38547,110.82506,0.7438,5.8,39.26,39.03,10,time_exit,14.40758,0.09769,-0.12817,2.49275,tokyo,2019
USDJPY,-1,2019-02-18 21:00:00,2019-02-19 06:00:00,110.583,110.67546,110.67546,110.39808,1.1834,-9.2,-99.57,-99.8,9,stop_loss,11.53668,0.06164,0.49407,3.46134,new_york,2019
USDJPY,-1,2019-02-19 14:00:00,2019-02-19 17:00:00,110.776,110.52941,110.8993,110.52941,0.8785,24.7,197.14,196.91,3,take_profit,23.5419,0.0822,2.13067,2.6132,london,2019
USDJPY,-1,2019-02-20 19:00:00,2019-02-20 21:00:00,110.695,110.84377,110.84377,110.39746,0.7427,-14.9,-100.55,-100.77,2,stop_loss,18.51911,0.09918,-0.09643,2.32264,new_york,2019
USDJPY,1,2019-02-22 03:00:00,2019-02-22 13:00:00,110.711,110.87,110.57485,110.9833,0.8034,15.9,116.24,116.02,10,time_exit,16.03542,0.09077,-0.10339,1.93059,tokyo,2019
USDJPY,-1,2019-02-25 23:00:00,2019-02-26 09:00:00,111.033,110.832,111.18074,110.73752,0.749,20.1,137.0,136.77,10,time_exit,25.00267,0.09849,2.44206,1.66952,,2019
USDJPY,-1,2019-02-26 19:00:00,2019-02-26 21:00:00,110.768,110.47027,110.91686,110.47027,0.7534,29.8,204.12,203.89,2,take_profit,20.09408,0.09924,-0.51099,1.51006,new_york,2019
USDJPY,1,2019-02-27 03:00:00,2019-02-27 09:00:00,110.536,110.39029,110.39029,110.82741,0.7851,-14.6,-104.1,-104.33,6,stop_loss,30.97312,0.09714,-2.23931,0.94632,tokyo,2019
USDJPY,-1,2019-03-01 05:00:00,2019-03-01 11:00:00,111.754,111.94705,111.94705,111.36791,0.5866,-19.3,-103.05,-103.28,6,stop_loss,41.07011,0.1287,5.433,2.10418,tokyo,2019
USDJPY,-1,2019-03-04 05:00:00,2019-03-04 15:00:00,111.985,111.92,112.14133,111.67233,0.7171,6.5,42.42,42.19,10,time_exit,33.44953,0.10422,3.92063,5.34208,tokyo,2019
USDJPY,1,2019-03-04 17:00:00,2019-03-04 18:00:00,111.951,111.82136,111.82136,112.21028,0.8684,-13.0,-102.45,-102.67,1,stop_loss,18.91404,0.08643,2.82147,6.77585,new_york,2019
USDJPY,1,2019-03-05 03:00:00,2019-03-05 13:00:00,111.842,111.965,111.71673,112.09254,0.8897,12.3,99.58,99.36,10,time_exit,20.11888,0.08351,1.42315,6.48266,tokyo,2019
USDJPY,1,2019-03-11 03:00:00,2019-03-11 04:00:00,111.082,110.88859,110.88859,111.46882,0.5819,-19.3,-102.42,-102.64,1,stop_loss,41.42939,0.12894,-2.0264,-0.45284,tokyo,2019
