symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,-1,2019-01-15 09:00:00,2019-01-15 16:00:00,1290.76,1293.36599,1293.36599,1285.54803,3.8373,-26.1,-100.0,-100.4,7,stop_loss,13.10374,1.73732,-0.32779,1.46267,london,2019
XAUUSD,-1,2019-01-16 05:00:00,2019-01-16 08:00:00,1289.52,1292.36028,1292.36028,1283.83943,3.4854,-28.4,-99.0,-99.4,3,stop_loss,17.13768,1.89352,-0.56524,0.84269,,2019
XAUUSD,1,2019-01-17 01:00:00,2019-01-17 06:00:00,1294.05,1291.49012,1291.49012,1299.16975,3.8284,-25.6,-98.0,-98.4,5,stop_loss,15.47095,1.70658,1.35059,1.03255,,2019
XAUUSD,1,2019-01-17 16:00:00,2019-01-17 17:00:00,1291.58,1289.06995,1289.06995,1296.6001,3.8652,-25.1,-97.02,-97.42,1,stop_loss,14.61403,1.67337,-0.33407,1.30049,new_york,2019
XAUUSD,1,2019-01-18 09:00:00,2019-01-18 10:00:00,1292.09,1289.81596,1289.81596,1296.63808,4.2235,-22.7,-96.04,-96.44,1,stop_loss,22.83469,1.51603,0.15111,1.09912,london,2019
XAUUSD,-1,2019-01-18 21:00:00,2019-01-21 08:00:00,1282.44,1282.97,1285.40626,1276.50747,3.2054,-5.3,-16.99,-17.39,10,time_exit,42.38927,1.97751,-3.3541,-0.25675,new_york,2019
XAUUSD,-1,2019-01-21 16:00:00,2019-01-22 06:00:00,1279.03,1277.65,1281.63635,1273.8173,3.6413,13.8,50.25,49.85,10,time_exit,40.03169,1.73757,-3.30915,-1.93846,new_york,2019
XAUUSD,1,2019-01-22 19:00:00,2019-01-23 06:00:00,1283.16,1283.4,1280.38395,1288.7121,3.4367,2.4,8.25,7.85,10,time_exit,22.07073,1.8507,0.29521,-2.19435,new_york,2019
XAUUSD,1,2019-01-23 08:00:00,2019-01-23 15:00:00,1284.11,1281.88324,1281.88324,1288.56352,4.288,-22.3,-95.48,-95.88,7,stop_loss,15.01014,1.48451,0.54549,-2.10245,london,2019
XAUUSD,-1,2019-01-23 18:00:00,2019-01-23 19:00:00,1282.14,1284.9528,1284.9528,1276.5144,3.3605,-28.1,-94.52,-94.92,1,stop_loss,19.49191,1.8752,-0.6915,-1.46048,new_york,2019
XAUUSD,-1,2019-01-25 16:00:00,2019-01-25 17:00:00,1288.67,1291.468,1291.468,1283.074,3.3443,-28.0,-93.57,-93.97,1,stop_loss,24.64848,1.86533,3.19048,-1.12468,new_york,2019
XAUUSD,-1,2019-01-29 18:00:00,2019-01-30 05:00:00,1310.93,1313.24,1314.28881,1304.21238,2.758,-23.1,-63.71,-64.11,10,time_exit,52.97607,2.23921,4.28412,4.22804,new_york,2019
XAUUSD,1,2019-01-30 05:00:00,2019-01-30 15:00:00,1313.75,1310.98574,1310.98574,1319.27852,3.328,-27.6,-91.99,-92.39,10,stop_loss,52.00929,1.84284,4.92273,5.9439,,2019
XAUUSD,-1,2019-01-31 09:00:00,2019-01-31 12:00:00,1319.44,1322.65765,1322.65765,1313.0047,2.8303,-32.2,-91.07,-91.47,3,stop_loss,38.38137,2.1451,3.35005,6.22948,london,2019
XAUUSD,1,2019-02-01 20:00:00,2019-02-04 05:00:00,1317.65,1314.004,1314.004,1324.94199,2.4727,-36.5,-90.15,-90.55,8,stop_loss,22.21893,2.43066,-0.13753,5.31866,new_york,2019
XAUUSD,-1,2019-02-04 08:00:00,2019-02-04 18:00:00,1312.88,1314.81,1315.69398,1307.25204,3.1716,-19.3,-61.21,-61.61,10,time_exit,29.57808,1.87599,-2.29473,5.83968,london,2019
XAUUSD,-1,2019-02-05 13:00:00,2019-02-05 15:00:00,1313.71,1316.26093,1316.26093,1308.60815,3.4746,-25.5,-88.63,-89.03,2,stop_loss,24.65292,1.70062,-0.3776,3.8532,london,2019
XAUUSD,1,2019-02-05 16:00:00,2019-02-06 03:00:00,1314.6,1313.52,1311.82098,1320.15803,3.1573,-10.8,-34.1,-34.5,10,time_exit,21.87263,1.85268,0.12817,3.42858,new_york,2019
XAUUSD,1,2019-02-06 19:00:00,2019-02-06 20:00:00,1312.03,1309.59071,1309.59071,1316.90857,3.5829,-24.4,-87.4,-87.8,1,stop_loss,18.03482,1.62619,-1.2102,2.84851,new_york,2019
XAUUSD,1,2019-02-07 14:00:00,2019-02-07 16:00:00,1306.74,1311.58976,1304.31512,1311.58976,3.568,48.5,173.04,172.64,2,take_profit,36.78212,1.61659,-1.90637,0.6189,london,2019
XAUUSD,1,2019-02-08 12:00:00,2019-02-08 15:00:00,1309.29,1313.77623,1307.04688,1313.77623,3.9341,44.9,176.49,176.09,3,take_profit,13.58813,1.49541,-0.30643,0.50505,london,2019
XAUUSD,1,2019-02-11 08:00:00,2019-02-11 11:00:00,1310.91,1308.65224,1308.65224,1315.42551,3.9866,-22.6,-90.01,-90.41,3,stop_loss,17.22754,1.50517,-0.44159,1.22283,london,2019
XAUUSD,1,2019-02-11 13:00:00,2019-02-11 16:00:00,1306.67,1304.26471,1304.26471,1311.48059,3.7045,-24.1,-89.1,-89.5,3,stop_loss,18.68732,1.60353,-2.78128,0.88645,london,2019
XAUUSD,-1,2019-02-12 07:00:00,2019-02-12 08:00:00,1308.37,1310.83259,1310.83259,1303.44482,3.5819,-24.6,-88.21,-88.61,1,stop_loss,15.60286,1.64173,-0.72039,0.05069,london,2019
XAUUSD,-1,2019-02-13 05:00:00,2019-02-13 15:00:00,1312.27,1310.61,1314.76236,1307.28529,3.5036,16.6,58.16,57.76,10,time_exit,17.53185,1.66157,1.09347,0.42455,,2019
XAUUSD,-1,2019-02-14 02:00:00,2019-02-14 12:00:00,1307.64,1306.38,1310.94173,1301.03654,2.6622,12.6,33.54,33.14,10,time_exit,17.29263,2.20115,-1.32825,0.27204,,2019
XAUUSD,-1,2019-02-18 15:00:00,2019-02-19 05:00:00,1326.0,1324.86,1328.5183,1320.9634,3.5036,11.4,39.94,39.54,10,time_exit,35.12715,1.67887,4.61916,3.24592,london,2019
XAUUSD,-1,2019-02-20 03:00:00,2019-02-20 04:00:00,1340.54,1343.5393,1343.5393,1334.54141,2.9549,-30.0,-88.63,-89.03,1,stop_loss,53.8722,1.99953,5.98866,5.43534,,2019
XAUUSD,-1,2019-02-20 15:00:00,2019-02-20 21:00:00,1343.93,1337.54622,1347.12189,1337.54622,2.7487,63.8,175.47,175.07,6,take_profit,53.74633,2.12793,4.52665,6.41983,london,2019
XAUUSD,-1,2019-02-21 17:00:00,2019-02-21 23:00:00,1331.47,1323.10695,1335.65152,1323.10695,2.1401,83.6,178.98,178.58,6,take_profit,38.48238,2.78768,-1.87822,4.32781,new_york,2019
XAUUSD,-1,2019-02-22 20:00:00,2019-02-25 07:00:00,1332.79,1330.63,1336.55179,1325.26643,2.4263,21.6,52.41,52.01,10,time_exit,35.95337,2.50786,1.02085,2.05242,new_york,2019
XAUUSD,-1,2019-02-25 17:00:00,2019-02-26 04:00:00,1331.17,1329.74,1334.54195,1324.42609,2.7222,14.3,38.93,38.53,10,time_exit,14.77689,2.24797,0.45596,1.84796,new_york,2019
XAUUSD,1,2019-02-28 01:00:00,2019-02-28 11:00:00,1318.77,1324.84054,1315.73473,1324.84054,3.0369,60.7,184.36,183.96,10,take_profit,24.41644,2.02351,-2.97452,-0.11911,,2019
XAUUSD,-1,2019-03-01 11:00:00,2019-03-01 12:00:00,1307.32,1310.46006,1310.46006,1301.03988,2.9941,-31.4,-94.02,-94.42,1,stop_loss,36.71634,2.09337,-5.19967,-2.45819,london,2019
XAUUSD,1,2019-03-05 06:00:00,2019-03-05 09:00:00,1288.32,1284.84491,1284.84491,1295.27017,2.6783,-34.8,-93.07,-93.47,3,stop_loss,34.28874,2.31672,-3.37729,-7.31763,,2019
XAUUSD,-1,2019-03-07 13:00:00,2019-03-07 23:00:00,1286.35,1285.53,1289.12074,1280.80853,3.3254,8.2,27.27,26.87,10,time_exit,16.50991,1.84716,-0.66227,-7.88578,london,2019
XAUUSD,-1,2019-03-08 10:00:00,2019-03-08 15:00:00,1293.89,1296.93196,1296.93196,1287.80608,3.0378,-30.4,-92.41,-92.81,5,stop_loss,23.16391,2.02797,3.11511,-5.85301,london,2019
XAUUSD,-1,2019-03-11 06:00:00,2019-03-11 16:00:00,1296.9,1294.14,1300.0979,1290.5042,2.8606,27.6,78.95,78.55,10,time_exit,41.50526,2.13193,2.01424,-2.99569,,2019
XAUUSD,1,2019-03-12 11:00:00,2019-03-12 21:00:00,1294.73,1299.67008,1292.25996,1299.67008,3.7354,49.4,184.53,184.13,10,take_profit,18.14582,1.64669,0.36487,-2.35455,london,2019
XAUUSD,1,2019-03-13 04:00:00,2019-03-13 14:00:00,1304.17,1307.68,1301.35834,1309.79332,3.347,35.1,117.48,117.08,10,time_exit,28.34749,1.87444,4.03007,-0.82151,,2019
XAUUSD,1,2019-03-13 21:00:00,2019-03-14 04:00:00,1308.56,1305.87488,1305.87488,1313.93025,3.5483,-26.9,-95.28,-95.68,6,stop_loss,43.37493,1.79008,3.86982,1.20633,new_york,2019
XAUUSD,-1,2019-03-18 12:00:00,2019-03-18 15:00:00,1303.96,1306.68951,1306.68951,1298.50099,3.4556,-27.3,-94.32,-94.72,3,stop_loss,18.84273,1.81967,1.59336,0.47867,london,2019
