symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,1,2019-01-15 05:00:00,2019-01-15 12:00:00,139.865,139.40952,139.40952,140.77596,0.2413,-45.5,-100.02,-100.33,7,stop_loss,32.26527,0.30365,2.75843,1.43911,,2019
GBPJPY,1,2019-01-15 19:00:00,2019-01-15 20:00:00,138.727,138.21871,138.21871,139.74359,0.214,-50.8,-98.98,-99.3,1,stop_loss,26.94802,0.33886,-1.51633,1.5423,new_york,2019
GBPJPY,-1,2019-01-17 16:00:00,2019-01-17 18:00:00,140.56,141.02427,141.02427,139.63146,0.232,-46.4,-98.02,-98.34,2,stop_loss,21.73254,0.30951,2.01955,2.492,new_york,2019
GBPJPY,1,2019-01-18 08:00:00,2019-01-18 14:00:00,141.904,141.48911,141.48911,142.73378,0.257,-41.5,-97.03,-97.35,6,stop_loss,40.91514,0.27659,4.15652,4.43697,london,2019
GBPJPY,-1,2019-01-21 08:00:00,2019-01-21 17:00:00,140.978,141.33717,141.33717,140.25966,0.2939,-35.9,-96.06,-96.38,9,stop_loss,26.18949,0.23945,-0.43698,4.87899,london,2019
GBPJPY,1,2019-01-22 02:00:00,2019-01-22 05:00:00,141.375,141.09407,141.09407,141.93686,0.3719,-28.1,-95.07,-95.39,3,stop_loss,18.03347,0.18729,1.17421,5.4962,,2019
GBPJPY,1,2019-01-22 08:00:00,2019-01-22 12:00:00,140.87,141.44061,140.58469,141.44061,0.3626,57.1,188.28,187.96,4,take_profit,18.4165,0.1902,-1.42064,5.0374,london,2019
GBPJPY,1,2019-01-22 15:00:00,2019-01-22 17:00:00,141.139,141.81721,140.79989,141.81721,0.3111,67.8,192.0,191.68,2,take_profit,18.3648,0.22607,0.02192,3.93383,london,2019
GBPJPY,-1,2019-01-22 23:00:00,2019-01-23 04:00:00,141.715,142.08812,142.08812,140.96875,0.2884,-37.3,-97.92,-98.24,5,stop_loss,18.38336,0.24875,1.76649,3.70532,,2019
GBPJPY,1,2019-01-23 22:00:00,2019-01-24 08:00:00,143.173,143.355,142.75661,144.00578,0.2558,18.2,42.37,42.05,10,time_exit,37.34469,0.27759,3.98733,4.59671,,2019
GBPJPY,-1,2019-01-24 16:00:00,2019-01-24 21:00:00,142.819,143.18601,143.18601,142.08497,0.2915,-36.7,-97.36,-97.67,5,stop_loss,30.07775,0.24468,0.84433,5.85952,new_york,2019
GBPJPY,1,2019-01-25 10:00:00,2019-01-25 12:00:00,143.829,143.42783,143.42783,144.63134,0.264,-40.1,-96.38,-96.7,2,stop_loss,37.92844,0.26745,2.74386,5.74477,london,2019
GBPJPY,1,2019-01-29 11:00:00,2019-01-29 18:00:00,143.934,143.58432,143.58432,144.63335,0.2999,-35.0,-95.43,-95.75,7,stop_loss,25.07158,0.23312,0.56033,5.55132,london,2019
GBPJPY,1,2019-01-31 14:00:00,2019-01-31 16:00:00,142.648,142.28535,142.28535,143.3733,0.2862,-36.3,-94.45,-94.77,2,stop_loss,16.59719,0.24177,-1.92631,1.46171,london,2019
GBPJPY,1,2019-01-31 20:00:00,2019-02-01 04:00:00,142.799,142.37273,142.37273,143.65155,0.2411,-42.6,-93.53,-93.84,8,stop_loss,17.29173,0.28418,-0.84971,0.96745,new_york,2019
GBPJPY,-1,2019-02-07 09:00:00,2019-02-07 12:00:00,142.249,141.71187,142.51757,141.71187,0.3788,53.7,185.15,184.83,3,take_profit,24.81405,0.17904,-0.8824,-1.70757,london,2019
GBPJPY,-1,2019-02-08 22:00:00,2019-02-11 08:00:00,141.975,142.28027,142.28027,141.36446,0.3399,-30.5,-94.42,-94.74,10,stop_loss,17.38313,0.20351,-1.01393,-1.69579,,2019
GBPJPY,1,2019-02-11 09:00:00,2019-02-11 10:00:00,142.239,142.00609,142.00609,142.70482,0.441,-23.3,-93.47,-93.79,1,stop_loss,13.04202,0.15527,0.51388,-2.09603,london,2019
GBPJPY,-1,2019-02-11 22:00:00,2019-02-12 05:00:00,141.983,142.27195,142.27195,141.40509,0.3519,-28.9,-92.53,-92.85,7,stop_loss,12.60471,0.19264,-0.79442,-1.57656,,2019
GBPJPY,-1,2019-02-14 08:00:00,2019-02-14 13:00:00,142.875,142.29512,143.16494,142.29512,0.3472,58.0,183.21,182.89,5,take_profit,23.97983,0.19329,1.50826,0.53058,london,2019
