symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
EURUSD,-1,2019-01-16 17:00:00,2019-01-17 03:00:00,1.13971,1.13942,1.14202,1.13509,0.4325,2.9,12.54,12.54,10,time_exit,28.04384,0.00154,-1.98809,-1.7683,new_york,2019
EURUSD,-1,2019-01-17 17:00:00,2019-01-18 03:00:00,1.1387,1.13951,1.14053,1.13504,0.5467,-8.1,-44.28,-44.28,10,time_exit,25.88171,0.00122,-1.65985,-2.87422,new_york,2019
EURUSD,-1,2019-01-21 03:00:00,2019-01-21 09:00:00,1.13743,1.13891,1.13891,1.13447,0.6733,-14.8,-99.68,-99.69,6,stop_loss,28.96023,0.00099,-1.35824,-3.81864,,2019
EURUSD,-1,2019-01-21 09:00:00,2019-01-21 19:00:00,1.13796,1.13684,1.13919,1.13551,0.805,11.2,90.16,90.16,10,time_exit,22.14723,0.00082,-0.72349,-4.53812,london,2019
EURUSD,1,2019-01-22 02:00:00,2019-01-22 06:00:00,1.13689,1.13582,1.13582,1.13904,0.9277,-10.7,-99.58,-99.58,4,stop_loss,14.85569,0.00072,-1.17432,-5.15356,,2019
EURUSD,1,2019-01-22 11:00:00,2019-01-22 15:00:00,1.13608,1.13494,1.13494,1.13837,0.8619,-11.4,-98.59,-98.59,4,stop_loss,22.18107,0.00076,-1.53328,-4.88506,london,2019
EURUSD,1,2019-01-22 16:00:00,2019-01-22 19:00:00,1.13456,1.13694,1.13337,1.13694,0.8204,23.8,195.2,195.2,3,take_profit,22.07232,0.00079,-3.0185,-4.74133,new_york,2019
EURUSD,-1,2019-01-23 14:00:00,2019-01-23 17:00:00,1.13654,1.13776,1.13776,1.1341,0.8164,-12.2,-99.56,-99.56,3,stop_loss,16.11169,0.00081,-0.03581,-4.02126,london,2019
EURUSD,-1,2019-01-25 13:00:00,2019-01-25 16:00:00,1.13383,1.13586,1.13586,1.12977,0.4854,-20.3,-98.57,-98.57,3,stop_loss,19.12945,0.00135,-0.22258,-2.76634,london,2019
EURUSD,-1,2019-01-28 05:00:00,2019-01-28 15:00:00,1.14137,1.14173,1.14323,1.13764,0.5238,-3.6,-18.86,-18.86,10,time_exit,38.18914,0.00124,3.62089,-1.01581,,2019
EURUSD,1,2019-01-28 23:00:00,2019-01-29 09:00:00,1.14282,1.14349,1.14109,1.14628,0.5636,6.7,37.76,37.76,10,time_exit,32.14481,0.00115,2.821,0.68754,,2019
EURUSD,1,2019-01-29 14:00:00,2019-01-29 15:00:00,1.14359,1.14218,1.14218,1.14642,0.6918,-14.1,-97.76,-97.76,1,stop_loss,33.40481,0.00094,2.46612,1.97773,london,2019
EURUSD,-1,2019-01-29 17:00:00,2019-01-30 03:00:00,1.14258,1.14411,1.14411,1.13952,0.6328,-15.3,-96.79,-96.8,10,stop_loss,28.20505,0.00102,1.11679,1.87785,new_york,2019
EURUSD,1,2019-01-31 15:00:00,2019-01-31 17:00:00,1.14928,1.14728,1.14728,1.15328,0.4796,-20.0,-95.83,-95.83,2,stop_loss,39.82295,0.00133,2.55664,3.05438,london,2019
EURUSD,1,2019-01-31 20:00:00,2019-02-01 06:00:00,1.145,1.14422,1.14267,1.14967,0.4065,-7.8,-31.71,-31.71,10,time_exit,33.55633,0.00156,-0.67225,2.5757,new_york,2019
EURUSD,-1,2019-02-01 07:00:00,2019-02-01 11:00:00,1.14422,1.14575,1.14575,1.14116,0.6176,-15.3,-94.54,-94.54,4,stop_loss,30.56655,0.00102,-1.23691,3.12572,london,2019
EURUSD,1,2019-02-04 12:00:00,2019-02-04 16:00:00,1.14455,1.14316,1.14316,1.14733,0.6736,-13.9,-93.6,-93.6,4,stop_loss,14.89286,0.00093,-0.99414,2.54208,london,2019
EURUSD,1,2019-02-04 16:00:00,2019-02-04 17:00:00,1.1449,1.14352,1.14352,1.14767,0.6697,-13.8,-92.67,-92.67,1,stop_loss,12.83625,0.00092,-0.53444,2.38271,new_york,2019
EURUSD,-1,2019-02-05 05:00:00,2019-02-05 10:00:00,1.14391,1.1416,1.14507,1.1416,0.7937,23.1,183.48,183.48,5,take_profit,21.0152,0.00077,-0.8926,1.78783,,2019
