symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
AUDUSD,1,2019-01-15 00:00:00,2019-01-15 10:00:00,0.71962,0.72238,0.71824,0.72238,0.7242,27.6,200.0,200.0,10,take_profit,14.03468,0.00092,0.16995,5.53384,tokyo,2019
AUDUSD,-1,2019-01-15 20:00:00,2019-01-15 23:00:00,0.71846,0.72036,0.72036,0.71467,0.5379,-19.0,-102.0,-102.0,3,stop_loss,16.51315,0.00126,-1.1986,3.54352,new_york,2019
AUDUSD,1,2019-01-16 16:00:00,2019-01-17 02:00:00,0.71716,0.71716,0.71553,0.72041,0.6208,0.0,0.0,-0.0,10,time_exit,17.76527,0.00108,-2.18242,3.08416,new_york,2019
AUDUSD,1,2019-01-17 08:00:00,2019-01-17 18:00:00,0.71585,0.71703,0.71432,0.71892,0.6583,11.8,77.68,77.68,10,time_exit,28.72263,0.00102,-2.43579,1.97516,tokyo,2019
AUDUSD,-1,2019-01-18 00:00:00,2019-01-18 10:00:00,0.71913,0.71786,0.72107,0.71526,0.5254,12.7,66.73,66.72,10,time_exit,29.29121,0.00129,1.0752,1.09046,tokyo,2019
AUDUSD,1,2019-01-18 13:00:00,2019-01-18 18:00:00,0.71913,0.71744,0.71744,0.72251,0.6069,-16.9,-102.43,-102.43,5,stop_loss,33.15675,0.00113,0.71821,1.38854,london,2019
AUDUSD,-1,2019-01-18 21:00:00,2019-01-21 07:00:00,0.71746,0.71693,0.7193,0.71379,0.5525,5.3,29.28,29.28,10,time_exit,29.07636,0.00122,-0.68817,1.16361,new_york,2019
AUDUSD,-1,2019-01-21 08:00:00,2019-01-21 18:00:00,0.71693,0.71574,0.71855,0.71368,0.6265,11.9,74.55,74.55,10,time_exit,17.86908,0.00108,-0.68799,0.76921,tokyo,2019
AUDUSD,1,2019-01-22 08:00:00,2019-01-22 09:00:00,0.71378,0.71263,0.71263,0.71608,0.8895,-11.5,-102.44,-102.44,1,stop_loss,20.08065,0.00077,-3.131,-0.45165,tokyo,2019
AUDUSD,-1,2019-01-22 17:00:00,2019-01-23 03:00:00,0.7131,0.71345,0.71436,0.71057,0.8023,-3.5,-28.08,-28.08,10,time_exit,32.75963,0.00084,-2.47052,-1.22667,new_york,2019
AUDUSD,-1,2019-01-23 08:00:00,2019-01-23 18:00:00,0.71366,0.71322,0.71505,0.71087,0.7251,4.4,31.9,31.9,10,time_exit,26.05722,0.00093,-0.55257,-1.7029,tokyo,2019
AUDUSD,-1,2019-01-25 06:00:00,2019-01-25 15:00:00,0.71086,0.71263,0.71263,0.70732,0.5725,-17.7,-101.45,-101.46,9,stop_loss,27.77484,0.00118,-0.34936,-2.44174,tokyo,2019
AUDUSD,1,2019-01-29 08:00:00,2019-01-29 16:00:00,0.71642,0.71487,0.71487,0.71952,0.6476,-15.5,-100.43,-100.43,8,stop_loss,23.39835,0.00103,0.50088,0.85893,tokyo,2019
AUDUSD,-1,2019-01-29 19:00:00,2019-01-30 02:00:00,0.71478,0.71636,0.71636,0.71163,0.6308,-15.8,-99.43,-99.43,7,stop_loss,19.29308,0.00105,-1.09093,0.77418,new_york,2019
AUDUSD,-1,2019-01-30 02:00:00,2019-01-30 03:00:00,0.71569,0.71705,0.71705,0.71298,0.7265,-13.6,-98.44,-98.45,1,stop_loss,19.57025,0.0009,-0.08369,0.71925,tokyo,2019
AUDUSD,1,2019-01-31 00:00:00,2019-01-31 10:00:00,0.72458,0.72664,0.72243,0.72888,0.4533,20.6,93.38,93.38,10,time_exit,35.01662,0.00143,4.31815,1.70365,tokyo,2019
AUDUSD,1,2019-02-01 11:00:00,2019-02-01 15:00:00,0.72481,0.72801,0.72321,0.72801,0.6146,32.0,196.78,196.78,4,take_profit,30.15673,0.00107,0.59938,4.74457,london,2019
AUDUSD,-1,2019-02-01 23:00:00,2019-02-04 09:00:00,0.72507,0.72382,0.72665,0.72191,0.6349,12.5,79.36,79.36,10,time_exit,26.26992,0.00105,0.27032,4.67587,,2019
AUDUSD,1,2019-02-05 05:00:00,2019-02-05 06:00:00,0.721,0.72381,0.7196,0.72381,0.7208,28.1,202.29,202.28,1,take_profit,30.03511,0.00094,-2.13264,2.61591,tokyo,2019
AUDUSD,-1,2019-02-05 07:00:00,2019-02-05 17:00:00,0.72592,0.72348,0.7278,0.72217,0.5495,24.4,134.08,134.08,10,time_exit,29.45472,0.00125,2.1718,2.03311,tokyo,2019
