symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,cost_model_status,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,1,2019-03-08 20:00:00,2019-03-12 12:00:00,111.041,111.197,110.69364,111.73572,0.3164,15.6,44.92,52.92,10,time_exit,OK,24.54894,0.23157,-1.59963,3.54483,new_york,2019
USDJPY,1,2019-03-12 12:00:00,2019-03-13 20:00:00,111.407,111.08874,111.08874,112.04353,0.3471,-31.8,-100.53,-100.21,8,stop_loss,OK,31.73549,0.21218,0.26182,3.30431,london,2019
USDJPY,1,2019-03-14 04:00:00,2019-03-15 00:00:00,111.216,111.83771,110.90514,111.83771,0.3518,62.2,199.03,199.35,5,take_profit,OK,33.56291,0.20724,-0.54262,2.98096,tokyo,2019
USDJPY,1,2019-03-21 16:00:00,2019-03-22 16:00:00,110.542,110.17784,110.17784,111.27033,0.3063,-36.4,-101.5,-101.23,6,stop_loss,OK,26.02195,0.24278,-3.08316,1.63713,new_york,2019
USDJPY,1,2019-03-25 00:00:00,2019-03-26 16:00:00,109.908,110.517,109.49607,110.73185,0.2681,60.9,148.58,148.82,10,time_exit,OK,32.17148,0.27462,-4.04785,0.71696,tokyo,2019
USDJPY,1,2019-04-09 20:00:00,2019-04-10 20:00:00,111.125,110.8595,110.8595,111.65601,0.4222,-26.6,-102.01,-101.63,6,stop_loss,OK,26.53233,0.177,-0.87611,1.72317,new_york,2019
USDJPY,1,2019-04-11 00:00:00,2019-04-11 16:00:00,111.0,111.52409,110.73795,111.52409,0.4235,52.4,201.98,198.92,4,take_profit,OK,34.03286,0.1747,-1.28977,1.4286,tokyo,2019
USDJPY,1,2019-04-24 00:00:00,2019-04-24 20:00:00,111.859,112.23256,111.67222,112.23256,0.6058,37.4,205.94,201.56,5,take_profit,OK,21.75424,0.12452,0.28583,3.76147,tokyo,2019
USDJPY,1,2019-04-26 04:00:00,2019-04-29 20:00:00,111.651,111.639,111.35718,112.23863,0.3927,-1.2,-4.29,2.45,10,time_exit,OK,20.1691,0.19588,-0.93472,2.11725,tokyo,2019
USDJPY,1,2019-05-06 08:00:00,2019-05-07 16:00:00,110.84,110.46492,110.46492,111.59016,0.3077,-37.5,-105.03,-104.75,8,stop_loss,OK,21.46779,0.25005,-2.55828,0.2245,tokyo,2019
USDJPY,1,2019-09-23 08:00:00,2019-09-23 12:00:00,107.72,107.41889,107.41889,108.32221,0.3794,-30.1,-103.96,-106.7,1,stop_loss,OK,21.68232,0.20074,-0.45993,2.85279,tokyo,2019
USDJPY,1,2019-09-23 16:00:00,2019-09-24 16:00:00,107.532,107.20506,107.20506,108.18587,0.3459,-32.7,-102.91,-102.6,6,stop_loss,OK,26.229,0.21796,-1.15717,2.47974,new_york,2019
USDJPY,1,2019-09-24 16:00:00,2019-09-24 20:00:00,107.647,107.34089,107.34089,108.25922,0.3657,-30.6,-101.87,-104.51,1,stop_loss,OK,30.70027,0.20407,-0.47828,2.3538,new_york,2019
USDJPY,1,2019-09-25 04:00:00,2019-09-25 16:00:00,107.068,107.81699,106.69351,107.81699,0.2959,74.9,201.68,199.54,3,take_profit,OK,34.82796,0.24966,-2.40875,1.64451,tokyo,2019
USDJPY,1,2019-09-25 16:00:00,2019-09-27 08:00:00,107.508,107.916,107.1232,108.2776,0.2936,40.8,109.01,116.43,10,time_exit,OK,33.04992,0.25653,-0.51274,1.46454,new_york,2019
USDJPY,1,2019-10-02 00:00:00,2019-10-02 16:00:00,107.74,107.36442,107.36442,108.49116,0.3042,-37.6,-103.97,-106.17,4,stop_loss,OK,22.27036,0.25039,-0.33807,1.69422,tokyo,2019
USDJPY,1,2019-10-03 08:00:00,2019-10-03 16:00:00,107.168,106.79597,106.79597,107.91207,0.304,-37.2,-102.92,-105.12,2,stop_loss,OK,21.85516,0.24802,-2.1757,1.19925,tokyo,2019
USDJPY,1,2019-10-04 00:00:00,2019-10-07 16:00:00,106.914,107.126,106.50552,107.73095,0.2741,21.2,52.88,57.58,10,time_exit,OK,26.46227,0.27232,-2.52313,0.74805,tokyo,2019
USDJPY,1,2019-10-07 16:00:00,2019-10-09 08:00:00,106.909,107.269,106.55219,107.62262,0.3155,36.0,103.36,106.21,10,time_exit,OK,29.38894,0.23787,-1.8763,0.05502,new_york,2019
USDJPY,1,2019-11-01 08:00:00,2019-11-04 16:00:00,108.018,108.58952,107.73224,108.58952,0.398,57.2,206.99,213.83,8,take_profit,OK,22.14587,0.19051,-2.91363,2.48496,tokyo,2019
USDJPY,1,2019-11-11 16:00:00,2019-11-13 08:00:00,108.967,108.9,108.6973,109.50641,0.4305,-6.7,-26.25,-22.36,10,time_exit,OK,24.08717,0.1798,0.40657,3.01671,new_york,2019
USDJPY,1,2019-11-14 16:00:00,2019-11-14 20:00:00,108.608,108.33966,108.33966,109.14468,0.4317,-26.8,-105.42,-108.54,1,stop_loss,OK,20.11551,0.17889,-1.65042,2.5404,new_york,2019
USDJPY,1,2019-11-15 00:00:00,2019-11-18 12:00:00,108.418,109.01209,108.12096,109.01209,0.386,59.4,208.68,215.31,9,take_profit,OK,24.31767,0.19803,-2.30087,2.09725,tokyo,2019
USDJPY,1,2019-11-20 08:00:00,2019-11-22 00:00:00,108.524,108.685,108.23849,109.09502,0.4099,16.1,60.05,70.42,10,time_exit,OK,20.89143,0.19034,-1.19404,1.38351,tokyo,2019
USDJPY,1,2019-11-22 00:00:00,2019-11-25 16:00:00,108.633,108.964,108.32775,109.24349,0.3859,33.1,116.24,122.86,10,time_exit,OK,21.50819,0.2035,-0.3399,0.92396,tokyo,2019
USDJPY,1,2019-12-03 04:00:00,2019-12-03 12:00:00,109.087,108.82757,108.82757,109.60586,0.4593,-25.9,-108.43,-111.75,2,stop_loss,OK,39.13666,0.17295,-0.50002,2.51493,tokyo,2019
USDJPY,1,2019-12-04 00:00:00,2019-12-05 16:00:00,108.632,108.694,108.34974,109.19651,0.4178,6.2,23.57,30.74,10,time_exit,OK,35.86513,0.18817,-2.50158,1.93706,tokyo,2019
USDJPY,1,2019-12-06 00:00:00,2019-12-09 08:00:00,108.758,108.46917,108.46917,109.33566,0.4094,-28.9,-107.6,-100.58,8,stop_loss,OK,24.49981,0.19255,-1.15213,1.21529,tokyo,2019
USDJPY,1,2019-12-31 08:00:00,2019-12-31 16:00:00,108.703,108.49907,108.49907,109.11086,0.5745,-20.4,-106.61,-110.76,2,stop_loss,OK,25.80709,0.13595,-4.32682,1.70885,tokyo,2019
