symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,cost_model_status,adx_entry,atr_entry,ema_distance,trend_gap,session,year
XAUUSD,1,2019-02-22 04:00:00,2019-02-25 20:00:00,1325.25,1327.4,1317.90096,1339.94808,1.3607,21.5,29.26,-205.17,10,time_exit,OK,28.44029,4.89936,-0.02506,3.5457,,2019
XAUUSD,1,2019-02-26 00:00:00,2019-02-27 16:00:00,1327.43,1320.21555,1320.21555,1341.85889,1.3577,-72.1,-97.95,-176.28,10,stop_loss,OK,21.73066,4.80963,0.1818,3.40623,,2019
XAUUSD,1,2019-02-28 00:00:00,2019-03-01 04:00:00,1318.77,1312.4206,1312.4206,1331.4688,1.5149,-63.5,-96.19,-183.59,7,stop_loss,OK,21.48819,4.23293,-1.53471,3.38198,,2019
XAUUSD,1,2019-03-01 04:00:00,2019-03-01 08:00:00,1314.4,1307.68127,1307.68127,1327.83746,1.4043,-67.2,-94.35,-94.91,1,stop_loss,OK,21.10063,4.47915,-2.18075,2.64067,,2019
XAUUSD,1,2019-03-04 04:00:00,2019-03-04 08:00:00,1296.38,1288.21607,1288.21607,1312.70785,1.1441,-81.6,-93.4,-93.86,1,stop_loss,OK,31.20742,5.44262,-4.22959,1.40766,,2019
XAUUSD,1,2019-03-05 00:00:00,2019-03-06 16:00:00,1286.66,1286.31,1278.6928,1302.5944,1.1605,-3.5,-4.06,-71.02,10,time_exit,OK,43.02611,5.31147,-5.11089,0.59585,,2019
XAUUSD,1,2019-03-29 04:00:00,2019-04-01 20:00:00,1291.93,1287.63,1284.78523,1306.21954,1.2842,-43.0,-55.22,-276.47,10,time_exit,OK,23.65468,4.76318,-3.49966,0.38279,,2019
XAUUSD,1,2019-05-17 08:00:00,2019-05-17 16:00:00,1286.53,1280.78651,1280.78651,1298.01697,1.5494,-57.4,-88.99,-89.61,2,stop_loss,OK,20.59273,3.82899,-0.82631,0.29168,london,2019
XAUUSD,1,2019-05-20 00:00:00,2019-05-21 12:00:00,1277.55,1271.23633,1271.23633,1290.17735,1.3952,-63.1,-88.09,-168.58,9,stop_loss,OK,24.69848,4.20912,-2.5396,0.0277,,2019
XAUUSD,1,2019-07-01 16:00:00,2019-07-03 00:00:00,1394.65,1422.8842,1380.5329,1422.8842,0.6121,282.3,172.82,102.44,8,take_profit,OK,30.45812,9.4114,-0.11532,5.15061,new_york,2019
XAUUSD,1,2019-07-08 08:00:00,2019-07-09 08:00:00,1399.64,1386.94297,1386.94297,1425.03405,0.6886,-127.0,-87.43,-127.16,6,stop_loss,OK,22.6062,8.46468,-0.57061,4.99988,london,2019
XAUUSD,1,2019-07-09 08:00:00,2019-07-11 00:00:00,1396.18,1419.54393,1384.49803,1419.54393,0.7375,233.6,172.31,3.0,10,take_profit,OK,22.50509,7.78798,-0.9001,4.98932,london,2019
XAUUSD,1,2019-08-01 08:00:00,2019-08-01 20:00:00,1409.68,1429.78597,1399.62702,1429.78597,0.8573,201.1,172.37,172.03,3,take_profit,OK,21.04612,6.70199,-1.77033,3.25487,london,2019
XAUUSD,1,2019-08-01 20:00:00,2019-08-02 00:00:00,1419.01,1441.9173,1407.55635,1441.9173,0.7675,229.1,175.81,131.53,1,take_profit,OK,22.32051,7.63577,-0.15749,2.64988,new_york,2019
XAUUSD,1,2019-08-20 04:00:00,2019-08-21 20:00:00,1497.09,1502.52,1482.77875,1525.7125,0.6234,54.3,33.85,-2.12,10,time_exit,OK,21.75598,9.54083,-0.33867,5.21978,,2019
XAUUSD,1,2019-08-30 08:00:00,2019-09-03 04:00:00,1526.11,1524.42,1512.98405,1552.36189,0.6796,-16.9,-11.49,-167.51,10,time_exit,OK,24.14507,8.75063,0.30539,5.16654,london,2019
XAUUSD,1,2019-09-06 00:00:00,2019-09-09 16:00:00,1517.19,1502.4635,1502.4635,1546.64301,0.5944,-147.3,-87.53,-189.94,10,stop_loss,OK,21.53821,9.81767,-1.23576,4.03418,,2019
XAUUSD,1,2019-09-09 16:00:00,2019-09-09 20:00:00,1514.12,1499.62101,1499.62101,1543.11799,0.5906,-145.0,-85.63,-85.87,1,stop_loss,OK,26.00024,9.666,-1.1102,3.24488,new_york,2019
XAUUSD,1,2019-09-10 12:00:00,2019-09-12 04:00:00,1494.03,1496.05,1479.72113,1522.64775,0.5924,20.2,11.97,-124.03,10,time_exit,OK,29.27346,9.53925,-2.66845,2.7225,london,2019
XAUUSD,1,2019-09-12 08:00:00,2019-09-12 12:00:00,1496.05,1520.84563,1483.65219,1520.84563,0.6737,248.0,167.05,166.78,1,take_profit,OK,27.89709,8.26521,-1.67153,1.99129,london,2019
XAUUSD,1,2019-09-12 12:00:00,2019-09-13 16:00:00,1504.46,1491.79703,1491.79703,1529.78594,0.6728,-126.6,-85.2,-124.01,7,stop_loss,OK,26.09935,8.44198,-0.61521,1.91146,london,2019
XAUUSD,1,2019-09-16 04:00:00,2019-09-17 20:00:00,1505.67,1501.37,1489.24152,1538.52696,0.511,-43.0,-21.97,-51.45,10,time_exit,OK,22.35043,10.95232,-0.06446,1.11718,,2019
XAUUSD,1,2019-09-18 16:00:00,2019-09-18 20:00:00,1504.62,1493.57882,1493.57882,1526.70237,0.7557,-110.4,-83.44,-83.74,1,stop_loss,OK,20.66176,7.36079,0.05289,1.23142,new_york,2019
XAUUSD,1,2019-09-26 04:00:00,2019-09-27 12:00:00,1507.59,1495.09962,1495.09962,1532.57077,0.6613,-124.9,-82.6,-120.75,8,stop_loss,OK,34.16757,8.32692,-0.61031,1.48181,,2019
XAUUSD,1,2019-09-27 20:00:00,2019-09-30 08:00:00,1502.14,1490.11819,1490.11819,1526.18362,0.6771,-120.2,-81.4,-198.05,3,stop_loss,OK,31.34734,8.01454,-0.95054,1.13161,new_york,2019
XAUUSD,1,2019-10-01 00:00:00,2019-10-02 16:00:00,1471.89,1498.19373,1458.73813,1498.19373,0.6038,263.0,158.82,123.99,10,take_profit,OK,38.17339,8.76791,-3.56558,0.46709,,2019
XAUUSD,1,2019-10-07 20:00:00,2019-10-08 04:00:00,1499.7,1487.47872,1487.47872,1524.14256,0.66,-122.2,-80.66,-118.74,2,stop_loss,OK,20.28548,8.14752,0.02996,0.11717,new_york,2019
XAUUSD,1,2019-10-08 08:00:00,2019-10-10 00:00:00,1491.16,1515.68388,1478.89806,1515.68388,0.6481,245.2,158.94,10.15,10,take_profit,OK,20.81534,8.17463,-0.90142,0.02947,london,2019
XAUUSD,1,2019-11-06 00:00:00,2019-11-07 16:00:00,1483.36,1473.54212,1473.54212,1502.99576,0.8105,-98.2,-79.57,-219.21,10,stop_loss,OK,23.7709,6.54525,-2.60375,0.46742,,2019
XAUUSD,1,2020-01-09 16:00:00,2020-01-13 08:00:00,1549.87,1547.96,1532.49794,1584.61412,0.4454,-19.1,-8.51,-110.76,10,time_exit,OK,39.04858,11.58137,0.37374,3.50093,new_york,2020
XAUUSD,1,2020-01-29 08:00:00,2020-01-31 00:00:00,1567.07,1573.98,1557.09237,1587.02527,0.7644,69.1,52.82,-122.67,10,time_exit,OK,22.3015,6.65176,0.23576,4.38906,london,2020
XAUUSD,1,2020-02-05 00:00:00,2020-02-06 16:00:00,1552.59,1565.33,1541.23602,1575.29796,0.661,127.4,84.21,-29.67,10,time_exit,OK,23.96017,7.56932,-2.38787,3.32508,,2020
XAUUSD,1,2020-02-06 16:00:00,2020-02-10 08:00:00,1563.79,1574.33,1553.3145,1584.741,0.7135,105.4,75.2,-88.6,10,time_exit,OK,25.81051,6.98367,-0.35501,2.81339,new_york,2020
XAUUSD,1,2020-02-28 16:00:00,2020-02-28 20:00:00,1628.87,1607.34503,1607.34503,1671.91994,0.3431,-215.2,-73.85,-73.99,1,stop_loss,OK,21.98998,14.34998,-0.14689,3.01016,new_york,2020
XAUUSD,1,2020-03-02 00:00:00,2020-03-03 16:00:00,1591.59,1646.6225,1564.07375,1646.6225,0.2657,550.3,146.22,130.89,10,take_profit,OK,26.70779,18.34417,-2.27193,2.16439,,2020
XAUUSD,1,2020-03-03 16:00:00,2020-03-04 00:00:00,1605.29,1651.9606,1581.9547,1651.9606,0.319,466.7,148.88,130.47,2,take_profit,OK,32.00251,15.55687,-0.82114,1.8847,new_york,2020
XAUUSD,1,2020-03-12 04:00:00,2020-03-12 12:00:00,1647.29,1621.87713,1621.87713,1698.11575,0.298,-254.1,-75.73,-75.85,2,stop_loss,OK,20.6672,16.94192,-0.21025,2.32586,,2020
XAUUSD,1,2020-03-12 12:00:00,2020-03-12 16:00:00,1642.89,1617.5239,1617.5239,1693.6222,0.2956,-253.7,-74.98,-75.1,1,stop_loss,OK,22.63101,16.91073,-0.42142,2.24607,london,2020
XAUUSD,1,2020-03-13 04:00:00,2020-03-13 16:00:00,1579.38,1546.7694,1546.7694,1644.6012,0.2276,-326.1,-74.22,-74.31,3,stop_loss,OK,33.5899,21.7404,-2.84023,1.37742,,2020
XAUUSD,1,2020-03-13 16:00:00,2020-03-13 20:00:00,1594.86,1561.72081,1561.72081,1661.13839,0.2217,-331.4,-73.47,-73.56,1,stop_loss,OK,39.41759,22.0928,-1.81371,1.11072,new_york,2020
XAUUSD,1,2020-03-16 00:00:00,2020-03-16 12:00:00,1563.8,1523.06687,1523.06687,1645.26626,0.1786,-407.3,-72.75,-72.82,3,stop_loss,OK,44.00713,27.15542,-3.60249,0.65659,,2020
XAUUSD,1,2020-03-16 20:00:00,2020-03-18 12:00:00,1508.83,1497.16,1457.09453,1612.30093,0.1392,-116.7,-16.24,-32.25,10,time_exit,OK,46.25767,34.49031,-2.84587,0.07423,new_york,2020
XAUUSD,1,2020-04-01 04:00:00,2020-04-02 20:00:00,1580.09,1611.64,1553.8889,1632.49219,0.2736,315.5,86.32,39.18,10,time_exit,OK,27.47238,17.4674,-0.71056,0.31113,,2020
XAUUSD,1,2020-04-20 08:00:00,2020-04-22 00:00:00,1681.35,1687.31,1659.06309,1725.92383,0.3235,59.6,19.28,-17.92,10,time_exit,OK,30.13111,14.85794,-0.3212,3.66588,london,2020
XAUUSD,1,2020-04-22 00:00:00,2020-04-23 16:00:00,1687.59,1736.26755,1663.25123,1736.26755,0.2955,486.8,143.84,92.93,10,take_profit,OK,22.04992,16.22585,-0.12515,3.00655,,2020
XAUUSD,1,2020-04-28 12:00:00,2020-04-30 04:00:00,1702.06,1711.93,1683.54027,1739.09946,0.3933,98.7,38.82,-51.47,10,time_exit,OK,21.23645,12.34649,-0.25062,4.05883,london,2020
XAUUSD,1,2020-05-01 04:00:00,2020-05-04 20:00:00,1687.4,1701.44,1668.49191,1725.21617,0.3825,140.4,53.7,-12.19,10,time_exit,OK,21.24137,12.60539,-1.36028,3.33258,,2020
