symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,cost_model_status,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,1,2019-03-08 12:00:00,2019-03-08 16:00:00,145.405,144.67403,144.67403,146.86693,0.1503,-73.1,-99.98,-100.02,1,stop_loss,OK,27.05281,0.48731,-2.36895,4.74187,london,2019
GBPJPY,1,2019-03-11 00:00:00,2019-03-11 16:00:00,143.975,145.56908,143.17796,145.56908,0.1365,159.4,198.01,197.97,4,take_profit,OK,34.11782,0.53136,-3.08894,3.93358,,2019
GBPJPY,1,2019-03-11 16:00:00,2019-03-12 00:00:00,145.002,146.80285,144.10157,146.80285,0.1232,180.1,201.9,203.35,2,take_profit,OK,38.79829,0.60028,-1.77168,2.99649,new_york,2019
GBPJPY,1,2019-03-12 00:00:00,2019-03-12 12:00:00,146.23,145.27289,145.27289,148.14423,0.1183,-95.7,-103.04,-103.07,3,stop_loss,OK,34.13365,0.63808,0.28506,2.77207,,2019
GBPJPY,1,2019-03-12 20:00:00,2019-03-13 20:00:00,145.633,148.15015,144.37442,148.15015,0.089,251.7,203.86,204.92,6,take_profit,OK,30.59441,0.83905,-0.62403,2.0763,new_york,2019
GBPJPY,1,2019-03-21 04:00:00,2019-03-21 08:00:00,146.287,145.39569,145.39569,148.06961,0.1283,-89.1,-104.06,-104.1,1,stop_loss,OK,21.36154,0.5942,-1.52561,3.03641,,2019
GBPJPY,1,2019-03-22 00:00:00,2019-03-25 16:00:00,145.156,145.01,144.05911,147.34977,0.1032,-14.6,-13.71,-9.98,10,time_exit,OK,33.02773,0.73126,-2.19959,1.99213,,2019
GBPJPY,1,2019-03-25 16:00:00,2019-03-27 08:00:00,145.581,145.865,144.5343,147.6744,0.108,28.4,27.91,30.5,10,time_exit,OK,44.44338,0.6978,-1.02859,1.33537,new_york,2019
GBPJPY,1,2019-03-27 12:00:00,2019-03-28 08:00:00,145.865,144.91773,144.91773,147.75955,0.1197,-94.7,-103.18,-98.86,5,stop_loss,OK,26.94859,0.63152,-0.33669,1.08247,london,2019
GBPJPY,1,2019-03-29 04:00:00,2019-04-01 20:00:00,144.76,145.915,143.7335,146.81301,0.1094,115.5,114.98,118.94,10,time_exit,OK,23.81004,0.68434,-1.48376,0.58375,,2019
GBPJPY,1,2019-04-19 00:00:00,2019-04-22 16:00:00,145.375,145.343,144.91251,146.29998,0.2457,-3.2,-7.15,1.72,10,time_exit,OK,23.27236,0.30833,-1.91943,0.95753,,2019
GBPJPY,1,2019-04-22 20:00:00,2019-04-23 00:00:00,145.345,145.00561,145.00561,146.02378,0.3348,-33.9,-103.4,-99.44,1,stop_loss,OK,30.95969,0.22626,-1.88286,0.53273,new_york,2019
GBPJPY,1,2019-04-23 08:00:00,2019-04-23 16:00:00,145.288,144.94065,144.94065,145.9827,0.324,-34.7,-102.41,-102.52,2,stop_loss,OK,35.28135,0.23157,-1.80519,0.29783,london,2019
GBPJPY,1,2019-09-24 04:00:00,2019-09-25 12:00:00,133.873,133.17316,133.17316,135.27268,0.1592,-70.0,-101.39,-99.5,8,stop_loss,OK,20.26494,0.46656,-0.25913,3.71462,,2019
