symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,1,2019-03-08 20:00:00,2019-03-12 12:00:00,111.041,111.197,110.69364,111.73572,0.3164,15.6,44.92,44.84,10,time_exit,24.54894,0.23157,-1.59963,3.54483,new_york,2019
USDJPY,1,2019-03-12 12:00:00,2019-03-13 20:00:00,111.407,111.08874,111.08874,112.04353,0.3468,-31.8,-100.44,-100.52,8,stop_loss,31.73549,0.21218,0.26182,3.30431,london,2019
USDJPY,1,2019-03-14 04:00:00,2019-03-15 00:00:00,111.216,111.83771,110.90514,111.83771,0.3515,62.2,198.86,198.78,5,take_profit,33.56291,0.20724,-0.54262,2.98096,tokyo,2019
USDJPY,1,2019-03-21 16:00:00,2019-03-22 16:00:00,110.542,110.17784,110.17784,111.27033,0.3061,-36.4,-101.44,-101.51,6,stop_loss,26.02195,0.24278,-3.08316,1.63713,new_york,2019
USDJPY,1,2019-03-25 00:00:00,2019-03-26 16:00:00,109.908,110.517,109.49607,110.73185,0.2679,60.9,148.47,148.41,10,time_exit,32.17148,0.27462,-4.04785,0.71696,tokyo,2019
USDJPY,1,2019-04-09 20:00:00,2019-04-10 20:00:00,111.125,110.8595,110.8595,111.65601,0.4218,-26.6,-101.91,-102.01,6,stop_loss,26.53233,0.177,-0.87611,1.72317,new_york,2019
USDJPY,1,2019-04-11 00:00:00,2019-04-11 16:00:00,111.0,111.52409,110.73795,111.52409,0.423,52.4,201.74,201.64,4,take_profit,34.03286,0.1747,-1.28977,1.4286,tokyo,2019
USDJPY,1,2019-04-24 00:00:00,2019-04-24 20:00:00,111.859,112.23256,111.67222,112.23256,0.6054,37.4,205.8,205.66,5,take_profit,21.75424,0.12452,0.28583,3.76147,tokyo,2019
USDJPY,1,2019-04-26 04:00:00,2019-04-29 20:00:00,111.651,111.639,111.35718,112.23863,0.3925,-1.2,-4.29,-4.38,10,time_exit,20.1691,0.19588,-0.93472,2.11725,tokyo,2019
USDJPY,1,2019-05-06 08:00:00,2019-05-07 16:00:00,110.84,110.46492,110.46492,111.59016,0.3074,-37.5,-104.92,-104.99,8,stop_loss,21.46779,0.25005,-2.55828,0.2245,tokyo,2019
USDJPY,1,2019-09-23 08:00:00,2019-09-23 12:00:00,107.72,107.41889,107.41889,108.32221,0.379,-30.1,-103.85,-103.93,1,stop_loss,21.68232,0.20074,-0.45993,2.85279,tokyo,2019
