symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,session,year,ema_distance,trend_gap
XAUUSD,2019-02-22 04:00:00,2019-02-25 20:00:00,1325.25,1327.4,1317.90096,1339.94808,1.3607,21.5,29.26,28.86,10,time_exit,28.4,4.89936,,2019,,
XAUUSD,2019-02-26 00:00:00,2019-02-27 16:00:00,1327.43,1320.18555,1320.18555,1341.82889,1.3844,-72.4,-100.29,-100.69,10,stop_loss,21.7,4.80963,,2019,,
XAUUSD,2019-02-28 00:00:00,2019-02-28 16:00:00,1318.77,1313.4106,1313.4106,1332.4588,1.8525,-53.6,-99.28,-99.68,4,stop_loss,21.5,4.23293,,2019,,
XAUUSD,2019-03-01 04:00:00,2019-03-01 08:00:00,1314.4,1307.68127,1307.68127,1327.83746,1.4628,-67.2,-98.28,-98.68,1,stop_loss,21.1,4.47915,,2019,,
XAUUSD,2019-03-04 04:00:00,2019-03-04 08:00:00,1296.38,1288.22607,1288.22607,1312.71785,1.1933,-81.5,-97.3,-97.7,1,stop_loss,31.2,5.44262,,2019,,
XAUUSD,2019-03-05 00:00:00,2019-03-06 16:00:00,1286.66,1286.31,1278.6628,1302.5644,1.2044,-3.5,-4.22,-4.62,10,time_exit,43.0,5.31147,,2019,,
XAUUSD,2019-03-29 04:00:00,2019-04-01 20:00:00,1291.93,1287.63,1284.78523,1306.21954,1.3475,-43.0,-57.94,-58.34,10,time_exit,23.7,4.76318,,2019,,
XAUUSD,2019-05-17 08:00:00,2019-05-17 16:00:00,1286.53,1280.78651,1280.78651,1298.01697,1.6661,-57.4,-95.69,-96.09,2,stop_loss,20.6,3.82899,london,2019,,
XAUUSD,2019-05-20 00:00:00,2019-05-21 12:00:00,1277.55,1271.39633,1271.39633,1290.33735,1.5394,-61.5,-94.73,-95.13,9,stop_loss,24.7,4.20912,,2019,,
XAUUSD,2019-07-01 16:00:00,2019-07-03 00:00:00,1394.65,1422.8742,1380.5229,1422.8742,0.6638,282.2,187.35,186.95,8,take_profit,30.5,9.4114,new_york,2019,,
XAUUSD,2019-07-08 08:00:00,2019-07-09 08:00:00,1399.64,1387.00297,1387.00297,1425.09405,0.7569,-126.4,-95.65,-96.05,6,stop_loss,22.6,8.46468,london,2019,,
